iter	Passed	Remaining
0	1097	1644961
1	1993	1492929
2	3241	1617277
3	4356	1629150
4	5298	1584165
5	6242	1554429
6	7408	1580172
7	8292	1546514
8	9160	1517672
9	9898	1474919
10	10864	1470633
11	11573	1435142
12	12282	1404877
13	12999	1379778
14	13718	1358108
15	14429	1338303
16	15223	1328040
17	16178	1331999
18	17214	1341816
19	18132	1341797
20	19400	1366374
21	20316	1364872
22	21064	1352715
23	21811	1341435
24	22668	1337440
25	23383	1325673
26	24812	1353667
27	25670	1349523
28	26599	1349231
29	27547	1349841
30	28679	1359039
31	29555	1355839
32	30268	1345561
33	30963	1335060
34	32007	1339739
35	33069	1344844
36	33890	1340029
37	34948	1344607
38	35770	1340024
39	36651	1337795
40	37665	1340342
41	38907	1350642
42	40217	1362723
43	41267	1365585
44	41976	1357232
45	42786	1352436
46	43552	1346422
47	44655	1350818
48	45620	1350936
49	46460	1347358
50	47522	1350190
51	48274	1344248
52	49066	1339619
53	49808	1333762
54	50533	1327664
55	51459	1326912
56	52359	1325528
57	53419	1328129
58	54490	1330853
59	55459	1331032
60	56583	1334805
61	58855	1365071
62	59844	1365017
63	60804	1364291
64	61899	1366546
65	62906	1366787
66	63767	1363852
67	64668	1361852
68	65601	1360518
69	66572	1359976
70	67744	1363481
71	68508	1358752
72	69651	1361537
73	70473	1358045
74	71245	1353668
75	72018	1349396
76	72780	1345022
77	73744	1344425
78	75213	1352893
79	76075	1350333
80	76939	1347868
81	77915	1347375
82	79271	1353339
83	80242	1352656
84	81345	1354159
85	82135	1350456
86	82979	1347693
87	84126	1349842
88	85108	1349302
89	85970	1346864
90	86912	1345714
91	88161	1349255
92	89260	1350419
93	90241	1349776
94	91224	1349161
95	92090	1346823
96	93065	1346097
97	94040	1345354
98	94785	1341351
99	95605	1338480
100	96820	1341106
101	97866	1341349
102	98984	1342535
103	100031	1342734
104	101172	1344143
105	102235	1344497
106	103096	1342187
107	104142	1342283
108	104954	1339372
109	105704	1335720
110	106876	1337400
111	108131	1340060
112	109105	1339196
113	109862	1335702
114	110633	1332414
115	112653	1344076
116	114090	1348612
117	115608	1353993
118	116991	1357687
119	118945	1367870
120	120465	1372907
121	121395	1371176
122	122534	1371786
123	123613	1371716
124	124734	1372076
125	125457	1368085
126	126202	1364378
127	127081	1362152
128	128393	1364549
129	129702	1366862
130	130832	1367251
131	131951	1367501
132	132795	1364900
133	133552	1361441
134	134289	1357816
135	135254	1356527
136	136428	1357311
137	137661	1358660
138	138715	1358210
139	139944	1359462
140	141013	1359133
141	142299	1360861
142	143366	1360477
143	144728	1362861
144	145770	1362196
145	147057	1363809
146	148334	1365280
147	149414	1364923
148	150218	1362051
149	151003	1359031
150	151749	1355700
151	152465	1352126
152	153181	1348600
153	153993	1345945
154	154760	1342919
155	155500	1339698
156	156640	1339927
157	157938	1341476
158	159041	1341346
159	160275	1342307
160	161495	1343120
161	162357	1340956
162	163657	1342393
163	164710	1341784
164	166062	1343593
165	167172	1343419
166	168119	1341939
167	169210	1341598
168	170255	1340890
169	171083	1338480
170	172381	1339738
171	173495	1339549
172	174676	1339861
173	175731	1339192
174	176839	1338930
175	178113	1339896
176	179275	1340006
177	180021	1337014
178	181125	1336682
179	182012	1334756
180	183114	1334410
181	184405	1335419
182	185461	1334712
183	186384	1333054
184	187529	1332982
185	188643	1332675
186	189596	1331230
187	191059	1333351
188	192259	1333612
189	193331	1332972
190	194597	1333658
191	195698	1333196
192	196813	1332825
193	198381	1335498
194	200109	1339192
195	200991	1337208
196	202163	1337153
197	203144	1335831
198	203982	1333574
199	204845	1331493
200	205993	1331268
201	207091	1330716
