t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,90109,85,264,8,360
26,91137,267,90,8,361
27,90452,87,265,8,360
28,89426,262,84,8,359
29,90109,264,85,8,360
30,90792,266,86,8,360
31,90454,89,265,8,360
32,89767,84,263,8,359
33,90111,264,87,8,360
34,57296,8,168,5,356
35,90450,85,265,8,360
36,89426,84,262,8,359
37,90107,264,83,8,359
38,57637,8,169,5,356
39,89768,263,85,8,359
40,89428,86,262,8,359
41,90122,98,264,8,359
42,91491,268,103,8,356
43,90791,266,85,8,360
44,91831,102,269,8,357
45,90108,84,264,8,360
46,57294,168,6,5,357
47,89427,262,85,8,359
48,55929,5,164,5,354
49,59350,174,16,5,354
50,90463,98,265,8,359
51,57635,6,169,5,357
52,89771,263,88,8,359
53,89425,83,262,8,358
54,91491,103,268,8,356
55,89085,261,84,8,358
56,55930,6,164,5,354
57,90806,100,266,8,358
58,91832,269,103,8,356
59,92172,102,270,8,357
60,60030,176,14,5,355
61,89768,85,263,8,359
62,58663,172,11,5,356
63,89424,262,82,8,358
64,90467,265,102,8,357
65,57980,10,170,5,356
66,91492,268,104,8,355
67,89425,262,83,8,358
68,90465,265,100,8,358
69,57976,170,6,5,358
70,90808,102,266,8,357
71,88745,85,260,8,358
72,90448,83,265,8,359
73,89770,87,263,8,359
74,58662,10,172,5,357
75,55928,164,4,5,354
76,91831,269,102,8,357
77,90108,264,84,8,360
78,59691,16,175,5,354
79,89769,263,86,8,359
80,91832,103,269,8,356
81,90449,84,265,8,360
82,90126,264,102,8,357
83,56269,4,165,5,354
84,55930,164,6,5,354
85,90451,86,265,8,360
86,58661,9,172,5,357
87,91488,268,100,8,358
88,60032,176,16,5,354
89,90110,264,86,8,360
90,91833,269,104,8,355
91,92514,103,271,9,356
92,89765,82,263,8,358
93,89428,262,86,8,359
94,57298,168,10,5,355
95,56270,5,165,5,354
96,90106,264,82,8,359
97,58660,8,172,5,358
98,89771,88,263,8,359
99,57295,168,7,5,356
100,57635,169,6,5,357
101,89424,82,262,8,358
102,92173,270,103,8,356
103,90453,265,88,8,360
104,59350,16,174,5,354
105,89767,263,84,8,359
106,92171,101,270,8,357
107,90467,102,265,8,357
108,89088,87,261,8,358
109,55929,164,5,5,354
110,59351,174,17,5,353
111,90808,266,102,8,357
112,89085,84,261,8,358
113,88745,260,85,8,358
114,91147,100,267,8,358
115,91492,104,268,8,355
116,56267,2,165,5,354
117,90107,83,264,8,359
118,56955,8,167,5,355
119,91151,267,104,8,355
120,88744,260,84,8,358
121,90465,100,265,8,358
122,91490,268,102,8,357
123,90810,266,104,8,355
124,92855,103,272,9,356
125,89766,263,83,8,358
126,56608,2,166,5,355
127,90793,87,266,8,360
128,88746,86,260,8,358
129,90454,265,89,8,360
130,90106,82,264,8,359
131,90790,266,84,8,360
132,55927,164,3,5,354
133,89096,95,261,8,358
134,90110,86,264,8,360
135,57298,10,168,5,355
136,57981,170,11,5,355
137,92514,271,103,9,356
138,60714,16,178,5,354
139,89429,262,87,8,359
140,90124,264,100,8,358
141,92173,103,270,8,356
142,90450,265,85,8,360
143,89765,263,82,8,358
144,56268,165,3,5,354
145,57297,168,9,5,355
146,60373,177,16,5,354
147,89766,83,263,8,358
148,91151,104,267,8,355
149,57982,12,170,5,355
150,92506,95,271,9,360
151,90451,265,86,8,360
152,55924,0,164,5,355
153,88744,84,260,8,358
154,89772,89,263,8,359
155,90447,265,82,8,359
156,90806,266,100,8,358
157,92855,272,103,9,356
158,91833,104,269,8,355
159,89084,83,261,8,357
160,90449,265,84,8,360
161,56957,10,167,5,354
162,92172,270,102,8,357
163,60029,176,13,5,356
164,59351,17,174,5,353
165,89769,86,263,8,359
166,90126,102,264,8,357
167,92174,270,104,8,355
168,89083,261,82,8,357
169,60033,176,17,5,353
170,91149,102,267,8,357
171,90789,83,266,8,359
172,88746,260,86,8,358
173,90125,264,101,8,357
174,92174,104,270,8,355
175,57641,169,12,5,354
176,90448,265,83,8,359
177,90121,97,264,8,359
178,91487,268,99,8,358
179,60032,16,176,5,354
180,91133,86,267,8,360
181,90810,104,266,8,355
182,90112,264,88,8,360
183,88742,82,260,8,357
184,89087,86,261,8,358
185,55926,2,164,5,354
186,55588,163,5,5,353
187,56955,167,8,5,355
188,92517,271,106,9,354
189,89431,89,262,8,359
190,56265,0,165,5,355
191,57641,12,169,5,354
192,89084,261,83,8,357
193,89442,262,100,8,357
194,89778,263,95,8,359
195,90805,99,266,8,358
196,90447,82,265,8,359
197,89427,85,262,8,359
198,56267,165,2,5,354
199,92176,106,270,8,354
200,92512,271,101,9,357
201,89086,261,85,8,358
202,59010,173,17,5,352
203,88743,260,83,8,357
204,92515,271,104,9,355
205,90790,84,266,8,360
206,60372,177,15,5,354
207,89083,82,261,8,357
208,91494,106,268,8,354
209,90466,265,101,8,357
210,56614,8,166,5,354
211,88742,260,82,8,357
212,92856,104,272,9,355
213,90797,91,266,8,360
214,60715,17,178,5,353
215,91835,269,106,8,354
216,91148,267,101,8,357
217,90789,266,83,8,359
218,90105,81,264,8,358
219,92165,95,270,8,360
220,57983,170,13,5,354
221,90807,266,101,8,357
222,91482,94,268,8,360
223,91828,269,99,8,358
224,59007,14,173,5,354
225,95580,280,100,9,356
226,93197,104,273,9,355
227,90792,86,266,8,360
228,89089,261,88,8,358
229,91137,90,267,8,361
230,56270,165,5,5,354
231,89423,81,262,8,357
232,122573,359,163,11,353
233,91488,100,268,8,358
234,88743,83,260,8,357
235,91153,267,106,8,354
236,93196,103,273,9,356
237,89087,261,86,8,358
238,91489,268,101,8,357
239,88062,84,258,8,357
240,89422,262,80,8,357
241,55584,163,1,5,353
242,90791,85,266,8,360
243,90127,264,103,8,356
244,90461,265,96,8,360
245,92517,106,271,9,354
246,91132,267,85,8,360
247,122233,358,163,11,353
248,92856,272,104,9,355
249,88403,259,84,8,357
250,88063,85,258,8,357
251,90452,265,87,8,360
252,92176,270,106,8,354
253,92515,104,271,9,355
254,59352,18,174,5,352
255,89764,81,263,8,357
256,88062,258,84,8,357
257,55587,4,163,5,353
258,90125,101,264,8,357
259,90788,82,266,8,359
260,91494,268,106,8,354
261,55586,163,3,5,353
262,89423,262,81,8,357
263,90793,266,87,8,360
264,92858,106,272,9,354
265,88752,92,260,8,358
266,55585,163,2,5,353
267,58319,171,8,5,357
268,91475,268,87,8,360
269,55931,7,164,5,353
270,89086,85,261,8,358
271,89763,263,80,8,357
272,58660,172,8,5,358
273,91134,87,267,8,360
274,93197,273,104,9,355
275,91835,106,269,8,354
276,88403,84,259,8,357
277,91490,102,268,8,357
278,93538,104,274,9,355
279,59693,175,18,5,352
280,89764,263,81,8,357
281,91149,267,102,8,357
282,90811,266,105,8,354
283,90111,87,264,8,360
284,88063,258,85,8,357
285,89763,80,263,8,357
286,89442,100,262,8,357
287,93190,273,97,9,359
288,61398,180,18,6,352
289,90812,266,106,8,354
290,91473,268,85,8,360
291,91834,105,269,8,354
292,89435,93,262,8,359
293,60716,18,178,5,352
294,88404,259,85,8,357
295,88741,81,260,8,356
296,89441,262,99,8,357
297,89770,263,87,8,359
298,91153,106,267,8,354
299,92175,270,105,8,354
300,89422,80,262,8,357
301,89779,96,263,8,359
302,88401,259,82,8,356
303,91133,267,86,8,360
304,60034,176,18,5,352
305,91493,268,105,8,354
306,90455,90,265,8,361
307,89780,263,97,8,358
308,60375,18,177,5,352
309,91474,86,268,8,360
310,90457,265,92,8,360
311,92170,100,270,8,358
312,91152,105,267,8,354
313,90104,80,264,8,358
314,89082,261,81,8,356
315,55246,4,162,5,352
316,88401,82,259,8,356
317,91834,269,105,8,354
318,89097,261,96,8,358
319,90812,106,266,8,354
320,91483,95,268,8,360
321,92504,271,93,9,360
322,94901,103,278,9,355
323,90794,266,88,8,360
324,90121,264,97,8,359
325,88060,258,82,8,356
326,89093,261,92,8,358
327,61057,179,18,5,352
328,88740,260,80,8,356
329,91152,267,105,8,354
330,57301,13,168,5,353
331,59693,18,175,5,352
332,90466,101,265,8,357
333,91821,92,269,8,360
334,89081,80,261,8,356
335,88741,260,81,8,356
336,90114,90,264,8,361
337,90811,105,266,8,354
338,92858,272,106,9,354
339,54901,161,0,5,352
340,90105,264,81,8,358
341,55245,3,162,5,352
342,57634,169,5,5,357
343,90461,96,265,8,360
344,55583,0,163,5,354
345,89096,261,95,8,358
346,56959,12,167,5,353
347,92512,101,271,9,357
348,88060,82,258,8,356
349,90470,265,105,8,354
350,95238,279,99,9,356
351,88752,260,92,8,358
352,88405,86,259,8,357
353,91148,101,267,8,357
354,91493,105,268,8,354
355,88756,96,260,8,358
356,90804,266,98,8,359
357,90446,265,81,8,358
358,92169,99,270,8,358
359,88740,80,260,8,356
360,88061,83,258,8,356
361,90471,265,106,8,354
362,92175,105,270,8,354
363,55242,162,0,5,353
364,89081,261,80,8,356
365,91135,267,88,8,360
366,56618,12,166,5,352
367,122232,162,358,11,352
368,89092,91,261,8,358
369,93199,273,106,9,354
370,88402,259,83,8,356
371,90470,105,265,8,354
372,91140,93,267,8,360
373,89082,81,261,8,356
