t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,87395,99,256,8,353
26,87052,255,97,8,353
27,86367,94,253,8,353
28,86710,254,96,8,354
29,87736,99,257,8,354
30,87391,256,95,8,355
31,86026,94,252,8,352
32,86366,253,93,8,353
33,62413,183,10,6,358
34,61386,6,180,6,360
35,88762,102,260,8,355
36,90466,265,101,8,357
37,92860,272,108,9,352
38,86028,96,252,8,352
39,91834,105,269,8,354
40,89088,261,87,8,358
41,55243,1,162,5,352
42,61728,7,181,6,359
43,89782,99,263,8,357
44,90469,265,104,8,355
45,92519,108,271,9,352
46,86025,93,252,8,352
47,89429,262,87,8,359
48,91492,268,104,8,355
49,59351,174,17,5,353
50,87737,100,257,8,354
51,90470,265,105,8,354
52,90808,266,102,8,357
53,88403,84,259,8,357
54,86369,253,96,8,353
55,91493,105,268,8,354
56,61386,180,6,6,360
57,62413,10,183,6,358
58,55585,2,163,5,353
59,87393,97,256,8,354
60,61385,5,180,6,360
61,92504,271,93,9,360
62,59693,175,18,5,352
63,87379,83,256,8,354
64,86708,254,94,8,354
65,91152,267,105,8,354
66,91833,104,269,8,355
67,88757,97,260,8,357
68,54901,0,161,5,352
69,90112,264,88,8,360
70,91836,107,269,8,353
71,88746,86,260,8,358
72,91151,267,104,8,355
73,86370,253,97,8,352
74,61044,5,179,5,360
75,61728,181,7,6,359
76,62414,11,183,6,357
77,88416,97,259,8,356
78,54901,161,0,5,352
79,88744,84,260,8,358
80,86709,254,95,8,354
81,90113,264,89,8,360
82,63099,185,14,6,355
83,92175,105,270,8,354
84,94895,278,97,9,358
85,88762,260,102,8,355
86,87720,83,257,8,355
87,89085,261,84,8,358
88,87394,98,256,8,354
89,55242,162,0,5,353
90,61385,180,5,6,360
91,90810,104,266,8,355
92,59693,18,175,5,352
93,95236,279,97,9,357
94,62071,182,9,6,358
95,55929,5,164,5,354
96,89782,263,99,8,357
97,87734,97,257,8,355
98,88061,83,258,8,356
99,86368,253,95,8,353
100,60358,1,177,5,360
101,90470,105,265,8,354
102,92859,272,107,9,353
103,87737,257,100,8,354
104,63442,16,186,6,354
105,91478,90,268,8,361
106,89768,85,263,8,359
107,57982,12,170,5,355
108,55585,163,2,5,353
109,87035,255,80,8,352
110,90811,266,105,8,354
111,61044,179,5,5,360
112,92518,107,271,9,353
113,62070,182,8,6,359
114,88075,97,258,8,356
115,89088,87,261,8,358
116,90124,264,100,8,358
117,88745,260,85,8,358
118,122233,358,163,11,353
119,59008,15,173,5,353
120,94552,277,95,9,359
121,91492,104,268,8,355
122,63784,17,187,6,352
123,88074,96,258,8,357
124,55244,162,2,5,352
125,61043,179,4,5,360
126,93528,274,94,9,360
127,86027,95,252,8,352
128,88402,259,83,8,356
129,63443,186,17,6,353
130,92177,270,107,8,353
131,91153,106,267,8,354
132,121553,356,163,11,353
133,88401,82,259,8,356
134,87053,98,255,8,353
135,87721,257,84,8,356
136,88757,260,97,8,357
137,55243,162,1,5,352
138,62756,12,184,6,357
139,60700,2,178,5,360
140,59009,173,16,5,353
141,91833,269,104,8,355
142,94895,97,278,9,358
143,62757,184,13,6,356
144,88062,84,258,8,357
145,121893,357,163,11,353
146,86694,254,80,8,352
147,89787,104,263,8,354
148,89100,261,99,8,356
149,91835,106,269,8,354
150,62755,11,184,6,357
151,95577,280,97,9,357
152,87376,80,256,8,353
153,89441,99,262,8,357
154,87735,257,98,8,355
155,88061,258,83,8,356
156,58667,15,172,5,353
157,122573,359,163,11,353
158,64124,188,16,6,353
159,122236,166,358,11,355
160,59008,173,15,5,353
161,94212,276,96,9,360
162,91494,106,268,8,354
163,86711,97,254,8,353
164,87037,82,255,8,353
165,88759,260,99,8,356
166,90109,264,85,8,360
167,90812,266,106,8,354
168,59675,175,0,5,361
169,60701,3,178,5,360
170,55244,2,162,5,352
171,122576,166,359,11,355
172,63102,17,185,6,353
173,88416,259,97,8,356
174,94893,95,278,9,359
175,92162,92,270,8,360
176,63441,186,15,6,354
177,88063,85,258,8,357
178,88742,260,82,8,357
179,60700,178,2,5,360
180,56270,5,165,5,354
181,87051,96,255,8,354
182,122572,162,359,11,352
183,91151,104,267,8,355
184,90794,266,88,8,360
185,87377,81,256,8,353
186,95919,281,98,9,356
187,57298,10,168,5,355
188,87050,255,95,8,354
189,63443,17,186,6,353
190,88079,101,258,8,354
191,59352,174,18,5,352
192,89440,262,98,8,358
193,86695,81,254,8,352
194,91836,269,107,8,353
195,63442,186,16,6,354
196,57643,169,14,5,352
197,87036,255,81,8,352
198,92517,106,271,9,354
199,60359,2,177,5,360
200,121892,357,162,11,352
