t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,92834,82,272,9,359
26,91827,269,98,8,359
27,91127,267,80,8,358
28,91466,78,268,8,357
29,92833,272,81,9,358
30,91829,100,269,8,358
31,92150,270,80,8,358
32,91486,98,268,8,359
33,90103,79,264,8,357
34,92510,271,99,9,358
35,92832,272,80,9,358
36,91810,269,81,8,358
37,93193,100,273,9,358
38,90102,78,264,8,357
39,91487,268,99,8,358
40,91809,80,269,8,358
41,93534,274,100,9,358
42,92493,82,271,9,359
43,92148,270,78,8,357
44,91831,102,269,8,357
45,91486,268,98,8,359
46,92511,100,271,9,358
47,92169,99,270,8,358
48,90786,80,266,8,358
49,94217,276,101,9,357
50,92489,271,78,9,357
51,91488,268,100,8,358
52,91828,99,269,8,358
53,91127,80,267,8,358
54,92172,102,270,8,357
55,92852,272,100,9,358
56,91807,269,78,8,357
57,91468,80,268,8,358
58,92492,271,81,9,358
59,92170,100,270,8,358
60,92851,99,272,9,358
61,91468,268,80,8,358
62,94218,276,102,9,357
63,92151,270,81,8,358
64,91830,101,269,8,357
65,92491,271,80,9,358
66,92852,100,272,9,358
67,91467,79,268,8,357
68,92171,270,101,8,357
69,92488,271,77,9,356
70,92832,80,272,9,358
71,93193,273,100,9,358
72,91469,268,81,8,358
73,92512,101,271,9,357
74,92150,80,270,8,358
75,93534,100,274,9,358
76,92833,81,272,9,358
77,91146,267,99,8,358
78,91809,269,80,8,358
79,92511,271,100,9,358
80,90444,79,265,8,357
81,91487,99,268,8,358
82,93173,273,80,9,358
83,92489,78,271,9,357
84,91831,269,102,8,357
85,90103,264,79,8,357
86,92853,101,272,9,357
87,92491,80,271,9,358
88,91147,267,100,8,358
89,90443,265,78,8,357
90,92168,98,270,8,359
91,92513,271,102,9,357
92,93192,99,273,9,358
93,90784,78,266,8,357
94,92170,270,100,8,358
95,91832,269,103,8,356
96,94217,101,276,9,357
97,92490,271,79,9,357
98,91125,78,267,8,357
99,92147,270,77,8,356
100,93194,273,101,9,357
101,92492,81,271,9,358
102,92854,102,272,9,357
103,92149,79,270,8,357
104,91829,269,100,8,358
105,90102,264,78,8,357
106,91128,81,267,8,358
107,92173,270,103,8,356
108,93533,99,274,9,358
109,92830,78,272,9,357
110,91808,269,79,8,357
111,92172,270,102,8,357
112,93535,101,274,9,357
113,93174,81,273,9,358
114,92831,272,79,9,357
115,92169,270,99,8,358
116,89761,263,78,8,356
117,91810,81,269,8,358
118,91490,102,268,8,357
119,92510,99,271,9,358
120,93876,275,101,9,357
121,92148,78,270,8,357
122,91126,267,79,8,357
123,91828,269,99,8,358
124,93875,275,100,9,358
125,92151,81,270,8,358
126,93195,102,273,9,357
127,90785,266,79,8,357
128,92829,77,272,9,356
129,91488,100,268,8,358
130,93536,274,102,9,357
131,90787,266,81,8,358
132,92830,272,78,9,357
133,92174,104,270,8,355
134,91470,82,268,8,359
135,90806,266,100,8,358
136,91827,98,269,8,359
137,92851,272,99,9,358
138,93877,102,275,9,357
139,90786,266,80,8,358
140,91807,78,269,8,357
141,92834,272,82,9,359
142,92490,79,271,9,357
143,91469,81,268,8,358
144,92171,101,270,8,357
145,92850,272,98,9,359
146,90445,265,80,8,358
147,91147,100,267,8,358
148,93171,273,78,9,357
149,91806,269,77,8,356
150,94559,102,277,9,356
151,93514,80,274,9,358
152,91483,268,95,8,360
153,92837,272,85,9,360
154,93175,82,273,9,359
155,91808,79,269,8,357
156,91491,268,103,8,356
157,91145,98,267,8,359
158,92854,272,102,9,357
159,92488,77,271,9,356
160,92173,103,270,8,356
161,91466,268,78,8,357
162,94218,102,276,9,357
163,92517,271,106,9,354
164,92166,270,96,8,360
165,91467,268,79,8,357
166,91803,74,269,8,354
167,92496,85,271,9,360
168,92855,272,103,9,356
169,92168,270,98,8,359
170,91126,79,267,8,357
171,92513,102,271,9,357
172,91802,269,73,8,353
173,93173,80,273,9,358
174,92149,270,79,8,357
175,92514,103,271,9,356
176,92853,272,101,9,357
177,91149,267,102,8,357
178,90785,79,266,8,357
179,92509,271,98,9,359
180,91489,101,268,8,357
181,92147,77,270,8,356
182,90444,265,79,8,357
183,92493,271,82,9,359
184,93877,275,102,9,357
185,91832,103,269,8,356
186,91125,267,78,8,357
187,92512,271,101,9,357
188,92154,84,270,8,360
189,93536,102,274,9,357
190,93875,100,275,9,358
191,92487,76,271,9,355
192,91830,269,101,8,357
193,93195,273,102,9,357
194,92152,82,270,8,359
195,90445,80,265,8,358
196,90784,266,78,8,357
197,93876,101,275,9,357
198,92146,76,270,8,355
199,91833,269,104,8,355
200,90799,93,266,8,360
201,92508,271,97,9,359
202,91465,268,77,8,356
203,93855,275,80,9,358
204,92153,83,270,8,359
205,93535,274,101,9,357
206,90443,78,265,8,357
207,92518,107,271,9,353
208,92144,270,74,8,354
209,93174,273,81,9,358
210,93863,88,275,9,360
211,90465,100,265,8,358
212,91825,269,96,8,360
213,93194,101,273,9,357
214,91129,267,82,8,359
215,92514,271,103,9,356
216,91806,77,269,8,356
217,93514,274,80,9,358
218,91128,267,81,8,358
219,90806,100,266,8,358
220,91824,269,95,8,360
221,94559,277,102,9,356
222,92145,75,270,8,354
223,93179,86,273,9,360
224,92858,106,272,9,354
225,89761,78,263,8,356
226,91146,99,267,8,358
227,91805,269,76,8,355
228,91490,268,102,8,357
229,93191,98,273,9,359
230,92515,271,104,9,355
231,91826,269,97,8,359
232,92146,270,76,8,355
233,93178,85,273,9,360
234,91124,77,267,8,356
235,92517,106,271,9,354
236,92165,270,95,8,360
237,93196,273,103,9,356
238,91812,83,269,8,359
239,91465,77,268,8,356
240,92828,272,76,9,355
241,93515,274,81,9,358
242,92176,106,270,8,354
243,93175,273,82,9,359
244,90805,99,266,8,358
245,92494,83,271,9,359
246,92167,270,97,8,359
247,94901,278,103,9,355
248,93192,273,99,9,358
249,92829,272,77,9,356
250,92516,105,271,9,354
251,91804,75,269,8,354
252,93176,83,273,9,359
253,91145,267,98,8,359
254,91485,97,268,8,359
255,92855,103,272,9,356
256,91813,84,269,8,360
257,90783,266,77,8,356
258,91492,268,104,8,355
259,92835,272,83,9,359
260,92144,74,270,8,354
261,93537,274,103,9,356
262,92495,84,271,9,360
263,90798,92,266,8,360
264,90442,77,265,8,356
265,93878,103,275,9,356
266,92839,272,87,9,360
267,91803,269,74,8,354
268,89419,77,262,8,355
269,91491,103,268,8,356
270,92856,272,104,9,355
271,91805,76,269,8,355
272,93533,274,99,9,358
273,90101,264,77,8,356
274,93196,103,273,9,356
275,91464,268,76,8,355
276,94196,276,80,9,358
277,91124,267,77,8,356
278,92849,97,272,9,359
279,92174,270,104,8,355
280,91811,82,269,8,359
281,94219,103,276,9,356
282,91144,97,267,8,359
283,91462,74,268,8,354
284,90457,265,92,8,360
285,91833,104,269,8,355
286,92143,270,73,8,353
287,90124,264,100,8,358
288,93180,273,87,9,360
289,93516,274,82,9,359
290,91802,73,269,8,353
291,90787,81,266,8,358
292,93197,273,104,9,355
293,93521,87,274,9,360
294,92859,107,272,9,353
295,91123,267,76,8,355
296,92164,270,94,8,360
297,93181,88,273,9,360
298,92515,104,271,9,355
299,90458,93,265,8,360
300,91823,269,94,8,360
301,92840,272,88,9,360
302,92518,271,107,9,353
303,93532,274,98,9,359
304,90783,77,266,8,356
305,91121,267,74,8,354
306,93878,275,103,9,356
307,92850,98,272,9,359
308,91814,85,269,8,360
309,90442,265,77,8,356
310,91139,92,267,8,360
311,93537,103,274,9,356
312,91461,73,268,8,353
313,90804,266,98,8,359
314,93862,275,87,9,360
315,92487,271,76,9,355
316,92857,272,105,9,354
317,91801,72,269,8,352
318,93522,88,274,9,360
319,91492,104,268,8,355
320,90101,77,264,8,356
321,91140,267,93,8,360
322,93855,80,275,9,358
323,92856,104,272,9,355
324,94219,276,103,9,356
325,91138,267,91,8,360
326,92155,270,85,8,360
327,93857,82,275,9,359
328,89419,262,77,8,355
329,93517,83,274,9,359
330,92860,272,108,9,352
331,91484,268,96,8,360
332,93874,99,275,9,358
333,89760,263,77,8,355
334,93169,76,273,9,355
335,91143,96,267,8,360
336,93863,275,88,9,360
337,93538,274,104,9,355
338,91464,76,268,8,355
339,90803,97,266,8,359
340,92145,270,75,8,354
341,92858,272,106,9,354
342,94901,103,278,9,355
343,90782,76,266,8,355
344,91463,268,75,8,354
345,93197,104,273,9,355
346,94560,277,103,9,355
347,90805,266,99,8,358
348,91123,76,267,8,355
349,92841,272,89,9,360
350,93512,78,274,9,357
351,92152,270,82,8,359
352,92506,95,271,9,360
353,91151,267,104,8,355
354,93199,106,273,9,354
355,91462,268,74,8,354
356,93856,81,275,9,358
357,90465,265,100,8,358
358,90788,266,82,8,359
359,91825,96,269,8,360
360,93176,273,83,9,359
361,91480,92,268,8,360
362,92485,74,271,9,354
363,92859,272,107,9,353
364,91835,106,269,8,354
365,91470,268,82,8,359
366,92507,271,96,9,360
367,93865,90,275,9,361
368,93182,273,89,9,360
369,93516,82,274,9,359
370,90799,266,93,8,360
371,92828,76,272,9,355
372,91479,91,268,8,360
373,92175,270,105,8,354
