t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,91468,268,80,8,358
26,92151,270,81,8,358
27,90102,78,264,8,357
28,92495,84,271,9,360
29,91809,80,269,8,358
30,92169,270,99,8,358
31,91466,268,78,8,357
32,92511,271,100,9,358
33,91127,267,80,8,358
34,92168,98,270,8,359
35,94218,102,276,9,357
36,91467,79,268,8,357
37,92512,101,271,9,357
38,92170,270,100,8,358
39,93877,275,102,9,357
40,91811,82,269,8,359
41,90443,78,265,8,357
42,92150,270,80,8,358
43,93536,274,102,9,357
44,92852,100,272,9,358
45,92509,98,271,9,359
46,92152,270,82,8,359
47,90444,265,79,8,357
48,90784,78,266,8,357
49,92513,271,102,9,357
50,92853,101,272,9,357
51,91465,77,268,8,356
52,91125,267,78,8,357
53,92170,100,270,8,358
54,91825,269,96,8,360
55,92854,272,102,9,357
56,91468,80,268,8,358
57,93194,101,273,9,357
58,91807,269,78,8,357
59,92154,84,270,8,360
60,92493,271,82,9,359
61,93195,273,102,9,357
62,91466,78,268,8,357
63,93535,101,274,9,357
64,90785,266,79,8,357
65,91829,269,100,8,358
66,92152,82,270,8,359
67,92855,103,272,9,356
68,94218,276,102,9,357
69,91809,269,80,8,358
70,92153,270,83,8,359
71,90444,79,265,8,357
72,92492,81,271,9,358
73,92854,102,272,9,357
74,93194,273,101,9,357
75,91808,79,269,8,357
76,90443,265,78,8,357
77,92168,270,98,8,359
78,92491,80,271,9,358
79,93877,102,275,9,357
80,92856,272,104,9,355
81,90784,266,78,8,357
82,92166,270,96,8,360
83,91812,83,269,8,359
84,91124,77,267,8,356
85,93195,102,273,9,357
86,90102,264,78,8,357
87,92855,272,103,9,356
88,91126,79,267,8,357
89,91813,84,269,8,360
90,91484,268,96,8,360
91,93536,102,274,9,357
92,93196,273,103,9,356
93,91125,78,267,8,357
94,91465,268,77,8,356
95,92836,84,272,9,360
96,91811,269,82,8,359
97,92514,271,103,9,356
98,90786,266,80,8,358
99,93193,100,273,9,358
100,91825,96,269,8,360
101,91122,75,267,8,354
102,92154,270,84,8,360
103,92511,100,271,9,358
104,91810,81,269,8,358
105,94219,276,103,9,356
106,92834,82,272,9,359
107,92513,102,271,9,357
108,92155,270,85,8,360
109,91123,267,76,8,355
110,93537,274,103,9,356
111,91824,269,95,8,360
112,92496,85,271,9,360
113,91127,80,267,8,358
114,91464,268,76,8,355
115,93878,103,275,9,356
116,93199,273,106,9,354
117,91143,96,267,8,360
118,92165,270,95,8,360
119,91807,78,269,8,357
120,91467,268,79,8,357
121,93197,273,104,9,355
122,92166,96,270,8,360
123,93540,106,274,9,354
124,90785,79,266,8,357
125,91486,268,98,8,359
126,92148,270,78,8,357
127,93196,103,273,9,356
128,90786,80,266,8,358
129,91808,269,79,8,357
130,92172,270,102,8,357
131,91484,96,268,8,360
132,93175,273,82,9,359
133,91126,267,79,8,357
134,92156,270,86,8,360
135,92507,96,271,9,360
136,92853,272,101,9,357
137,91470,82,268,8,359
138,93198,105,273,9,354
139,91829,100,269,8,358
140,93535,274,101,9,357
141,92832,272,80,9,358
142,90783,77,266,8,356
143,94219,103,276,9,356
144,91810,269,81,8,358
145,92155,85,270,8,360
146,91488,268,100,8,358
147,91124,267,77,8,356
148,90780,74,266,8,354
149,91814,269,85,8,360
150,92852,272,100,9,358
151,92151,81,270,8,358
152,93541,107,274,9,353
153,92512,271,101,9,357
154,92850,98,272,9,359
155,92150,80,270,8,358
156,91806,269,77,8,356
157,92495,271,84,9,360
158,91145,98,267,8,359
159,90445,265,80,8,358
160,92851,272,99,9,358
161,92165,95,270,8,360
162,92497,271,86,9,360
163,90442,77,265,8,356
164,93537,103,274,9,356
165,91827,269,98,8,359
166,92149,79,270,8,357
167,90101,264,77,8,356
168,92514,103,271,9,356
169,91824,95,269,8,360
170,93534,274,100,9,358
171,92836,272,84,9,360
172,93878,275,103,9,356
173,91483,95,268,8,360
174,93538,104,274,9,355
175,92496,271,85,9,360
176,91129,267,82,8,359
177,91469,81,268,8,358
178,93197,104,273,9,355
179,92506,95,271,9,360
180,91123,76,267,8,355
181,91470,268,82,8,359
182,93177,84,273,9,360
183,92510,271,99,9,358
184,91147,267,100,8,358
185,91815,86,269,8,360
186,93199,106,273,9,354
187,92164,270,94,8,360
188,90439,265,74,8,354
189,92850,272,98,9,359
190,90782,76,266,8,355
191,91143,267,96,8,360
192,91814,85,269,8,360
193,92148,78,270,8,357
194,90783,266,77,8,356
195,93881,275,106,9,354
196,92856,104,272,9,355
197,91813,269,84,8,360
198,93516,82,274,9,359
199,89760,263,77,8,355
200,92171,270,101,8,357
201,92837,85,272,9,360
202,91823,269,94,8,360
203,90438,73,265,8,353
204,92172,102,270,8,357
205,91128,267,81,8,358
206,93193,273,100,9,358
207,91472,84,268,8,360
208,92509,271,98,9,359
209,91831,102,269,8,357
210,90101,77,264,8,356
211,92163,93,270,8,360
212,92510,99,271,9,358
213,90780,266,74,8,354
214,93191,273,98,9,359
215,92834,272,82,9,359
216,92489,78,271,9,357
217,90442,265,77,8,356
218,91486,98,268,8,359
219,93540,274,106,9,354
220,92493,82,271,9,359
221,91121,74,267,8,354
222,90804,266,98,8,359
223,93534,100,274,9,358
224,91469,268,81,8,358
225,91129,82,267,8,359
226,55934,10,164,5,352
227,56959,12,167,5,353
228,57642,169,13,5,353
229,57299,11,168,5,354
230,91826,269,97,8,359
231,93541,274,107,9,353
232,57641,169,12,5,354
233,57301,13,168,5,353
234,91827,98,269,8,359
235,93879,104,275,9,355
236,92149,270,79,8,357
237,57982,170,12,5,355
238,91473,268,85,8,360
239,91822,269,93,8,360
240,90781,75,266,8,354
241,57639,10,169,5,355
242,91482,94,268,8,360
243,92851,99,272,9,358
244,91128,81,267,8,358
245,93175,82,273,9,359
246,57981,11,170,5,355
247,94220,276,104,9,355
248,91145,267,98,8,359
249,92841,89,272,9,360
250,93518,274,84,9,360
251,92171,101,270,8,357
252,91122,267,75,8,354
253,92515,271,104,9,355
254,90445,80,265,8,358
255,93191,98,273,9,359
256,92838,86,272,9,360
257,91142,267,95,8,360
258,90782,266,76,8,355
259,93538,274,104,9,355
260,93857,82,275,9,359
261,93177,273,84,9,360
262,92497,86,271,9,360
263,90441,76,265,8,355
264,90802,266,96,8,360
265,93192,99,273,9,358
266,93539,274,105,9,354
267,90100,264,76,8,355
268,91831,269,102,8,357
269,89760,77,263,8,355
270,93178,273,85,9,360
271,90098,264,74,8,354
272,91823,94,269,8,360
273,55248,6,162,5,352
274,93882,107,275,9,353
275,92507,271,96,9,360
276,56959,167,12,5,353
277,91483,268,95,8,360
278,90463,98,265,8,359
279,92147,77,270,8,356
280,92837,272,85,9,360
281,55246,4,162,5,352
282,91828,99,269,8,358
283,55589,6,163,5,353
284,93521,87,274,9,360
285,90787,266,81,8,358
286,91806,77,269,8,356
287,93192,273,99,9,358
288,94222,106,276,9,354
289,92157,270,87,8,360
290,93876,275,101,9,357
291,90122,98,264,8,359
292,90441,265,76,8,355
293,92156,86,270,8,360
294,93881,106,275,9,354
295,93516,274,82,9,359
296,90439,74,265,8,354
297,60034,176,18,5,352
298,56616,10,166,5,353
299,93859,275,84,9,360
300,90799,93,266,8,360
301,90461,96,265,8,360
302,94220,104,276,9,355
303,92173,270,103,8,356
304,92840,272,88,9,360
305,92489,271,78,9,357
306,93879,275,104,9,355
307,93533,99,274,9,358
308,92158,88,270,8,360
309,91481,268,93,8,360
310,90438,265,73,8,353
311,90100,76,264,8,355
312,59693,175,18,5,352
313,93861,86,275,9,360
314,93198,273,105,9,354
315,94200,276,84,9,360
316,90801,266,95,8,360
317,91480,92,268,8,360
318,93181,273,88,9,360
319,90440,75,265,8,354
320,90788,266,82,8,359
321,93880,105,275,9,354
322,56618,166,12,5,352
323,57301,168,13,5,353
324,93518,84,274,9,360
325,90787,81,266,8,358
326,94205,276,89,9,360
327,92857,272,105,9,354
328,56955,167,8,5,355
329,91141,94,267,8,360
330,90781,266,75,8,354
331,92839,272,87,9,360
332,94560,103,277,9,355
333,56614,8,166,5,354
334,91482,268,94,8,360
335,90804,98,266,8,359
336,91821,92,269,8,360
337,91121,267,74,8,354
338,93179,86,273,9,360
339,56957,10,167,5,354
340,91832,103,269,8,356
341,92841,272,89,9,360
342,90802,96,266,8,360
343,93533,274,99,9,358
344,91464,76,268,8,355
345,92499,88,271,9,360
346,93180,273,87,9,360
347,92173,103,270,8,356
348,93519,274,85,9,360
349,94561,277,104,9,354
350,91822,93,269,8,360
351,90097,73,264,8,353
352,90800,266,94,8,360
353,58665,13,172,5,355
354,92147,270,77,8,356
355,90120,264,96,8,360
356,93520,86,274,9,360
357,93882,275,107,9,353
358,94221,105,276,9,354
359,90099,75,264,8,354
360,90459,265,94,8,360
361,93876,101,275,9,357
362,89759,263,76,8,354
363,94222,276,106,9,354
364,57986,170,16,5,352
365,90098,74,264,8,354
366,91140,93,267,8,360
367,93859,84,275,9,360
368,92488,271,77,9,356
369,92840,88,272,9,360
370,56958,11,167,5,353
371,94199,276,83,9,359
372,93539,105,274,9,354
373,91832,269,103,8,356
