t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,93180,273,87,9,360
26,93855,80,275,9,358
27,91807,269,78,8,357
28,91121,74,267,8,354
29,92152,270,82,8,359
30,93514,80,274,9,358
31,91806,77,269,8,356
32,91466,268,78,8,357
33,93854,79,275,9,357
34,92150,270,80,8,358
35,91811,269,82,8,359
36,92489,78,271,9,357
37,93513,79,274,9,357
38,92151,270,81,8,358
39,91470,82,268,8,359
40,90786,266,80,8,358
41,93853,275,78,9,357
42,92490,79,271,9,357
43,91469,81,268,8,358
44,90445,265,80,8,358
45,91837,108,269,8,352
46,93512,274,78,9,357
47,91154,267,107,8,353
48,92491,80,271,9,358
49,91810,81,269,8,358
50,92148,270,78,8,357
51,91495,107,268,8,353
52,93172,79,273,9,357
53,91809,80,269,8,358
54,94194,276,78,9,357
55,91465,268,77,8,356
56,92149,270,79,8,357
57,93173,80,273,9,358
58,91128,81,267,8,358
59,92830,272,78,9,357
60,91836,269,107,8,353
61,92150,80,270,8,358
62,94195,79,276,9,357
63,91129,267,82,8,359
64,93171,273,78,9,357
65,90471,106,265,8,354
66,91496,268,108,8,352
67,91127,80,267,8,358
68,94194,78,276,9,357
69,90446,265,81,8,358
70,93170,273,77,9,356
71,91468,80,268,8,358
72,93512,78,274,9,357
73,92831,272,79,9,357
74,92147,270,77,8,356
75,91837,269,108,8,352
76,91125,78,267,8,357
77,90787,266,81,8,358
78,94193,77,276,9,356
79,92178,108,270,8,352
80,92832,272,80,9,358
81,63431,186,5,6,360
82,93171,78,273,9,357
83,93511,274,77,9,356
84,90104,264,80,8,358
85,121560,356,170,11,358
86,91808,79,269,8,357
87,90813,107,266,8,353
88,92148,78,270,8,357
89,93852,77,275,9,356
90,93181,273,88,9,360
91,91467,268,79,8,357
92,92177,270,107,8,353
93,93853,78,275,9,357
94,94193,276,77,9,356
95,91126,79,267,8,357
96,91836,107,269,8,353
97,90102,264,78,8,357
98,92488,271,77,9,356
99,92149,79,270,8,357
100,60357,0,177,5,361
101,122593,359,183,11,360
102,94876,278,78,9,356
103,91154,107,267,8,353
104,94192,76,276,9,355
105,90785,79,266,8,357
106,90105,81,264,8,358
107,91155,267,108,8,352
108,122253,358,183,11,360
109,92489,271,78,9,357
110,93513,274,79,9,357
111,120533,163,353,11,352
112,94875,77,278,9,355
113,91153,267,106,8,354
114,92840,272,88,9,360
115,90784,266,78,8,357
116,120535,353,165,11,353
117,94877,79,278,9,356
118,91130,83,267,8,359
119,91807,78,269,8,357
120,91496,108,268,8,352
121,92490,271,79,9,357
122,92829,272,77,9,356
123,91125,267,78,8,357
124,91494,268,106,8,354
125,90786,80,266,8,358
126,93170,77,273,9,356
127,121913,183,357,11,360
128,91466,78,268,8,357
129,90103,264,79,8,357
130,120534,353,164,11,353
131,93852,275,77,9,356
132,121573,183,356,11,360
133,92830,78,272,9,357
134,92178,270,108,8,352
135,91808,269,79,8,357
136,93511,77,274,9,356
137,94535,277,78,9,356
138,91462,74,268,8,354
139,91155,108,267,8,352
140,91806,269,77,8,356
141,90443,78,265,8,357
142,121574,356,184,11,360
143,121912,182,357,11,360
144,92841,272,89,9,360
145,120877,167,354,11,356
146,121575,356,185,11,360
147,121914,184,357,11,360
148,94876,78,278,9,356
149,91467,79,268,8,357
150,90106,264,82,8,359
151,94224,108,276,9,352
152,121234,355,184,11,360
153,92843,272,91,9,360
154,90447,265,82,8,359
155,91835,106,269,8,354
156,91495,268,107,8,353
157,90784,78,266,8,357
158,91147,267,100,8,358
159,122252,182,358,11,360
160,90444,79,265,8,357
161,95217,78,279,9,355
162,93883,275,108,9,352
163,91805,269,76,8,355
164,94875,278,77,9,355
165,121235,355,185,11,360
166,94535,78,277,9,356
167,120874,354,164,11,354
168,91465,77,268,8,356
169,121902,357,172,11,359
170,94874,278,76,9,354
171,92842,90,272,9,361
172,89763,263,80,8,357
173,90103,79,264,8,357
174,120873,163,354,11,353
175,91124,267,77,8,356
176,90813,266,107,8,353
177,93854,275,79,9,357
178,90104,80,264,8,358
179,91146,99,267,8,358
180,122253,183,358,11,360
181,92177,107,270,8,353
182,90785,266,79,8,357
183,97951,287,84,9,353
184,94534,277,77,9,355
185,89764,81,263,8,357
186,92831,79,272,9,357
187,121900,357,170,11,358
188,93538,104,274,9,355
189,91464,268,76,8,355
190,63431,5,186,6,360
191,93172,273,79,9,357
192,90102,78,264,8,357
193,122254,358,184,11,360
194,63768,187,1,6,359
195,91494,106,268,8,354
196,93882,275,107,9,353
197,120875,165,354,11,354
198,63444,186,18,6,352
199,91490,102,268,8,357
200,90812,106,266,8,354
201,91126,267,79,8,357
202,122256,358,186,11,360
203,120536,353,166,11,354
204,95558,78,280,9,355
205,91831,269,102,8,357
206,94536,277,79,9,356
207,120876,166,354,11,355
208,93526,274,92,9,360
209,92147,77,270,8,356
210,95560,80,280,9,356
211,120872,162,354,11,352
212,90790,84,266,8,360
213,121913,357,183,11,360
214,61040,179,1,5,360
215,94214,98,276,9,359
216,63440,186,14,6,355
217,120553,353,183,11,359
218,91153,106,267,8,354
219,64803,190,13,6,354
220,93873,275,98,9,359
221,120552,353,182,11,359
222,122257,187,358,11,359
223,63103,18,185,6,352
224,92839,272,87,9,360
225,91491,268,103,8,356
226,94195,276,79,9,357
227,89765,263,82,8,358
228,92492,81,271,9,358
229,63772,187,5,6,359
230,90130,106,264,8,354
231,93527,274,93,9,360
232,62762,18,184,6,352
233,92491,271,80,9,358
234,93881,275,106,9,354
235,93186,93,273,9,360
236,121914,357,184,11,360
237,92829,77,272,9,356
238,91493,268,105,8,354
239,94897,99,278,9,357
240,92173,270,103,8,356
241,90443,265,78,8,357
242,92488,77,271,9,356
243,94190,276,74,9,354
244,92828,272,76,9,355
245,89762,79,263,8,356
246,90783,266,77,8,356
247,120554,184,353,11,359
248,122593,183,359,11,360
249,93169,76,273,9,355
250,91124,77,267,8,356
251,92854,272,102,9,357
252,122585,359,175,11,360
253,62760,184,16,6,354
254,92161,91,270,8,360
255,63781,14,187,6,354
256,92513,102,271,9,357
257,63101,185,16,6,354
258,92146,270,76,8,355
259,95901,80,281,9,355
260,122594,184,359,11,360
261,91832,103,269,8,356
262,121917,187,357,11,359
263,64804,14,190,6,353
264,88749,260,89,8,358
265,90444,265,79,8,357
266,64125,17,188,6,352
267,62421,183,18,6,352
268,91152,267,105,8,354
269,95219,279,80,9,356
270,92159,89,270,8,360
271,90471,265,106,8,354
272,88748,88,260,8,358
273,94551,94,277,9,359
274,95558,280,78,9,355
275,120892,182,354,11,360
276,90454,265,89,8,360
277,91123,76,267,8,355
278,92176,106,270,8,354
279,91488,100,268,8,358
280,90442,265,77,8,356
281,93510,76,274,9,355
282,92162,270,92,8,360
283,120543,353,173,11,358
284,90472,107,265,8,353
285,121574,184,356,11,360
286,94210,94,276,9,360
287,63784,17,187,6,352
288,121912,357,182,11,360
289,90445,80,265,8,358
290,89764,263,81,8,357
291,90812,266,106,8,354
292,120555,353,185,11,359
293,120894,354,184,11,360
294,92832,80,272,9,358
295,62419,183,16,6,354
296,90463,265,98,8,359
297,120878,168,354,11,357
298,120193,352,163,11,352
299,121573,356,183,11,360
300,89763,80,263,8,357
301,91835,269,106,8,354
302,93849,275,74,9,354
303,62080,18,182,6,352
304,65145,191,14,6,352
305,92855,103,272,9,356
306,91809,269,80,8,358
307,93851,76,275,9,355
308,120212,182,352,11,359
309,122251,358,181,11,360
310,60025,176,9,5,358
311,91464,76,268,8,355
312,92844,272,92,9,360
313,120873,354,163,11,353
314,90811,105,266,8,354
315,93196,273,103,9,356
316,64805,190,15,6,352
317,119861,171,351,11,356
318,92506,95,271,9,360
319,94192,276,76,9,355
320,90783,77,266,8,356
321,92172,102,270,8,357
322,93855,275,80,9,358
323,120210,352,180,11,359
324,91140,93,267,8,360
325,92847,95,272,9,360
326,89761,263,78,8,356
327,61739,18,181,6,352
328,64109,188,1,6,359
329,94196,276,80,9,358
330,89432,90,262,8,360
331,90101,264,77,8,356
332,64124,188,16,6,353
333,91805,76,269,8,355
334,94190,74,276,9,354
335,90108,84,264,8,360
336,94536,79,277,9,356
337,93195,273,102,9,357
338,64123,15,188,6,353
339,91833,269,104,8,355
340,92487,271,76,9,355
341,91152,105,267,8,354
342,91487,268,99,8,358
343,90130,264,106,8,354
344,119175,349,166,11,352
345,93185,273,92,9,360
346,92845,93,272,9,360
347,63441,186,15,6,354
348,91492,104,268,8,355
349,121213,163,355,11,353
350,64114,6,188,6,359
351,90470,265,105,8,354
352,120895,185,354,11,360
353,94537,277,80,9,357
354,90107,264,83,8,359
355,95239,100,279,9,356
356,92828,76,272,9,355
357,94191,75,276,9,354
358,92493,82,271,9,359
359,90442,77,265,8,356
360,90782,266,76,8,355
361,122252,358,182,11,360
362,91141,267,94,8,360
363,91803,269,74,8,354
364,120214,184,352,11,359
365,121212,355,162,11,352
366,92146,76,270,8,355
367,95217,279,78,9,355
368,122255,358,185,11,360
369,89762,263,79,8,356
370,89434,262,92,8,359
371,120194,164,352,11,353
372,91123,267,76,8,355
373,92174,104,270,8,355
