t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,93518,84,274,9,360
26,92493,271,82,9,359
27,91468,268,80,8,358
28,92148,78,270,8,357
29,92835,83,272,9,359
30,92492,271,81,9,358
31,91809,80,269,8,358
32,92147,270,77,8,356
33,57980,10,170,5,356
34,92494,83,271,9,359
35,91811,269,82,8,359
36,91127,267,80,8,358
37,58662,10,172,5,357
38,92489,78,271,9,357
39,92152,270,82,8,359
40,91803,74,269,8,354
41,93514,80,274,9,358
42,60030,176,14,5,355
43,91128,267,81,8,358
44,59344,10,174,5,358
45,57976,170,6,5,358
46,56610,4,166,5,355
47,92834,82,272,9,359
48,92491,271,80,9,358
49,92144,74,270,8,354
50,91469,268,81,8,358
51,59003,173,10,5,357
52,92493,82,271,9,359
53,92150,80,270,8,358
54,92830,272,78,9,357
55,58321,10,171,5,356
56,59342,8,174,5,359
57,91810,269,81,8,358
58,58658,172,6,5,359
59,60031,176,15,5,354
60,93175,82,273,9,359
61,93853,275,78,9,357
62,90787,81,266,8,358
63,58999,6,173,5,359
64,92829,272,77,9,356
65,59341,174,7,5,359
66,92151,81,270,8,358
67,94194,276,78,9,357
68,59001,8,173,5,358
69,90786,266,80,8,358
70,92488,77,271,9,356
71,57294,168,6,5,357
72,93174,81,273,9,358
73,93512,274,78,9,357
74,90445,265,80,8,358
75,92149,79,270,8,357
76,61055,16,179,5,354
77,57635,6,169,5,357
78,93173,80,273,9,358
79,92490,271,79,9,357
80,57979,170,9,5,356
81,90784,78,266,8,357
82,92150,270,80,8,358
83,94193,276,77,9,356
84,93513,79,274,9,357
85,61056,179,17,5,353
86,90104,80,264,8,358
87,122573,359,163,11,353
88,91125,267,78,8,357
89,56953,6,167,5,356
90,93511,274,77,9,356
91,122574,359,164,11,354
92,93171,78,273,9,357
93,57980,170,10,5,356
94,90785,266,79,8,357
95,56947,167,0,5,357
96,91466,78,268,8,357
97,61395,180,15,6,354
98,92491,80,271,9,358
99,93852,275,77,9,356
100,122234,358,164,11,354
101,61054,15,179,5,354
102,90786,80,266,8,358
103,92489,271,78,9,357
104,93170,77,273,9,356
105,91467,79,268,8,357
106,60715,178,17,5,353
107,61052,13,179,5,356
108,92148,270,78,8,357
109,93172,273,79,9,357
110,94193,77,276,9,356
111,92485,271,74,9,354
112,91807,78,269,8,357
113,92831,272,79,9,357
114,94192,276,76,9,355
115,59006,13,173,5,355
116,93512,78,274,9,357
117,91470,268,82,8,359
118,90446,81,265,8,358
119,58320,171,9,5,356
120,93542,108,274,9,352
121,91126,267,79,8,357
122,90445,80,265,8,358
123,58317,171,6,5,358
124,93853,78,275,9,357
125,91808,79,269,8,357
126,94534,277,77,9,355
127,58322,11,171,5,355
128,92832,80,272,9,358
129,93171,273,78,9,357
130,55925,164,1,5,354
131,90444,265,79,8,357
132,93852,77,275,9,356
133,122235,358,165,11,354
134,93201,108,273,9,352
135,90443,265,78,8,357
136,89763,80,263,8,357
137,93854,275,79,9,357
138,91806,77,269,8,356
139,60711,178,13,5,356
140,61397,17,180,6,353
141,92830,78,272,9,357
142,59341,7,174,5,359
143,93541,274,107,9,353
144,58321,171,10,5,356
145,91809,269,80,8,358
146,94876,278,78,9,356
147,57977,7,170,5,357
148,92149,270,79,8,357
149,92860,272,108,9,352
150,57637,169,8,5,356
151,91468,80,268,8,358
152,94194,78,276,9,357
153,59000,7,173,5,358
154,92490,79,271,9,357
155,91469,81,268,8,358
156,90104,264,80,8,358
157,94535,277,78,9,356
158,58999,173,6,5,359
159,94195,276,79,9,357
160,93200,107,273,9,353
161,57634,169,5,5,357
162,90105,81,264,8,358
163,91466,268,78,8,357
164,93172,79,273,9,357
165,60370,13,177,5,356
166,92519,271,108,9,352
167,90787,266,81,8,358
168,94875,278,77,9,355
169,91127,80,267,8,358
170,92831,79,272,9,357
171,92492,81,271,9,358
172,61398,180,18,6,352
173,91125,78,267,8,357
174,90103,264,79,8,357
175,121552,162,356,11,352
176,93855,275,80,9,358
177,61057,18,179,5,352
178,92178,108,270,8,352
179,60710,178,12,5,357
180,90102,264,78,8,357
181,122232,162,358,11,352
182,93883,275,108,9,352
183,93511,77,274,9,356
184,92833,272,81,9,358
185,93167,74,273,9,354
186,91467,268,79,8,357
187,61738,17,181,6,353
188,93542,274,108,9,352
189,93170,273,77,9,356
190,91126,79,267,8,357
191,91807,269,78,8,357
192,93851,76,275,9,355
193,62079,182,17,6,353
194,92859,107,272,9,353
195,57293,168,5,5,357
196,91128,81,267,8,358
197,122572,359,162,11,352
198,94191,276,75,9,354
199,91837,108,269,8,352
200,90784,266,78,8,357
201,92147,77,270,8,356
202,61739,18,181,6,352
203,122575,165,359,11,354
204,94876,78,278,9,356
205,91808,269,79,8,357
206,92860,108,272,9,352
207,60374,177,17,5,353
208,95558,280,78,9,355
209,93540,274,106,9,354
210,90446,265,81,8,358
211,93201,273,108,9,352
212,93854,79,275,9,357
213,92829,77,272,9,356
214,90443,78,265,8,357
215,90106,82,264,8,359
216,93541,107,274,9,353
217,94878,278,80,9,357
218,94192,76,276,9,355
219,57631,2,169,5,357
220,90105,264,81,8,358
221,58322,171,11,5,355
222,93513,274,79,9,357
223,92519,108,271,9,352
224,94535,78,277,9,356
225,58661,9,172,5,357
226,92151,270,81,8,358
227,57290,2,168,5,357
228,93173,273,80,9,358
229,90444,79,265,8,357
230,91810,81,269,8,358
231,93882,275,107,9,353
232,94190,276,74,9,354
233,92488,271,77,9,356
234,92832,272,80,9,358
235,90447,82,265,8,359
236,94195,79,276,9,357
237,60025,176,9,5,358
238,91465,268,77,8,356
239,92178,270,108,8,352
240,90785,79,266,8,357
241,95217,78,279,9,355
242,93199,273,106,9,354
243,91806,269,77,8,356
244,90103,79,264,8,357
245,93851,275,76,9,355
246,59343,9,174,5,358
247,93200,273,107,9,353
248,89764,263,81,8,357
249,94877,79,278,9,356
250,60372,15,177,5,354
251,92177,107,270,8,353
252,60716,178,18,5,352
253,90102,78,264,8,357
254,91496,108,268,8,352
255,92518,107,271,9,353
256,57295,168,7,5,356
257,60373,177,16,5,354
258,93514,274,80,9,358
259,62080,18,182,6,352
260,94874,76,278,9,354
261,92826,272,74,9,354
262,61737,16,181,6,354
263,56607,1,166,5,355
264,93515,81,274,9,358
265,91495,268,107,8,353
266,92152,82,270,8,359
267,89763,263,80,8,357
268,61398,18,180,6,352
269,94536,277,79,9,356
270,55583,0,163,5,354
271,93849,74,275,9,354
272,91811,82,269,8,359
273,93176,273,83,9,359
274,94196,276,80,9,358
275,90442,265,77,8,356
276,93510,76,274,9,355
277,93198,273,105,9,354
278,59684,9,175,5,358
279,90788,266,82,8,359
280,92858,106,272,9,354
281,93517,83,274,9,359
282,93169,76,273,9,355
283,91124,77,267,8,356
284,121212,355,162,11,352
285,89765,263,82,8,358
286,92859,272,107,9,353
287,94533,277,76,9,354
288,122233,163,358,11,353
289,91129,82,267,8,359
290,94224,108,276,9,352
291,59002,9,173,5,357
292,92146,270,76,8,355
293,58663,172,11,5,356
294,90448,265,83,8,359
295,91836,269,107,8,353
296,94531,277,74,9,353
297,93855,80,275,9,358
298,90783,77,266,8,356
299,57637,8,169,5,356
300,93174,273,81,9,358
301,95560,80,280,9,356
302,121554,164,356,11,354
303,90449,265,84,8,360
304,93199,106,273,9,354
305,92828,76,272,9,355
306,92177,270,107,8,353
307,90447,265,82,8,359
308,93540,106,274,9,354
309,94875,77,278,9,355
310,92494,271,83,9,359
311,91154,107,267,8,353
312,92176,270,106,8,354
313,92833,81,272,9,358
314,91812,269,83,8,359
315,122232,358,162,11,352
316,92517,106,271,9,354
317,93508,74,274,9,354
318,59683,175,8,5,359
319,61057,179,18,5,352
320,94537,80,277,9,357
321,57636,7,169,5,356
322,90813,266,107,8,353
323,91805,269,76,8,355
324,92175,105,270,8,354
325,93881,275,106,9,354
326,91131,267,84,8,360
327,60375,177,18,5,352
328,93515,274,81,9,358
329,121894,164,357,11,354
330,92157,87,270,8,360
331,60716,18,178,5,352
332,91465,77,268,8,356
333,92487,271,76,9,355
334,94190,74,276,9,354
335,89761,78,263,8,356
336,91495,107,268,8,353
337,90101,264,77,8,356
338,94536,79,277,9,356
339,94872,278,74,9,353
340,92516,271,105,9,354
341,95557,77,280,9,354
342,89762,79,263,8,356
343,91462,268,74,8,354
344,92857,105,272,9,354
345,94534,77,277,9,355
346,90450,265,85,8,360
347,62078,182,16,6,354
348,92518,271,107,9,353
349,55584,163,1,5,353
350,90442,77,265,8,356
351,61739,181,18,6,352
352,91836,107,269,8,353
353,121893,357,163,11,353
354,92834,272,82,9,359
355,89764,81,263,8,357
356,91124,267,77,8,356
357,93858,83,275,9,359
358,94877,278,79,9,356
359,93510,274,76,9,355
360,62421,18,183,6,352
361,91835,269,106,8,354
362,95558,78,280,9,355
363,90783,266,77,8,356
364,57638,169,9,5,355
365,92858,272,106,9,354
366,90108,84,264,8,360
367,58316,5,171,5,358
368,91470,82,268,8,359
369,92835,272,83,9,359
370,91154,267,107,8,353
371,93198,105,273,9,354
372,91476,268,88,8,360
373,57630,169,1,5,357
