t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,94196,80,276,9,358
26,92830,272,78,9,357
27,92147,77,270,8,356
28,93510,274,76,9,355
29,93855,275,80,9,358
30,94195,79,276,9,357
31,92829,77,272,9,356
32,92489,271,78,9,357
33,94878,80,278,9,357
34,93854,275,79,9,357
35,92828,272,76,9,355
36,94194,276,78,9,357
37,92488,77,271,9,356
38,94879,81,278,9,357
39,95560,280,80,9,356
40,93853,78,275,9,357
41,92829,272,77,9,356
42,94190,74,276,9,354
43,95219,279,80,9,356
44,94876,78,278,9,356
45,96930,86,284,9,355
46,92488,271,77,9,356
47,93849,74,275,9,354
48,97270,285,85,9,354
49,94196,276,80,9,358
50,95558,78,280,9,355
51,92147,270,77,8,356
52,93850,75,275,9,354
53,94878,278,80,9,357
54,94194,78,276,9,357
55,97611,85,286,9,354
56,93169,76,273,9,355
57,97271,285,86,9,354
58,93509,274,75,9,354
59,93855,80,275,9,358
60,94193,276,77,9,356
61,92489,78,271,9,357
62,96932,88,284,9,355
63,97610,286,84,9,354
64,94189,276,73,9,353
65,93513,274,79,9,357
66,94537,80,277,9,357
67,92487,271,76,9,355
68,95217,78,279,9,355
69,93508,74,274,9,354
70,96930,284,86,9,355
71,94877,278,79,9,356
72,92146,76,270,8,355
73,93514,80,274,9,358
74,96931,87,284,9,355
75,58997,4,173,5,359
76,94190,276,74,9,354
77,93512,274,78,9,357
78,96242,80,282,9,355
79,91805,76,269,8,355
80,93849,275,74,9,354
81,59681,6,175,5,360
82,95901,281,80,9,355
83,97270,85,285,9,354
84,93857,275,82,9,359
85,93171,78,273,9,357
86,94530,73,277,9,352
87,97611,286,85,9,354
88,120195,352,165,11,353
89,59337,3,174,5,360
90,93168,273,75,9,354
91,93853,275,78,9,357
92,95557,77,280,9,354
93,97610,84,286,9,354
94,59338,174,4,5,360
95,92148,270,78,8,357
96,59678,3,175,5,360
97,93848,73,275,9,353
98,94880,82,278,9,358
99,120876,166,354,11,355
100,94535,277,78,9,356
101,97951,287,84,9,353
102,92828,76,272,9,355
103,93516,274,82,9,359
104,94875,77,278,9,355
105,93167,273,74,9,354
106,97271,86,285,9,354
107,59677,175,2,5,360
108,94198,82,276,9,359
109,60705,7,178,5,359
110,97612,286,86,9,354
111,60018,176,2,5,360
112,94197,276,81,9,358
113,61045,6,179,5,360
114,93169,273,76,9,355
115,60359,177,2,5,360
116,61390,180,10,6,358
117,94189,73,276,9,353
118,92830,78,272,9,357
119,58654,2,172,5,359
120,97275,285,90,9,355
121,94195,276,79,9,357
122,92148,78,270,8,357
123,93508,274,74,9,354
124,97272,87,285,9,354
125,60701,3,178,5,360
126,94188,72,276,9,352
127,58652,172,0,5,360
128,59339,174,5,5,360
129,121560,356,170,11,358
130,94199,83,276,9,359
131,94876,278,78,9,356
132,92146,270,76,8,355
133,58653,1,172,5,359
134,121900,357,170,11,358
135,93854,79,275,9,357
136,94879,278,81,9,357
137,92487,76,271,9,355
138,97952,85,287,9,353
139,63782,187,15,6,353
140,96592,283,89,9,356
141,60023,7,176,5,359
142,93856,275,81,9,358
143,94200,84,276,9,360
144,92826,272,74,9,354
145,60703,178,5,5,360
146,96932,284,88,9,355
147,93510,76,274,9,355
148,92832,272,80,9,358
149,60704,178,6,5,360
150,59675,0,175,5,361
151,95556,76,280,9,353
152,122239,358,169,11,357
153,93850,275,75,9,354
154,94534,277,77,9,355
155,60021,176,5,5,360
156,93513,79,274,9,357
157,91805,269,76,8,355
158,61732,181,11,6,357
159,97273,88,285,9,354
160,61044,5,179,5,360
161,91806,77,269,8,356
162,95558,280,78,9,355
163,60022,176,6,5,360
164,96252,282,90,9,358
165,60701,178,3,5,360
166,120877,167,354,11,356
167,93852,77,275,9,356
168,94530,277,73,9,352
169,96934,90,284,9,356
170,94201,276,85,9,360
171,95899,78,281,9,354
172,62756,184,12,6,357
173,93507,73,274,9,353
174,94541,277,84,9,359
175,96933,284,89,9,355
176,120878,354,168,11,357
177,93848,275,73,9,353
178,63099,185,14,6,355
179,93512,78,274,9,357
180,120194,164,352,11,353
181,95554,280,74,9,352
182,93175,273,82,9,359
183,93509,75,274,9,354
184,97612,86,286,9,354
185,59335,174,1,5,360
186,63439,13,186,6,356
187,93173,80,273,9,358
188,58997,173,4,5,359
189,96593,90,283,9,357
190,59334,0,174,5,361
191,59681,175,6,5,360
192,96931,284,87,9,355
193,92145,75,270,8,354
194,91121,267,74,8,354
195,59679,4,175,5,360
196,96240,78,282,9,354
197,94880,278,82,9,358
198,62073,11,182,6,357
199,59675,175,0,5,361
200,92827,272,75,9,354
201,95561,81,280,9,356
202,96241,282,79,9,354
203,93847,72,275,9,352
204,59680,5,175,5,360
205,94197,81,276,9,358
206,97951,84,287,9,353
207,61729,8,181,6,359
208,95560,80,280,9,356
209,95911,90,281,9,358
210,93174,273,81,9,358
211,61728,7,181,6,359
212,58994,1,173,5,359
213,93857,82,275,9,359
214,97272,285,87,9,354
215,94188,276,72,9,352
216,59339,5,174,5,360
217,58993,173,0,5,360
218,93517,274,83,9,359
219,92485,74,271,9,354
220,95221,279,82,9,357
221,95559,79,280,9,355
222,93518,274,84,9,360
223,93167,74,273,9,354
224,61043,4,179,5,360
225,122579,169,359,11,357
226,96592,89,283,9,356
227,62416,13,183,6,356
228,92486,271,75,9,354
229,120195,165,352,11,353
230,94871,73,278,9,352
231,97613,286,87,9,354
232,91803,269,74,8,354
233,63440,14,186,6,355
234,91464,76,268,8,355
235,95562,280,82,9,357
236,93856,81,275,9,358
237,97952,287,85,9,353
238,63781,187,14,6,354
239,120535,353,165,11,353
240,91463,268,75,8,354
241,93166,73,273,9,353
242,122583,173,359,11,359
243,93858,275,83,9,359
244,95555,75,280,9,352
245,120196,352,166,11,354
246,91462,268,74,8,354
247,96594,91,283,9,356
248,121898,357,168,11,357
249,61388,180,8,6,359
250,93168,75,273,9,354
251,94877,79,278,9,356
252,63783,187,16,6,353
253,95557,280,77,9,354
254,60359,2,177,5,360
255,94882,278,84,9,359
256,60023,176,7,5,359
257,97950,287,83,9,352
258,94539,82,277,9,358
259,63442,186,16,6,354
260,96933,89,284,9,355
261,94200,276,84,9,360
262,91464,268,76,8,355
263,92144,74,270,8,354
264,58995,2,173,5,359
265,60021,5,176,5,360
266,97616,286,90,9,355
267,96935,284,91,9,355
268,60360,3,177,5,360
269,92833,81,272,9,358
270,120875,165,354,11,354
271,96934,284,90,9,356
272,60361,4,177,5,360
273,93507,274,73,9,353
274,64124,188,16,6,353
275,96252,90,282,9,358
276,91804,75,269,8,354
277,93514,274,80,9,358
278,63438,12,186,6,357
279,95570,280,90,9,359
280,94872,74,278,9,353
281,93506,274,72,9,352
282,95903,82,281,9,356
283,93859,275,84,9,360
284,92826,74,272,9,354
285,62075,13,182,6,356
286,64123,15,188,6,353
287,97275,90,285,9,355
288,58654,172,2,5,359
289,93515,81,274,9,358
290,121219,355,169,11,357
291,92825,272,73,9,353
292,120876,354,166,11,355
293,97614,88,286,9,354
294,121218,168,355,11,357
295,94201,85,276,9,360
296,62757,184,13,6,356
297,95564,280,84,9,358
298,92827,75,272,9,354
299,94537,277,80,9,357
300,121220,170,355,11,358
301,93860,85,275,9,360
302,61043,179,4,5,360
303,91806,269,77,8,356
304,98292,288,84,9,352
305,95901,80,281,9,355
306,97613,87,286,9,354
307,62758,184,14,6,355
308,91803,74,269,8,354
309,121899,357,169,11,357
310,96593,283,90,9,357
311,95898,281,77,9,353
312,95562,82,280,9,357
313,93847,275,72,9,352
314,62412,9,183,6,358
315,94881,278,83,9,358
316,91462,74,268,8,354
317,119856,166,351,11,353
318,93174,81,273,9,358
319,95568,280,88,9,358
320,59680,175,5,5,360
321,97274,285,89,9,354
322,60020,176,4,5,360
323,95554,74,280,9,352
324,94199,276,83,9,359
325,93166,273,73,9,353
326,60019,3,176,5,360
327,60365,177,8,5,359
328,91463,75,268,8,354
329,97276,91,285,9,354
330,63097,12,185,6,357
331,96242,282,80,9,355
332,94198,276,82,9,359
333,120534,164,353,11,353
334,92485,271,74,9,354
335,93518,84,274,9,360
336,120196,166,352,11,354
337,95221,82,279,9,357
338,97614,286,88,9,354
339,93519,274,85,9,360
340,121902,357,172,11,359
341,61048,9,179,5,358
342,122238,358,168,11,357
343,120536,353,166,11,354
344,92486,75,271,9,354
345,97615,89,286,9,354
346,95566,86,280,9,358
347,120874,164,354,11,354
348,95229,279,90,9,359
349,63100,15,185,6,354
350,60017,1,176,5,360
351,93165,72,273,9,352
352,91122,267,75,8,354
353,96239,77,282,9,353
354,97618,92,286,9,354
355,93173,273,80,9,358
356,92145,270,75,8,354
357,63101,185,16,6,354
358,92825,73,272,9,353
359,97273,285,88,9,354
360,63441,186,15,6,354
361,95223,84,279,9,358
362,92832,80,272,9,358
363,95561,280,81,9,356
364,63440,186,14,6,355
365,59679,175,4,5,360
366,91121,74,267,8,354
367,95217,279,78,9,355
368,121217,167,355,11,356
369,91804,269,75,8,354
370,97953,287,86,9,353
371,63780,13,187,6,355
372,95567,87,280,9,358
373,62760,184,16,6,354
