t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,94191,75,276,9,354
26,93167,74,273,9,354
27,94533,277,76,9,354
28,59338,4,174,5,360
29,93850,275,75,9,354
30,94190,74,276,9,354
31,58652,0,172,5,360
32,122241,358,171,11,358
33,94532,277,75,9,353
34,94192,76,276,9,355
35,93849,275,74,9,354
36,61730,181,9,6,358
37,59679,175,4,5,360
38,94189,73,276,9,353
39,93508,274,74,9,354
40,60703,5,178,5,360
41,93851,275,76,9,355
42,122240,358,170,11,358
43,94531,74,277,9,353
44,62071,182,9,6,358
45,59335,1,174,5,360
46,60021,176,5,5,360
47,94190,276,74,9,354
48,92484,73,271,9,353
49,94880,278,82,9,358
50,93853,78,275,9,357
51,60020,176,4,5,360
52,59680,5,175,5,360
53,62072,10,182,6,358
54,93849,74,275,9,354
55,94194,276,78,9,357
56,60018,176,2,5,360
57,92825,272,73,9,353
58,61044,5,179,5,360
59,94193,77,276,9,356
60,121899,169,357,11,357
61,93848,275,73,9,353
62,92826,74,272,9,354
63,59679,4,175,5,360
64,121900,357,170,11,358
65,94882,278,84,9,359
66,60363,177,6,5,360
67,94196,80,276,9,358
68,63097,185,12,6,357
69,59677,175,2,5,360
70,60022,6,176,5,360
71,94189,276,73,9,353
72,93508,74,274,9,354
73,94876,278,78,9,356
74,95564,84,280,9,358
75,94188,72,276,9,352
76,59678,3,175,5,360
77,61045,179,6,5,360
78,93167,273,74,9,354
79,94198,276,82,9,359
80,121558,168,356,11,357
81,94879,81,278,9,357
82,60360,3,177,5,360
83,59338,174,4,5,360
84,94191,276,75,9,354
85,94882,84,278,9,359
86,62756,184,12,6,357
87,93847,72,275,9,352
88,93507,274,73,9,353
89,62413,10,183,6,358
90,60019,176,3,5,360
91,60362,5,177,5,360
92,96930,86,284,9,355
93,94539,277,82,9,358
94,94194,78,276,9,357
95,60021,5,176,5,360
96,122580,359,170,11,358
97,96931,284,87,9,355
98,60361,177,4,5,360
99,121559,169,356,11,357
100,94188,276,72,9,352
101,93848,73,275,9,353
102,94883,278,85,9,359
103,94541,84,277,9,359
104,61731,10,181,6,358
105,59337,174,3,5,360
106,93166,73,273,9,353
107,58993,0,173,5,360
108,91801,269,72,8,352
109,94192,276,76,9,355
110,61386,180,6,6,360
111,94880,82,278,9,358
112,96930,284,86,9,355
113,59680,175,5,5,360
114,60361,4,177,5,360
115,94530,277,73,9,352
116,94197,276,81,9,358
117,93857,82,275,9,359
118,60702,4,178,5,360
119,93507,73,274,9,353
120,94195,276,79,9,357
121,60363,6,177,5,360
122,94878,80,278,9,357
123,121898,357,168,11,357
124,92484,271,73,9,353
125,60704,178,6,5,360
126,94198,82,276,9,359
127,93850,75,275,9,354
128,121217,355,167,11,356
129,59337,3,174,5,360
130,94196,276,80,9,358
131,60022,176,6,5,360
132,93847,275,72,9,352
133,97272,87,285,9,354
134,60360,177,3,5,360
135,60020,4,176,5,360
136,120877,167,354,11,356
137,96932,284,88,9,355
138,94199,83,276,9,359
139,92825,73,272,9,353
140,94541,277,84,9,359
141,93506,72,274,9,352
142,63440,186,14,6,355
143,94197,81,276,9,358
144,93166,273,73,9,353
145,94881,278,83,9,358
146,63439,13,186,6,356
147,97270,85,285,9,354
148,94193,276,77,9,356
149,58653,1,172,5,359
150,60703,178,5,5,360
151,92826,272,74,9,354
152,94200,84,276,9,360
153,60019,3,176,5,360
154,94530,73,277,9,352
155,97611,85,286,9,354
156,94195,79,276,9,357
157,95564,280,84,9,358
158,120876,166,354,11,355
159,96931,87,284,9,355
160,60705,178,7,5,359
161,94883,85,278,9,359
162,97610,286,84,9,354
163,94199,276,83,9,359
164,122582,172,359,11,359
165,61047,8,179,5,359
166,92142,72,270,8,352
167,93509,274,75,9,354
168,94531,277,74,9,353
169,95565,85,280,9,358
170,97612,286,86,9,354
171,63098,185,13,6,356
172,62755,184,11,6,357
173,58995,2,173,5,359
174,93165,72,273,9,352
175,95563,280,83,9,357
176,93510,274,76,9,355
177,93855,80,275,9,358
178,97271,86,285,9,354
179,94875,278,77,9,355
180,93506,274,72,9,352
181,93856,81,275,9,358
182,120536,166,353,11,354
183,97272,285,87,9,354
184,94200,276,84,9,360
185,61387,180,7,6,359
186,120875,354,165,11,354
187,94881,83,278,9,358
188,92485,74,271,9,354
189,61388,8,180,6,359
190,97613,87,286,9,354
191,63781,14,187,6,354
192,92483,72,271,9,352
193,95565,280,85,9,358
194,93858,275,83,9,359
195,94876,78,278,9,356
196,92824,272,72,9,352
197,97611,286,85,9,354
198,95223,84,279,9,358
199,63099,185,14,6,355
200,92829,77,272,9,356
201,94874,76,278,9,354
202,97610,84,286,9,354
203,95221,279,82,9,357
204,93165,273,72,9,352
205,97270,285,85,9,354
206,61047,179,8,5,359
207,60702,178,4,5,360
208,93854,79,275,9,357
209,94872,278,74,9,353
210,92828,76,272,9,355
211,120876,354,166,11,355
212,97951,84,287,9,353
213,64123,15,188,6,353
214,94877,79,278,9,356
215,93168,273,75,9,354
216,97613,286,87,9,354
217,93514,274,80,9,358
218,94879,278,81,9,357
219,120195,165,352,11,353
220,95566,86,280,9,358
221,93509,75,274,9,354
222,95923,102,281,9,354
223,93169,273,76,9,355
224,120874,164,354,11,354
225,95583,280,103,9,354
226,94871,278,73,9,352
227,93510,76,274,9,355
228,95905,84,281,9,357
229,63440,14,186,6,355
230,62754,184,10,6,358
231,92829,272,77,9,356
232,94901,103,278,9,355
233,93855,275,80,9,358
234,120535,353,165,11,353
235,97614,286,88,9,354
236,95558,78,280,9,355
237,94878,278,80,9,357
238,94222,106,276,9,354
239,95242,279,103,9,354
240,94540,83,277,9,358
241,64124,16,188,6,353
242,92828,272,76,9,355
243,95582,102,280,9,355
244,94560,103,277,9,355
245,93879,275,104,9,355
246,120194,352,164,11,353
247,95223,279,84,9,358
248,95581,280,101,9,355
249,94220,104,276,9,355
250,95921,281,100,9,355
251,94875,77,278,9,355
252,93169,76,273,9,355
253,93856,275,81,9,358
254,122581,359,171,11,358
255,92856,272,104,9,355
256,95557,77,280,9,354
257,92483,271,72,9,352
258,94219,103,276,9,356
259,93197,273,104,9,355
260,95224,279,85,9,358
261,95562,82,280,9,357
262,92824,72,272,9,352
263,63782,187,15,6,353
264,95241,102,279,9,355
265,120534,164,353,11,353
266,93515,274,81,9,358
267,92142,270,72,8,352
268,94559,102,277,9,356
269,95221,82,279,9,357
270,94877,278,79,9,356
271,92487,76,271,9,355
272,63783,16,187,6,353
273,94537,80,277,9,357
274,94900,278,102,9,356
275,92515,104,271,9,355
276,91801,72,269,8,352
277,93512,274,78,9,357
278,122582,359,172,11,359
279,94872,74,278,9,353
280,95562,280,82,9,357
281,92827,272,75,9,354
282,95922,281,101,9,354
283,60364,177,7,5,359
284,93196,103,273,9,356
285,94873,75,278,9,353
286,93853,275,78,9,357
287,95222,83,279,9,357
288,120195,352,165,11,353
289,94901,278,103,9,355
290,93168,75,273,9,354
291,93876,101,275,9,357
292,92487,271,76,9,355
293,95580,280,100,9,356
294,94532,75,277,9,353
295,93513,274,79,9,357
296,93878,275,103,9,356
297,94874,278,76,9,354
298,95563,83,280,9,357
299,64465,189,16,6,352
300,93881,106,275,9,354
301,94871,73,278,9,352
302,92485,271,74,9,354
303,95582,280,102,9,355
304,93879,104,275,9,355
305,94560,277,103,9,355
306,64806,190,16,6,352
307,95558,280,78,9,355
308,92486,75,271,9,354
309,94534,77,277,9,355
310,61389,180,9,6,358
311,120193,163,352,11,352
312,94899,101,278,9,356
313,94538,277,81,9,357
314,92856,104,272,9,355
315,96247,85,282,9,357
316,95581,101,280,9,355
317,93854,275,79,9,357
318,120533,163,353,11,352
319,92858,272,106,9,354
320,96240,282,78,9,354
321,93877,275,102,9,357
322,95240,279,101,9,355
323,95920,281,99,9,355
324,96246,84,282,9,357
325,92827,75,272,9,354
326,94537,277,80,9,357
327,63442,16,186,6,354
328,95906,85,281,9,357
329,95579,99,280,9,356
330,94900,102,278,9,356
331,92486,271,75,9,354
332,120194,164,352,11,353
333,95921,100,281,9,355
334,95560,80,280,9,356
335,93538,274,104,9,355
336,119854,351,164,11,352
337,94559,277,102,9,356
338,96248,282,86,9,357
339,92515,271,104,9,355
340,93512,78,274,9,357
341,92144,270,74,8,354
342,95557,280,77,9,354
343,95241,279,102,9,355
344,94535,78,277,9,356
345,55247,5,162,5,352
346,94220,276,104,9,355
347,92143,73,270,8,353
348,95554,280,74,9,352
349,55248,6,162,5,352
350,94538,81,277,9,357
351,92517,106,271,9,354
352,95213,279,74,9,352
353,93171,273,78,9,357
354,95561,81,280,9,356
355,94561,104,277,9,354
356,92855,272,103,9,356
357,92144,74,270,8,354
358,63441,186,15,6,354
359,95580,100,280,9,356
360,95217,78,279,9,355
361,94873,278,75,9,353
362,95905,281,84,9,357
363,92143,270,73,8,353
364,56615,9,166,5,353
365,94533,76,277,9,354
366,94221,105,276,9,354
367,95560,280,80,9,356
368,120875,165,354,11,354
369,55246,4,162,5,352
370,94217,101,276,9,357
371,95219,80,279,9,356
372,94535,277,78,9,356
373,93852,77,275,9,356
