t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,93518,84,274,9,360
26,92834,272,82,9,359
27,92144,270,74,8,354
28,92489,78,271,9,357
29,93859,275,84,9,360
30,92835,83,272,9,359
31,58659,7,172,5,358
32,92150,270,80,8,358
33,91803,74,269,8,354
34,59342,8,174,5,359
35,93175,82,273,9,359
36,92830,272,78,9,357
37,91809,269,80,8,358
38,58658,172,6,5,359
39,59341,7,174,5,359
40,92148,78,270,8,357
41,92493,271,82,9,359
42,93176,83,273,9,359
43,58999,6,173,5,359
44,92829,272,77,9,356
45,92485,74,271,9,354
46,93516,82,274,9,359
47,93173,273,80,9,358
48,59340,174,6,5,360
49,91810,269,81,8,358
50,92488,77,271,9,356
51,92832,272,80,9,358
52,59339,174,5,5,360
53,59681,175,6,5,360
54,92494,83,271,9,359
55,91468,268,80,8,358
56,121554,356,164,11,354
57,59680,175,5,5,360
58,92147,77,270,8,356
59,92834,82,272,9,359
60,92491,271,80,9,358
61,62419,183,16,6,354
62,91469,268,81,8,358
63,92828,76,272,9,355
64,60710,12,178,5,357
65,93171,273,78,9,357
66,92493,82,271,9,359
67,91802,269,73,8,353
68,121214,355,164,11,354
69,92150,80,270,8,358
70,92833,81,272,9,358
71,93512,274,78,9,357
72,93169,76,273,9,355
73,92152,82,270,8,359
74,59001,8,173,5,358
75,91127,267,80,8,358
76,92492,271,81,9,358
77,92826,74,272,9,354
78,92143,270,73,8,353
79,58658,6,172,5,359
80,93514,274,80,9,358
81,93174,81,273,9,358
82,92489,271,78,9,357
83,91811,82,269,8,359
84,90786,80,266,8,358
85,92151,270,81,8,358
86,94194,78,276,9,357
87,61051,179,12,5,357
88,91809,80,269,8,358
89,57629,169,0,5,358
90,92149,270,79,8,357
91,93853,275,78,9,357
92,122576,359,166,11,355
93,94224,276,108,9,352
94,93515,274,81,9,358
95,93855,80,275,9,358
96,92144,74,270,8,354
97,91466,268,78,8,357
98,91128,267,81,8,358
99,92491,80,271,9,358
100,58312,171,1,5,358
101,93167,74,273,9,354
102,94193,276,77,9,356
103,92832,80,272,9,358
104,58657,5,172,5,359
105,58317,6,171,5,358
106,91810,81,269,8,358
107,94196,276,80,9,358
108,92488,271,77,9,356
109,90784,266,78,8,357
110,61734,181,13,6,356
111,94223,107,276,9,353
112,92833,272,81,9,358
113,93514,80,274,9,358
114,91125,78,267,8,357
115,91808,79,269,8,357
116,92487,271,76,9,355
117,93883,275,108,9,352
118,58656,172,4,5,359
119,94194,276,78,9,357
120,60368,11,177,5,357
121,92490,79,271,9,357
122,93508,74,274,9,354
123,91807,269,78,8,357
124,93170,273,77,9,356
125,60024,176,8,5,359
126,92831,79,272,9,357
127,59338,4,174,5,360
128,92492,81,271,9,358
129,90443,78,265,8,357
130,94224,108,276,9,352
131,57632,169,3,5,357
132,91126,267,79,8,357
133,90787,266,81,8,358
134,63103,185,18,6,352
135,60023,176,7,5,359
136,94195,276,79,9,357
137,121896,357,166,11,355
138,92830,78,272,9,357
139,93510,76,274,9,355
140,91470,82,268,8,359
141,93854,275,79,9,357
142,92151,81,270,8,358
143,90102,264,78,8,357
144,94192,276,76,9,355
145,93542,274,108,9,352
146,91467,268,79,8,357
147,59339,5,174,5,360
148,94223,276,107,9,353
149,122236,166,358,11,355
150,93855,275,80,9,358
151,93171,78,273,9,357
152,62762,18,184,6,352
153,91469,81,268,8,358
154,93882,107,275,9,353
155,93201,108,273,9,352
156,92148,270,78,8,357
157,121556,166,356,11,355
158,93851,275,76,9,355
159,90785,79,266,8,357
160,57973,3,170,5,358
161,93511,77,274,9,356
162,91466,78,268,8,357
163,93172,79,273,9,357
164,93883,108,275,9,352
165,60369,177,12,5,357
166,90445,265,80,8,358
167,92490,271,79,9,357
168,92860,272,108,9,352
169,63444,18,186,6,352
170,91468,80,268,8,358
171,93853,78,275,9,357
172,92831,272,79,9,357
173,92147,270,77,8,356
174,90786,266,80,8,358
175,91807,78,269,8,357
176,93849,74,275,9,354
177,94193,77,276,9,356
178,93513,274,79,9,357
179,91125,267,78,8,357
180,59680,5,175,5,360
181,61052,179,13,5,356
182,57974,170,4,5,358
183,93512,78,274,9,357
184,94564,277,107,9,352
185,91127,80,267,8,358
186,121213,355,163,11,353
187,61049,179,10,5,358
188,93852,275,77,9,356
189,92519,108,271,9,352
190,91808,269,79,8,357
191,58317,171,6,5,358
192,94876,78,278,9,356
193,120873,354,163,11,353
194,93541,274,107,9,353
195,91128,81,267,8,358
196,57970,0,170,5,359
197,93172,273,79,9,357
198,93882,275,107,9,353
199,91806,269,77,8,356
200,97950,83,287,9,352
201,92149,79,270,8,357
202,62078,16,182,6,354
203,94878,80,278,9,357
204,90446,265,81,8,358
205,91467,79,268,8,357
206,61735,14,181,6,355
207,93200,107,273,9,353
208,91129,267,82,8,359
209,59683,175,8,5,359
210,94875,278,77,9,355
211,93513,79,274,9,357
212,93173,80,273,9,358
213,120874,164,354,11,354
214,94222,106,276,9,354
215,94535,277,78,9,356
216,92859,272,107,9,353
217,90787,81,266,8,358
218,62076,182,14,6,355
219,94190,276,74,9,354
220,91811,269,82,8,359
221,92518,271,107,9,353
222,90784,78,266,8,357
223,94195,79,276,9,357
224,93881,106,275,9,354
225,57290,2,168,5,357
226,90788,266,82,8,359
227,94196,80,276,9,358
228,92177,270,107,8,353
229,94876,278,78,9,356
230,57630,1,169,5,357
231,90444,79,265,8,357
232,93175,273,82,9,359
233,93852,77,275,9,356
234,62421,18,183,6,352
235,93541,107,274,9,353
236,59684,9,175,5,358
237,92152,270,82,8,359
238,93174,273,81,9,358
239,93508,274,74,9,354
240,92829,77,272,9,356
241,90103,264,79,8,357
242,93857,82,275,9,359
243,93167,273,74,9,354
244,92858,272,106,9,354
245,91126,79,267,8,357
246,59340,6,174,5,360
247,93880,105,275,9,354
248,93511,274,77,9,356
249,62760,184,16,6,354
250,90785,266,79,8,357
251,59343,9,174,5,358
252,93177,84,273,9,360
253,90104,80,264,8,358
254,93540,274,106,9,354
255,63103,18,185,6,352
256,93176,273,83,9,359
257,93854,79,275,9,357
258,91465,77,268,8,356
259,92146,270,76,8,355
260,91836,107,269,8,353
261,122238,168,358,11,357
262,93849,275,74,9,354
263,56947,0,167,5,357
264,58996,3,173,5,359
265,92836,84,272,9,360
266,93199,106,273,9,354
267,93856,275,81,9,358
268,90102,78,264,8,357
269,92859,107,272,9,353
270,94192,76,276,9,355
271,91124,267,77,8,356
272,120872,162,354,11,352
273,91470,268,82,8,359
274,122237,167,358,11,356
275,94878,278,80,9,357
276,94197,81,276,9,358
277,91806,77,269,8,356
278,93881,275,106,9,354
279,93200,273,107,9,353
280,94537,277,80,9,357
281,97951,84,287,9,353
282,93879,275,104,9,355
283,61737,181,16,6,354
284,92496,271,85,9,360
285,94190,74,276,9,354
286,93515,81,274,9,358
287,92176,106,270,8,354
288,62762,184,18,6,352
289,63102,17,185,6,353
290,90443,265,78,8,357
291,93517,274,83,9,359
292,90104,264,80,8,358
293,121212,355,162,11,352
294,93851,76,275,9,355
295,92177,107,270,8,353
296,90103,79,264,8,357
297,92517,271,106,9,354
298,93170,77,273,9,356
299,95558,280,78,9,355
300,93521,87,274,9,360
301,92495,271,84,9,360
302,93858,275,83,9,359
303,91494,268,106,8,354
304,90444,265,79,8,357
305,62080,182,18,6,352
306,90783,77,266,8,356
307,93540,106,274,9,354
308,91805,76,269,8,355
309,92826,272,74,9,354
310,94879,81,278,9,357
311,92518,107,271,9,353
312,93880,275,105,9,354
313,90442,77,265,8,356
314,94877,278,79,9,356
315,58316,171,5,5,358
316,93199,273,106,9,354
317,91465,268,77,8,356
318,94191,75,276,9,354
319,90445,80,265,8,358
320,92485,271,74,9,354
321,91124,77,267,8,356
322,59681,6,175,5,360
323,58997,173,4,5,359
324,59342,174,8,5,359
325,94221,105,276,9,354
326,120533,353,163,11,352
327,92858,106,272,9,354
328,91495,268,107,8,353
329,63101,16,185,6,354
330,94534,77,277,9,355
331,92154,270,84,8,360
332,94222,276,106,9,354
333,62761,184,17,6,353
334,93848,275,73,9,353
335,93177,273,84,9,360
336,92145,75,270,8,354
337,121894,357,164,11,354
338,94535,78,277,9,356
339,91471,268,83,8,359
340,92146,76,270,8,355
341,94189,276,73,9,353
342,94563,277,106,9,353
343,92494,271,83,9,359
344,94875,77,278,9,355
345,120873,163,354,11,353
346,93539,105,274,9,354
347,120534,164,353,11,353
348,91835,269,106,8,354
349,90101,264,77,8,356
350,90447,82,265,8,359
351,92175,105,270,8,354
352,93510,274,76,9,355
353,93850,75,275,9,354
354,62421,183,18,6,352
355,91154,267,107,8,353
356,91834,105,269,8,354
357,94874,76,278,9,354
358,122234,358,164,11,354
359,90783,266,77,8,356
360,94536,277,79,9,356
361,94199,83,276,9,359
362,93856,81,275,9,358
363,92487,76,271,9,355
364,90442,265,77,8,356
365,91131,267,84,8,360
366,91494,106,268,8,354
367,90813,266,107,8,353
368,93169,273,76,9,355
369,91130,267,83,8,359
370,92517,106,271,9,354
371,95560,80,280,9,356
372,59001,173,8,5,358
373,93178,85,273,9,360
