t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,59338,4,174,5,360
26,92495,271,84,9,360
27,92152,82,270,8,359
28,91809,269,80,8,358
29,91120,73,267,8,353
30,59337,3,174,5,360
31,92496,85,271,9,360
32,61731,181,10,6,358
33,92154,270,84,8,360
34,122581,359,171,11,358
35,91121,267,74,8,354
36,91807,78,269,8,357
37,59336,174,2,5,360
38,58993,0,173,5,360
39,92493,271,82,9,359
40,92153,83,270,8,359
41,122580,359,170,11,358
42,91808,79,269,8,357
43,91470,268,82,8,359
44,61730,181,9,6,358
45,92494,271,83,9,359
46,60706,178,8,5,359
47,60021,5,176,5,360
48,92834,82,272,9,359
49,92148,78,270,8,357
50,60361,4,177,5,360
51,91468,268,80,8,358
52,60019,176,3,5,360
53,93175,273,82,9,359
54,92835,83,272,9,359
55,62415,183,12,6,357
56,92147,270,77,8,356
57,91813,84,269,8,360
58,91469,81,268,8,358
59,60020,176,4,5,360
60,59680,5,175,5,360
61,92152,270,82,8,359
62,91803,74,269,8,354
63,92488,271,77,9,356
64,93171,78,273,9,357
65,92834,272,82,9,359
66,92150,80,270,8,358
67,91810,269,81,8,358
68,93512,274,78,9,357
69,91129,82,267,8,359
70,93173,80,273,9,358
71,91812,269,83,8,359
72,91462,268,74,8,354
73,121558,356,168,11,357
74,92151,81,270,8,358
75,91811,82,269,8,359
76,58996,173,3,5,359
77,91127,80,267,8,358
78,59679,4,175,5,360
79,92144,270,74,8,354
80,91471,268,83,8,359
81,61047,8,179,5,359
82,91809,80,269,8,358
83,92148,270,78,8,357
84,93174,273,81,9,358
85,93852,77,275,9,356
86,90786,80,266,8,358
87,91807,269,78,8,357
88,91154,267,107,8,353
89,92492,271,81,9,358
90,93855,80,275,9,358
91,91466,268,78,8,357
92,93169,76,273,9,355
93,63099,14,185,6,355
94,91811,269,82,8,359
95,93514,80,274,9,358
96,91128,267,81,8,358
97,92489,78,271,9,357
98,90813,107,266,8,353
99,60361,177,4,5,360
100,91810,81,269,8,358
101,93853,78,275,9,357
102,91472,268,84,8,360
103,92150,270,80,8,358
104,92833,272,81,9,358
105,93512,78,274,9,357
106,91837,108,269,8,352
107,91468,80,268,8,358
108,92151,270,81,8,358
109,59677,2,175,5,360
110,92830,78,272,9,357
111,91127,267,80,8,358
112,94224,276,108,9,352
113,91469,268,81,8,358
114,91806,77,269,8,356
115,93173,273,80,9,358
116,94194,78,276,9,357
117,58995,2,173,5,359
118,90787,266,81,8,358
119,60706,8,178,5,359
120,94223,276,107,9,353
121,91467,79,268,8,357
122,92491,271,80,9,358
123,93174,81,273,9,358
124,94193,276,77,9,356
125,92149,79,270,8,357
126,91125,267,78,8,357
127,92832,80,272,9,358
128,93883,108,275,9,352
129,91808,269,79,8,357
130,91128,81,267,8,358
131,94196,276,80,9,358
132,93201,108,273,9,352
133,93853,275,78,9,357
134,92829,272,77,9,356
135,94222,276,106,9,354
136,90445,80,265,8,358
137,93172,79,273,9,357
138,90784,78,266,8,357
139,91837,269,108,8,352
140,90472,107,265,8,353
141,93855,275,80,9,358
142,94193,77,276,9,356
143,92489,271,78,9,357
144,91496,268,108,8,352
145,94537,80,277,9,357
146,92149,270,79,8,357
147,94194,276,78,9,357
148,62074,12,182,6,357
149,92488,77,271,9,356
150,92178,270,108,8,352
151,91466,78,268,8,357
152,93854,79,275,9,357
153,97950,83,287,9,352
154,94224,108,276,9,352
155,122582,172,359,11,359
156,91467,268,79,8,357
157,91130,83,267,8,359
158,93171,273,78,9,357
159,92147,77,270,8,356
160,90785,266,79,8,357
161,94878,278,80,9,357
162,94535,78,277,9,356
163,93200,107,273,9,353
164,91126,79,267,8,357
165,91465,268,77,8,356
166,94876,78,278,9,356
167,60705,178,7,5,359
168,90813,266,107,8,353
169,58996,3,173,5,359
170,92490,271,79,9,357
171,91125,78,267,8,357
172,60703,178,5,5,360
173,90786,266,80,8,358
174,94223,107,276,9,353
175,92830,272,78,9,357
176,93170,77,273,9,356
177,91126,267,79,8,357
178,90131,264,107,8,353
179,94221,105,276,9,354
180,90443,78,265,8,357
181,92491,80,271,9,358
182,93541,274,107,9,353
183,94195,276,79,9,357
184,90784,266,78,8,357
185,93852,275,77,9,356
186,60362,177,5,5,360
187,92518,107,271,9,353
188,92831,79,272,9,357
189,94222,106,276,9,354
190,90102,78,264,8,357
191,92492,81,271,9,358
192,93882,275,107,9,353
193,94192,276,76,9,355
194,90103,264,79,8,357
195,120536,166,353,11,354
196,63441,186,15,6,354
197,92829,77,272,9,356
198,90471,265,106,8,354
199,92490,79,271,9,357
200,94876,278,78,9,356
201,92859,107,272,9,353
202,91124,77,267,8,356
203,90444,265,79,8,357
204,94535,277,78,9,356
205,61390,180,10,6,358
206,93511,77,274,9,356
207,120876,166,354,11,355
208,90785,79,266,8,357
209,93881,106,275,9,354
210,93200,273,107,9,353
211,91806,269,77,8,356
212,93514,274,80,9,358
213,94195,79,276,9,357
214,90472,265,107,8,353
215,91465,77,268,8,356
216,92146,270,76,8,355
217,93854,275,79,9,357
218,91154,107,267,8,353
219,90783,77,266,8,356
220,94878,80,278,9,357
221,93513,79,274,9,357
222,91131,267,84,8,360
223,91805,269,76,8,355
224,93167,74,273,9,354
225,93882,107,275,9,353
226,91124,267,77,8,356
227,92831,272,79,9,357
228,92519,271,108,9,352
229,93541,107,274,9,353
230,95217,78,279,9,355
231,90444,79,265,8,357
232,63098,185,13,6,356
233,93880,275,105,9,354
234,90130,264,106,8,354
235,90443,265,78,8,357
236,63100,185,15,6,354
237,94221,276,105,9,354
238,93170,273,77,9,356
239,91495,107,268,8,353
240,93510,76,274,9,355
241,94877,79,278,9,356
242,90442,265,77,8,356
243,90780,74,266,8,354
244,59335,1,174,5,360
245,91464,268,76,8,355
246,93540,106,274,9,354
247,94875,278,77,9,355
248,90446,81,265,8,358
249,93172,273,79,9,357
250,93851,76,275,9,355
251,58654,172,2,5,359
252,92518,271,107,9,353
253,90783,266,77,8,356
254,94192,76,276,9,355
255,58995,173,2,5,359
256,92859,272,107,9,353
257,90445,265,80,8,358
258,93511,274,77,9,356
259,93199,106,273,9,354
260,92487,76,271,9,355
261,92177,107,270,8,353
262,60703,5,178,5,360
263,93881,275,106,9,354
264,95558,78,280,9,355
265,92493,82,271,9,359
266,91803,269,74,8,354
267,90789,83,266,8,359
268,90131,107,264,8,353
269,94534,277,77,9,355
270,91123,76,267,8,355
271,91470,82,268,8,359
272,91836,269,107,8,353
273,92485,271,74,9,354
274,92858,106,272,9,354
275,93510,274,76,9,355
276,90442,77,265,8,356
277,94877,278,79,9,356
278,64125,17,188,6,352
279,94563,277,106,9,353
280,92828,272,76,9,355
281,93879,275,104,9,355
282,94875,77,278,9,355
283,90787,81,266,8,358
284,90471,106,265,8,354
285,93198,105,273,9,354
286,60023,7,176,5,359
287,63784,17,187,6,352
288,121900,357,170,11,358
289,92176,270,106,8,354
290,93851,275,76,9,355
291,90104,264,80,8,358
292,93513,274,79,9,357
293,91121,74,267,8,354
294,94191,75,276,9,354
295,90130,106,264,8,354
296,93517,83,274,9,359
297,91495,268,107,8,353
298,90788,266,82,8,359
299,92857,105,272,9,354
300,93515,274,81,9,358
301,92494,83,271,9,359
302,91805,76,269,8,355
303,93880,105,275,9,354
304,90101,264,77,8,356
305,94536,277,79,9,356
306,95560,80,280,9,356
307,93539,274,105,9,354
308,60704,178,6,5,360
309,91464,76,268,8,355
310,94537,277,80,9,357
311,91814,85,269,8,360
312,93508,274,74,9,354
313,90782,266,76,8,355
314,91461,73,268,8,353
315,92517,271,106,9,354
316,93849,74,275,9,354
317,60022,6,176,5,360
318,91123,267,76,8,355
319,94534,77,277,9,355
320,92516,105,271,9,354
321,93878,275,103,9,356
322,92155,270,85,8,360
323,93169,273,76,9,355
324,94190,74,276,9,354
325,93540,274,106,9,354
326,95558,280,78,9,355
327,92154,84,270,8,360
328,92487,271,76,9,355
329,91836,107,269,8,353
330,91462,74,268,8,354
331,92159,89,270,8,360
332,95217,279,78,9,355
333,91122,75,267,8,354
334,90441,265,76,8,355
335,90812,266,106,8,354
336,92177,270,107,8,353
337,91472,84,268,8,360
338,93879,104,275,9,355
339,95219,80,279,9,356
340,92175,105,270,8,354
341,92828,76,272,9,355
342,89761,263,78,8,356
343,93877,275,102,9,357
344,63440,14,186,6,355
345,92176,106,270,8,354
346,94874,278,76,9,354
347,94218,276,102,9,357
348,92857,272,105,9,354
349,60021,176,5,5,360
350,92156,270,86,8,360
351,92495,84,271,9,360
352,90782,76,266,8,355
353,119854,351,164,11,352
354,93538,104,274,9,355
355,92833,81,272,9,358
356,93198,273,105,9,354
357,92146,76,270,8,355
358,91463,268,75,8,354
359,95901,281,80,9,355
360,93539,105,274,9,354
361,92858,272,106,9,354
362,90439,265,74,8,354
363,95559,280,79,9,355
364,90102,264,78,8,357
365,91804,75,269,8,354
366,120194,164,352,11,353
367,93199,273,106,9,354
368,59681,6,175,5,360
369,93536,102,274,9,357
370,94220,276,104,9,355
371,62758,184,14,6,355
372,92826,272,74,9,354
373,94559,102,277,9,356
