t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,90109,264,85,8,360
26,91137,267,90,8,361
27,90452,87,265,8,360
28,89426,84,262,8,359
29,90109,85,264,8,360
30,90792,86,266,8,360
31,90454,265,89,8,360
32,89767,263,84,8,359
33,90111,264,87,8,360
34,57296,8,168,5,356
35,90450,85,265,8,360
36,89426,262,84,8,359
37,90107,83,264,8,359
38,57637,8,169,5,356
39,89768,85,263,8,359
40,89428,262,86,8,359
41,90122,264,98,8,359
42,91491,103,268,8,356
43,90791,85,266,8,360
44,91831,269,102,8,357
45,90108,84,264,8,360
46,57294,168,6,5,357
47,89427,262,85,8,359
48,55929,5,164,5,354
49,59350,174,16,5,354
50,90463,98,265,8,359
51,57635,6,169,5,357
52,89767,84,263,8,359
53,90806,266,100,8,358
54,91491,268,103,8,356
55,89424,262,82,8,358
56,89771,263,88,8,359
57,55930,6,164,5,354
58,91832,103,269,8,356
59,92172,270,102,8,357
60,90110,86,264,8,360
61,58321,171,10,5,356
62,60030,176,14,5,355
63,89425,83,262,8,358
64,89085,261,84,8,358
65,57980,10,170,5,356
66,91492,104,268,8,355
67,90467,265,102,8,357
68,57634,169,5,5,357
69,88745,85,260,8,358
70,89765,263,82,8,358
71,90465,100,265,8,358
72,59005,12,173,5,356
73,89428,86,262,8,359
74,55928,164,4,5,354
75,90108,264,84,8,360
76,91831,102,269,8,357
77,59691,16,175,5,354
78,89768,263,85,8,359
79,56269,4,165,5,354
80,90449,84,265,8,360
81,90808,266,102,8,357
82,91832,269,103,8,356
83,89769,86,263,8,359
84,89442,100,262,8,357
85,55930,164,6,5,354
86,92514,103,271,9,356
87,90451,86,265,8,360
88,90126,264,102,8,357
89,56955,167,8,5,355
90,59003,10,173,5,357
91,90448,265,83,8,359
92,91833,269,104,8,355
93,59351,174,17,5,353
94,89770,263,87,8,359
95,58662,172,10,5,357
96,90106,264,82,8,359
97,90808,102,266,8,357
98,89429,87,262,8,359
99,91488,268,100,8,358
100,92173,103,270,8,356
101,56270,5,165,5,354
102,59350,16,174,5,354
103,90453,88,265,8,360
104,92171,270,101,8,357
105,90107,264,83,8,359
106,59004,11,173,5,356
107,56952,5,167,5,356
108,58660,172,8,5,358
109,89766,83,263,8,358
110,90467,102,265,8,357
111,55929,164,5,5,354
112,89088,87,261,8,358
113,91147,267,100,8,358
114,90454,89,265,8,360
115,89425,262,83,8,358
116,57637,169,8,5,356
117,91151,267,104,8,355
118,89085,84,261,8,358
119,88745,260,85,8,358
120,90807,266,101,8,357
121,92174,104,270,8,355
122,56608,2,166,5,355
123,92855,272,103,9,356
124,57298,10,168,5,355
125,90790,84,266,8,360
126,89424,82,262,8,358
127,88746,260,86,8,358
128,91833,104,269,8,355
129,90793,266,87,8,360
130,92173,270,103,8,356
131,90106,82,264,8,359
132,88744,260,84,8,358
133,55926,2,164,5,354
134,90810,104,266,8,355
135,90110,264,86,8,360
136,60033,176,17,5,353
137,92506,271,95,9,360
138,92172,102,270,8,357
139,55927,164,3,5,354
140,60032,176,16,5,354
141,91148,101,267,8,357
142,90450,265,85,8,360
143,91492,268,104,8,355
144,59687,175,12,5,357
145,89765,82,263,8,358
146,59351,17,174,5,353
147,90126,102,264,8,357
148,57982,12,170,5,355
149,89766,263,83,8,358
150,90455,90,265,8,361
151,55928,4,164,5,354
152,88744,84,260,8,358
153,58319,8,171,5,357
154,90451,265,86,8,360
155,91487,99,268,8,358
156,89772,89,263,8,359
157,90124,264,100,8,358
158,90447,265,82,8,359
159,92514,271,103,9,356
160,89780,263,97,8,358
161,91133,86,267,8,360
162,57297,168,9,5,355
163,89084,83,261,8,357
164,90121,97,264,8,359
165,91151,104,267,8,355
166,58661,9,172,5,357
167,89427,85,262,8,359
168,89087,261,86,8,358
169,90789,266,83,8,359
170,90465,265,100,8,358
171,58665,172,13,5,355
172,55588,163,5,5,353
173,56267,2,165,5,354
174,90449,265,84,8,360
175,88746,86,260,8,358
176,92855,103,272,9,356
177,90810,266,104,8,355
178,91137,90,267,8,361
179,90448,83,265,8,359
180,89083,261,82,8,357
181,56957,167,10,5,354
182,90806,100,266,8,358
183,91146,267,99,8,358
184,92174,270,104,8,355
185,57641,12,169,5,354
186,57298,168,10,5,355
187,61056,179,17,5,353
188,88747,87,260,8,358
189,60373,16,177,5,354
190,92517,106,271,9,354
191,89084,261,83,8,357
192,89770,87,263,8,359
193,56955,8,167,5,355
194,92512,101,271,9,357
195,90447,82,265,8,359
196,89771,88,263,8,359
197,90805,266,99,8,358
198,92176,270,106,8,354
199,58660,8,172,5,358
200,88742,260,82,8,357
201,90790,266,84,8,360
202,55587,163,4,5,353
203,90125,264,101,8,357
204,89083,82,261,8,357
205,89769,263,86,8,359
206,59010,17,173,5,352
207,58663,172,11,5,356
208,88752,92,260,8,358
209,91494,268,106,8,354
210,92856,104,272,9,355
211,90789,83,266,8,359
212,122573,163,359,11,353
213,89773,263,90,8,360
214,92515,104,271,9,355
215,90105,264,81,8,358
216,88743,260,83,8,357
217,57638,169,9,5,355
218,91835,269,106,8,354
219,90792,266,86,8,360
220,92165,95,270,8,360
221,91486,98,268,8,359
222,88742,82,260,8,357
223,59352,174,18,5,352
224,90124,100,264,8,358
225,89087,86,261,8,358
226,122233,358,163,11,353
227,89423,262,81,8,357
228,91153,106,267,8,354
229,93197,273,104,9,355
230,91490,268,102,8,357
231,57983,13,170,5,354
232,57295,7,168,5,356
233,88743,83,260,8,357
234,89086,261,85,8,358
235,91149,267,102,8,357
236,93538,104,274,9,355
237,89430,262,88,8,359
238,92517,271,106,9,354
239,88403,84,259,8,357
240,58320,171,9,5,356
241,57981,11,170,5,355
242,89441,99,262,8,357
243,91489,268,101,8,357
244,90791,266,85,8,360
245,92856,272,104,9,355
246,90452,265,87,8,360
247,91494,106,268,8,354
248,91132,85,267,8,360
249,90799,266,93,8,360
250,89422,262,80,8,357
251,88062,84,258,8,357
252,92176,106,270,8,354
253,93190,97,273,9,359
254,92515,271,104,9,355
255,57641,169,12,5,354
256,90793,87,266,8,360
257,90461,265,96,8,360
258,89764,81,263,8,357
259,88403,259,84,8,357
260,90788,82,266,8,359
261,60374,17,177,5,353
262,59693,175,18,5,352
263,91835,106,269,8,354
264,91475,87,268,8,360
265,88063,258,85,8,357
266,90120,96,264,8,360
267,92858,272,106,9,354
268,89423,81,262,8,357
269,55246,162,4,5,352
270,57634,5,169,5,357
271,91134,267,87,8,360
272,89763,263,80,8,357
273,55242,0,162,5,353
274,93197,104,273,9,355
275,92504,271,93,9,360
276,91153,267,106,8,354
277,60034,176,18,5,352
278,90466,101,265,8,357
279,88062,258,84,8,357
280,90112,264,88,8,360
281,89422,80,262,8,357
282,61398,18,180,6,352
283,92175,270,105,8,354
284,93196,103,273,9,356
285,91490,102,268,8,357
286,90794,266,88,8,360
287,89763,80,263,8,357
288,91152,267,105,8,354
289,90125,101,264,8,357
290,90812,106,266,8,354
291,91473,268,85,8,360
292,88401,259,82,8,356
293,55245,162,3,5,352
294,90811,266,105,8,354
295,91139,92,267,8,360
296,91487,268,99,8,358
297,88063,85,258,8,357
298,88741,260,81,8,356
299,91140,93,267,8,360
300,90453,265,88,8,360
301,89097,96,261,8,358
302,91488,100,268,8,358
303,57635,169,6,5,357
304,91133,267,86,8,360
305,91834,105,269,8,354
306,92170,100,270,8,358
307,55244,2,162,5,352
308,88740,80,260,8,356
309,91821,269,92,8,360
310,91493,105,268,8,354
311,89438,96,262,8,359
312,90104,264,80,8,358
313,90812,266,106,8,354
314,91474,268,86,8,360
315,89764,263,81,8,357
316,88401,82,259,8,356
317,91152,105,267,8,354
318,55931,164,7,5,353
319,54901,161,0,5,352
320,88060,82,258,8,356
321,91834,269,105,8,354
322,90121,264,97,8,359
323,122232,358,162,11,352
324,89089,261,88,8,358
325,92858,106,272,9,354
326,90807,101,266,8,357
327,88741,81,260,8,356
328,91493,268,105,8,354
329,58667,15,172,5,353
330,94217,101,276,9,357
331,89093,261,92,8,358
332,88404,259,85,8,357
333,91135,88,267,8,360
334,55583,0,163,5,354
335,90105,81,264,8,358
336,92169,99,270,8,358
337,88740,260,80,8,356
338,90811,105,266,8,354
339,92512,271,101,9,357
340,88410,259,91,8,357
341,89086,85,261,8,358
342,90470,265,105,8,354
343,91141,94,267,8,360
344,121892,162,357,11,352
345,89081,261,80,8,356
346,90464,265,99,8,358
347,92175,105,270,8,354
348,88060,258,82,8,356
349,89082,81,261,8,356
350,89442,262,100,8,357
351,90471,265,106,8,354
352,91148,267,101,8,357
353,89779,96,263,8,359
354,89092,91,261,8,358
355,90798,266,92,8,360
356,90446,81,265,8,358
357,93199,106,273,9,354
358,88061,258,83,8,356
359,60375,18,177,5,352
360,94896,278,98,9,358
361,89081,80,261,8,356
362,90127,103,264,8,356
363,88402,259,83,8,356
364,90800,94,266,8,360
365,90457,265,92,8,360
366,57301,13,168,5,353
367,89082,261,81,8,356
368,92516,271,105,9,354
369,90471,106,265,8,354
370,88061,83,258,8,356
371,91828,99,269,8,358
372,90104,80,264,8,358
373,55584,163,1,5,353
