t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,57641,12,169,5,354
26,58325,14,171,5,353
27,88056,258,78,8,354
28,87377,81,256,8,353
29,88398,259,79,8,354
30,93541,274,107,9,353
31,56614,8,166,5,354
32,94224,276,108,9,352
33,90451,86,265,8,360
34,88743,83,260,8,357
35,87035,80,255,8,352
36,90808,266,102,8,357
37,93199,273,106,9,354
38,87714,257,77,8,352
39,89085,84,261,8,358
40,91150,267,103,8,356
41,87378,82,256,8,354
42,55245,3,162,5,352
43,92518,107,271,9,353
44,92856,272,104,9,355
45,91493,105,268,8,354
46,90452,265,87,8,360
47,88741,260,81,8,356
48,88397,259,78,8,354
49,90109,85,264,8,360
50,90792,266,86,8,360
51,86694,80,254,8,352
52,92176,106,270,8,354
53,91149,102,267,8,357
54,89424,262,82,8,358
55,59351,17,174,5,353
56,94223,276,107,9,353
57,91833,269,104,8,355
58,92516,271,105,9,354
59,90454,89,265,8,360
60,89082,261,81,8,356
61,92860,108,272,9,352
62,88055,258,77,8,353
63,90110,86,264,8,360
64,90809,103,266,8,356
65,91494,106,268,8,354
66,88740,260,80,8,356
67,89426,84,262,8,359
68,91137,267,90,8,361
69,92177,107,270,8,353
70,89768,85,263,8,359
71,59691,175,16,5,354
72,90464,265,99,8,358
73,87718,81,257,8,354
74,92519,108,271,9,352
75,88060,82,258,8,356
76,55587,4,163,5,353
77,89084,83,261,8,357
78,92858,272,106,9,354
79,88399,259,80,8,355
80,91489,268,101,8,357
81,91834,105,269,8,354
82,93882,275,107,9,353
83,88745,85,260,8,358
84,92174,270,104,8,355
85,61056,179,17,5,353
86,91133,267,86,8,360
87,59693,18,175,5,352
88,89767,263,84,8,359
89,87036,81,255,8,352
90,56608,166,2,5,355
91,89083,261,82,8,357
92,122573,163,359,11,353
93,91479,91,268,8,360
94,93539,274,105,9,354
95,56956,9,167,5,354
96,91836,107,269,8,353
97,88739,260,79,8,355
98,92178,108,270,8,352
99,90450,265,85,8,360
100,91150,103,267,8,356
101,58662,172,10,5,357
102,89771,88,263,8,359
103,89423,262,81,8,357
104,57635,169,6,5,357
105,90122,264,98,8,359
106,59350,174,16,5,354
107,55929,5,164,5,354
108,58660,172,8,5,358
109,91835,106,269,8,354
110,92857,272,105,9,354
111,92172,270,102,8,357
112,90451,265,86,8,360
113,90809,266,103,8,356
114,59690,175,15,5,354
115,88403,84,259,8,357
116,89425,262,83,8,358
117,89770,87,263,8,359
118,55583,163,0,5,354
119,86695,81,254,8,352
120,57979,170,9,5,356
121,91148,101,267,8,357
122,93881,275,106,9,354
123,59352,18,174,5,352
124,59009,16,173,5,353
125,90465,100,265,8,358
126,89081,261,80,8,356
127,90791,266,85,8,360
128,92175,270,105,8,354
129,90110,264,86,8,360
130,88401,82,259,8,356
131,57634,169,5,5,357
132,91491,268,103,8,356
133,60030,176,14,5,355
134,58667,15,172,5,353
135,89780,263,97,8,358
136,87720,83,257,8,355
137,88738,260,78,8,355
138,91837,108,269,8,352
139,90463,265,98,8,359
140,91153,106,267,8,354
141,92163,93,270,8,360
142,90126,102,264,8,357
143,56272,7,165,5,353
144,90810,104,266,8,355
145,94564,277,107,9,352
146,56609,166,3,5,355
147,92506,95,271,9,360
148,59687,175,12,5,357
149,89766,263,83,8,358
150,60373,177,16,5,354
151,88396,259,77,8,353
152,90468,103,265,8,356
153,91152,105,267,8,354
154,92162,270,92,8,360
155,90121,264,97,8,359
156,57978,170,8,5,357
157,55588,5,163,5,353
158,90793,87,266,8,360
159,91495,107,268,8,353
160,56269,165,4,5,354
161,60033,176,17,5,353
162,89765,263,82,8,358
163,89427,85,262,8,359
164,88746,86,260,8,358
165,90455,90,265,8,361
166,92855,272,103,9,356
167,89080,261,79,8,355
168,90107,264,83,8,359
169,91149,267,102,8,357
170,93198,273,105,9,354
171,55585,163,2,5,353
172,91492,104,268,8,355
173,57294,168,6,5,357
174,60374,177,17,5,353
175,55928,164,4,5,354
176,58664,172,12,5,356
177,61398,180,18,6,352
178,91821,92,269,8,360
179,90449,265,84,8,360
180,90792,86,266,8,360
181,90112,88,264,8,360
182,91146,267,99,8,358
183,89096,261,95,8,358
184,56270,5,165,5,354
185,89422,262,80,8,357
186,89785,102,263,8,356
187,91478,268,90,8,361
188,94222,276,106,9,354
189,88061,83,258,8,356
190,56953,167,6,5,356
191,58319,171,8,5,357
192,90469,104,265,8,355
193,90793,266,87,8,360
194,92175,105,270,8,354
195,87037,82,255,8,353
196,91147,267,100,8,358
197,90123,99,264,8,358
198,93190,97,273,9,359
199,56610,4,166,5,355
200,89769,86,263,8,359
201,58661,9,172,5,357
202,59352,174,18,5,352
203,88054,258,76,8,352
204,91832,269,103,8,356
205,90448,265,83,8,359
206,90812,106,266,8,354
207,92165,95,270,8,360
208,55929,164,5,5,354
209,91480,92,268,8,360
210,90125,264,101,8,357
211,91134,87,267,8,360
212,59692,175,17,5,353
213,89087,86,261,8,358
214,60031,15,176,5,354
215,89779,263,96,8,359
216,55246,4,162,5,352
217,56265,165,0,5,355
218,92514,271,103,9,356
219,90811,105,266,8,354
220,91831,269,102,8,357
221,57298,168,10,5,355
222,91496,108,268,8,352
223,92171,270,101,8,357
224,88404,85,259,8,357
225,90106,264,82,8,359
226,58660,8,172,5,358
227,91136,267,89,8,360
228,89767,84,263,8,359
229,59351,174,17,5,353
230,89442,100,262,8,357
231,55927,164,3,5,354
232,59691,16,175,5,354
233,91816,269,87,8,360
234,90797,91,266,8,360
235,58321,10,171,5,356
236,90466,265,101,8,357
237,93197,273,104,9,355
238,90127,103,264,8,356
239,57296,168,8,5,356
240,91154,107,267,8,353
241,93880,275,105,9,354
242,91481,93,268,8,360
243,54901,161,0,5,352
244,55926,2,164,5,354
245,89778,263,95,8,359
246,60032,176,16,5,354
247,90790,266,84,8,360
248,57635,6,169,5,357
249,91817,88,269,8,360
250,89444,102,262,8,356
251,90109,264,85,8,360
252,57982,170,12,5,355
253,60372,177,15,5,354
254,90470,105,265,8,354
255,91482,94,268,8,360
256,91151,104,267,8,355
257,88752,260,92,8,358
258,89764,263,81,8,357
259,93872,97,275,9,359
260,59350,16,174,5,354
261,87728,91,257,8,356
262,91822,93,269,8,360
263,55930,6,164,5,354
264,90108,264,84,8,360
265,95238,279,99,9,356
266,88405,86,259,8,357
267,57634,5,169,5,357
268,88072,94,258,8,357
269,89421,262,79,8,356
270,91132,267,85,8,360
271,91488,268,100,8,358
272,89784,101,263,8,356
273,55245,162,3,5,352
274,57297,168,9,5,355
275,59692,17,175,5,353
276,55928,4,164,5,354
277,90128,104,264,8,355
278,88753,260,93,8,358
279,88402,83,259,8,356
280,58663,11,172,5,356
281,88062,84,258,8,357
282,89441,99,262,8,357
283,90461,265,96,8,360
284,91474,268,86,8,360
285,91135,88,267,8,360
286,122232,162,358,11,352
287,57295,168,7,5,356
288,60375,177,18,5,352
289,90807,101,266,8,357
290,56618,166,12,5,352
291,55586,3,163,5,353
292,87379,83,256,8,354
293,89768,263,85,8,359
294,88057,258,79,8,354
295,89440,98,262,8,358
296,90471,106,265,8,354
297,92854,272,102,9,357
298,91487,268,99,8,358
299,91139,92,267,8,360
300,55242,162,0,5,353
301,91815,269,86,8,360
302,56955,8,167,5,355
303,60034,18,176,5,352
304,122233,163,358,11,353
305,90789,266,83,8,359
306,58323,12,171,5,355
307,87384,256,88,8,355
308,59345,174,11,5,357
309,89088,87,261,8,358
310,90447,265,82,8,359
311,89787,104,263,8,354
312,91491,103,268,8,356
313,88759,99,260,8,356
314,91830,269,101,8,357
315,89428,86,262,8,359
316,91155,108,267,8,352
317,92500,271,89,9,360
318,55244,2,162,5,352
319,59693,175,18,5,352
320,93540,274,106,9,354
321,55584,1,163,5,353
322,89079,261,78,8,355
323,90457,92,265,8,360
324,95580,280,100,9,356
325,94559,102,277,9,356
326,91492,268,104,8,355
327,92157,270,87,8,360
328,56960,167,13,5,352
329,89786,103,263,8,355
330,91135,267,88,8,360
331,89443,101,262,8,356
332,61057,18,179,5,352
333,93532,98,274,9,359
334,91823,94,269,8,360
335,87044,89,255,8,354
336,55931,7,164,5,353
337,93872,275,97,9,359
338,92517,106,271,9,354
339,89093,261,92,8,358
340,92170,270,100,8,358
341,87719,82,257,8,355
342,88737,260,77,8,354
343,89763,263,80,8,357
344,90813,107,266,8,353
345,89429,87,262,8,359
346,91131,267,84,8,360
347,86704,90,254,8,355
348,92841,272,89,9,360
349,91833,104,269,8,355
350,93531,97,274,9,359
351,92517,271,106,9,354
352,57641,169,12,5,354
353,92166,96,270,8,360
354,55934,10,164,5,352
355,89094,261,93,8,358
356,59007,14,173,5,354
357,88760,100,260,8,356
358,89445,103,262,8,355
359,91475,268,87,8,360
360,90796,90,266,8,361
361,88411,259,92,8,357
362,58319,8,171,5,357
363,93538,274,104,9,355
364,93200,273,107,9,353
365,91818,269,89,8,360
366,90105,264,81,8,358
367,92161,270,91,8,360
368,89089,88,261,8,358
369,92846,94,272,9,360
370,88755,260,95,8,358
371,89435,262,93,8,359
372,56617,166,11,5,352
373,91473,268,85,8,360
