t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,89761,78,263,8,356
26,94559,277,102,9,356
27,92145,270,75,8,354
28,91810,81,269,8,358
29,91487,99,268,8,358
30,91127,80,267,8,358
31,93193,273,100,9,358
32,92860,108,272,9,352
33,94217,276,101,9,357
34,91802,269,73,8,353
35,95244,279,105,9,352
36,92489,271,78,9,357
37,89418,76,262,8,354
38,92174,104,270,8,355
39,92518,107,271,9,353
40,95586,280,106,9,352
41,90444,79,265,8,357
42,93175,273,82,9,359
43,90103,79,264,8,357
44,93534,274,100,9,358
45,88734,74,260,8,352
46,91827,269,98,8,359
47,92855,103,272,9,356
48,91465,268,77,8,356
49,94224,108,276,9,352
50,92146,270,76,8,355
51,92510,271,99,9,358
52,89076,75,261,8,352
53,90437,265,72,8,352
54,94905,278,107,9,352
55,90097,264,73,8,353
56,93540,106,274,9,354
57,91831,102,269,8,357
58,92832,272,80,9,358
59,91488,100,268,8,358
60,93176,83,273,9,359
61,89757,263,74,8,353
62,92493,82,271,9,359
63,92144,270,74,8,354
64,91119,72,267,8,352
65,94902,278,104,9,354
66,94564,107,277,9,352
67,93542,274,108,9,352
68,90784,78,266,8,357
69,91830,101,269,8,357
70,92851,272,99,9,358
71,89415,262,73,8,352
72,93880,105,275,9,354
73,92488,271,77,9,356
74,92168,270,98,8,359
75,92175,105,270,8,354
76,94901,278,103,9,355
77,91460,268,72,8,352
78,91801,269,72,8,352
79,90786,80,266,8,358
80,94220,104,276,9,355
81,93174,273,81,9,358
82,92858,106,272,9,354
83,89075,74,261,8,352
84,91124,77,267,8,356
85,90438,73,265,8,353
86,94562,105,277,9,353
87,93883,108,275,9,352
88,91489,101,268,8,357
89,92152,82,270,8,359
90,91832,103,269,8,356
91,90778,266,72,8,352
92,93200,273,107,9,353
93,92831,272,79,9,357
94,95245,279,106,9,352
95,91144,97,267,8,359
96,89416,74,262,8,353
97,90100,264,76,8,355
98,89756,73,263,8,352
99,91469,81,268,8,358
100,92170,270,100,8,358
101,94219,276,103,9,356
102,92487,271,76,9,355
103,93201,108,273,9,352
104,92835,83,272,9,359
105,93882,275,107,9,353
106,95243,279,104,9,353
107,93516,274,82,9,359
108,91146,99,267,8,358
109,94904,106,278,9,353
110,88735,75,260,8,352
111,91485,268,97,8,359
112,90096,264,72,8,352
113,92149,270,79,8,357
114,92509,271,98,9,359
115,92830,272,78,9,357
116,91490,102,268,8,357
117,94223,276,107,9,353
118,89760,77,263,8,355
119,93520,274,86,9,360
120,95585,105,280,9,352
121,93192,273,99,9,358
122,90803,266,97,8,359
123,91120,267,73,8,353
124,93179,273,86,9,360
125,92517,106,271,9,354
126,92150,80,270,8,358
127,90098,264,74,8,354
128,92854,272,102,9,357
129,93876,275,101,9,357
130,91833,104,269,8,355
131,91470,82,268,8,359
132,91825,269,96,8,360
133,89077,76,261,8,353
134,93517,83,274,9,359
135,89417,262,75,8,353
136,94563,106,277,9,353
137,93173,273,80,9,358
138,90779,266,73,8,353
139,91145,98,267,8,359
140,92173,103,270,8,356
141,90439,74,265,8,354
142,93875,275,100,9,358
143,92176,106,270,8,354
144,91142,267,95,8,360
145,92494,83,271,9,359
146,91826,269,97,8,359
147,92153,83,270,8,359
148,92143,270,73,8,353
149,93172,273,79,9,357
150,90804,98,266,8,359
151,91141,267,94,8,360
152,89758,263,75,8,353
153,91462,74,268,8,354
154,89419,77,262,8,355
155,93178,85,273,9,360
156,94560,277,103,9,355
157,94222,276,106,9,354
158,92829,272,77,9,356
159,93541,274,107,9,353
160,92492,81,271,9,358
161,94903,105,278,9,353
162,91143,96,267,8,360
163,91801,72,269,8,352
164,91461,268,73,8,353
165,92495,84,271,9,360
166,90805,99,266,8,358
167,93858,83,275,9,359
168,93194,101,273,9,357
169,92496,85,271,9,360
170,92519,108,271,9,352
171,91824,269,95,8,360
172,93515,274,81,9,358
173,92850,272,98,9,359
174,91147,100,267,8,358
175,93863,88,275,9,360
176,93518,84,274,9,360
177,90781,75,266,8,354
178,91148,101,267,8,357
179,93519,274,85,9,360
180,90462,265,97,8,359
181,91491,103,268,8,356
182,90799,266,93,8,360
183,92486,271,75,9,354
184,90445,80,265,8,358
185,92859,272,107,9,353
186,91483,268,95,8,360
187,92837,85,272,9,360
188,90802,266,96,8,360
189,91121,267,74,8,354
190,90800,94,266,8,360
191,95585,280,105,9,352
192,93881,106,275,9,354
193,93177,273,84,9,360
194,93514,274,80,9,358
195,91811,82,269,8,359
196,89759,263,76,8,354
197,92519,271,108,9,352
198,91812,83,269,8,359
199,91484,268,96,8,360
200,93171,273,78,9,357
201,90099,75,264,8,354
202,94199,276,83,9,359
203,92857,105,272,9,354
204,91128,81,267,8,358
205,93533,274,99,9,358
206,92166,270,96,8,360
207,89077,261,76,8,353
208,91834,269,105,8,354
209,92513,102,271,9,357
210,90780,74,266,8,354
211,91460,72,268,8,352
212,88735,260,75,8,352
213,93197,104,273,9,355
214,92836,84,272,9,360
215,90462,97,265,8,359
216,93858,275,83,9,359
217,93857,82,275,9,359
218,93859,275,84,9,360
219,92143,73,270,8,353
220,90121,97,264,8,359
221,93521,87,274,9,360
222,91803,269,74,8,354
223,91149,267,102,8,357
224,90801,95,266,8,360
225,92860,272,108,9,352
226,91463,268,75,8,354
227,90461,265,96,8,360
228,93199,273,106,9,354
229,92508,271,97,9,359
230,94561,104,277,9,354
231,90806,100,266,8,358
232,93862,275,87,9,360
233,90102,78,264,8,357
234,93536,102,274,9,357
235,92828,272,76,9,355
236,94221,105,276,9,354
237,92154,84,270,8,360
238,91140,267,93,8,360
239,90440,75,265,8,354
240,92490,271,79,9,357
241,95243,104,279,9,353
242,91828,99,269,8,358
243,90787,81,266,8,358
244,91466,268,78,8,357
245,93201,273,108,9,352
246,90463,98,265,8,359
247,93539,274,105,9,354
248,93180,87,273,9,360
249,93513,274,79,9,357
250,93861,275,86,9,360
251,92167,270,97,8,359
252,91123,267,76,8,355
253,93856,275,81,9,358
254,90799,93,266,8,360
255,92518,271,107,9,353
256,94218,102,276,9,357
257,90442,77,265,8,356
258,91834,105,269,8,354
259,92834,82,272,9,359
260,94901,103,278,9,355
261,93179,86,273,9,360
262,93538,274,104,9,355
263,91141,94,267,8,360
264,94199,83,276,9,359
265,92839,87,272,9,360
266,93859,84,275,9,360
267,91481,268,93,8,360
268,92838,86,272,9,360
269,93170,273,77,9,356
270,90807,101,266,8,357
271,90458,93,265,8,360
272,90464,265,99,8,358
273,92516,105,271,9,354
274,90459,94,265,8,360
275,91126,267,79,8,357
276,91492,268,104,8,355
277,92485,271,74,9,354
278,91482,268,94,8,360
279,91804,75,269,8,354
280,89419,262,77,8,355
281,93857,275,82,9,359
282,93860,85,275,9,360
283,92853,272,101,9,357
284,93191,273,98,9,359
285,93521,274,87,9,360
286,94200,84,276,9,360
287,90121,264,97,8,359
288,90461,96,265,8,360
289,91464,76,268,8,355
290,92514,103,271,9,356
291,91129,82,267,8,359
292,92165,270,95,8,360
293,95586,106,280,9,352
294,93856,81,275,9,358
295,88734,260,74,8,352
296,93513,79,274,9,357
297,94905,107,278,9,352
298,91802,73,269,8,353
299,90120,264,96,8,360
300,90460,95,265,8,360
301,93198,273,105,9,354
302,92177,107,270,8,353
303,91149,102,267,8,357
304,92511,271,100,9,358
305,93878,275,103,9,356
306,90778,72,266,8,352
307,93522,274,88,9,360
308,91467,268,79,8,357
309,91813,84,269,8,360
310,90457,265,92,8,360
311,89415,73,262,8,352
312,89075,261,74,8,352
313,91150,103,267,8,356
314,92176,270,106,8,354
315,93863,275,88,9,360
316,90798,266,92,8,360
317,93181,88,273,9,360
318,92828,76,272,9,355
319,91139,267,92,8,360
320,92827,272,75,9,354
321,94201,85,276,9,360
322,92177,270,107,8,353
323,90464,99,265,8,358
324,92497,86,271,9,360
325,90457,92,265,8,360
326,94540,277,83,9,358
327,94541,84,277,9,359
328,92507,271,96,9,360
329,94203,276,87,9,360
330,94197,81,276,9,358
331,91806,269,77,8,356
332,93512,274,78,9,357
333,90119,264,95,8,360
334,89779,263,96,8,359
335,95245,106,279,9,352
336,90463,265,98,8,359
337,91119,267,72,8,352
338,92142,270,72,8,352
339,91492,104,268,8,355
340,92496,271,85,9,360
341,91823,269,94,8,360
342,90807,266,101,8,357
343,94200,276,84,9,360
344,93542,108,274,9,352
345,90117,264,93,8,360
346,94204,88,276,9,360
347,93180,273,87,9,360
348,90443,78,265,8,357
349,89756,263,73,8,352
350,90797,266,91,8,360
351,94198,276,82,9,359
352,93865,275,90,9,361
353,92485,74,271,9,354
354,93855,80,275,9,358
355,92171,270,101,8,357
356,92849,272,97,9,359
357,90120,96,264,8,360
358,94205,89,276,9,360
359,89780,263,97,8,358
360,90116,264,92,8,360
361,90460,265,95,8,360
362,94545,277,88,9,359
363,91140,93,267,8,360
364,90123,99,264,8,358
365,92498,87,271,9,360
366,93854,275,79,9,357
367,90808,102,266,8,357
368,91835,106,269,8,354
369,93169,273,76,9,355
370,94541,277,84,9,359
371,93864,275,89,9,360
372,94201,276,85,9,360
373,91822,269,93,8,360
