t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,93541,107,274,9,353
26,94218,276,102,9,357
27,93199,106,273,9,354
28,94560,277,103,9,355
29,90444,79,265,8,357
30,91122,267,75,8,354
31,89418,76,262,8,354
32,90438,265,73,8,353
33,93876,275,101,9,357
34,92857,105,272,9,354
35,89760,77,263,8,355
36,90786,80,266,8,358
37,94902,278,104,9,354
38,94224,108,276,9,352
39,91807,269,78,8,357
40,92514,103,271,9,356
41,91470,82,268,8,359
42,95245,279,106,9,352
43,93193,273,100,9,358
44,90096,264,72,8,352
45,93535,274,101,9,357
46,88735,75,260,8,352
47,91121,267,74,8,354
48,92856,104,272,9,355
49,92151,81,270,8,358
50,91806,269,77,8,356
51,94903,278,105,9,353
52,91464,268,76,8,355
53,92496,271,85,9,360
54,93175,82,273,9,359
55,90102,78,264,8,357
56,95586,280,106,9,352
57,89076,75,261,8,352
58,91146,99,267,8,358
59,92835,272,83,9,359
60,92172,102,270,8,357
61,91825,96,269,8,360
62,93534,274,100,9,358
63,91485,97,268,8,359
64,92490,271,79,9,357
65,88734,74,260,8,352
66,93179,86,273,9,360
67,94561,277,104,9,354
68,93882,107,275,9,353
69,91145,267,98,8,359
70,89077,76,261,8,353
71,92154,84,270,8,360
72,91824,269,95,8,360
73,93516,274,82,9,359
74,91484,268,96,8,360
75,92513,102,271,9,357
76,89417,75,262,8,353
77,93176,83,273,9,359
78,89756,73,263,8,352
79,92851,272,99,9,358
80,93883,108,275,9,352
81,90804,266,98,8,359
82,92173,103,270,8,356
83,91127,80,267,8,358
84,89075,74,261,8,352
85,91465,268,77,8,356
86,91805,269,76,8,355
87,92497,86,271,9,360
88,93177,273,84,9,360
89,95244,279,105,9,352
90,94564,107,277,9,352
91,93517,83,274,9,359
92,90801,266,95,8,360
93,94904,278,106,9,353
94,91463,268,75,8,354
95,91144,97,267,8,359
96,92155,85,270,8,360
97,92850,272,98,9,359
98,92515,104,271,9,355
99,89415,73,262,8,352
100,93194,273,101,9,357
101,91831,102,269,8,357
102,93520,86,274,9,360
103,90780,266,74,8,354
104,94222,106,276,9,354
105,91483,95,268,8,360
106,91129,82,267,8,359
107,92150,270,80,8,358
108,92836,84,272,9,360
109,92511,271,100,9,358
110,90805,99,266,8,358
111,93174,273,81,9,358
112,90097,264,73,8,353
113,91812,83,269,8,359
114,89757,263,74,8,353
115,90803,266,97,8,359
116,91482,94,268,8,360
117,91142,267,95,8,360
118,92147,270,77,8,356
119,92838,272,86,9,360
120,93518,274,84,9,360
121,94905,278,107,9,352
122,93178,85,273,9,360
123,92512,101,271,9,357
124,91810,81,269,8,358
125,89416,74,262,8,353
126,91823,269,94,8,360
127,90802,96,266,8,360
128,91147,100,267,8,358
129,91486,268,98,8,359
130,92832,272,80,9,358
131,92148,270,78,8,357
132,90787,81,266,8,358
133,93180,273,87,9,360
134,90463,265,98,8,359
135,92498,87,271,9,360
136,93858,83,275,9,359
137,93519,274,85,9,360
138,92165,270,95,8,360
139,91141,94,267,8,360
140,91489,101,268,8,357
141,93181,273,88,9,360
142,94223,107,276,9,353
143,94199,276,83,9,359
144,94563,106,277,9,353
145,91813,84,269,8,360
146,95585,280,105,9,352
147,92839,272,87,9,360
148,92508,271,97,9,359
149,93861,86,275,9,360
150,93515,274,81,9,358
151,92840,88,272,9,360
152,91143,96,267,8,360
153,92171,101,270,8,357
154,93859,84,275,9,360
155,93192,273,99,9,358
156,91808,269,79,8,357
157,91468,80,268,8,358
158,90800,94,266,8,360
159,92489,271,78,9,357
160,90462,265,97,8,359
161,91139,92,267,8,360
162,91140,267,93,8,360
163,92852,272,100,9,358
164,93521,87,274,9,360
165,90100,264,76,8,355
166,93198,105,273,9,354
167,89419,77,262,8,355
168,91471,83,268,8,359
169,92166,270,96,8,360
170,91830,101,269,8,357
171,93173,273,80,9,358
172,90463,98,265,8,359
173,91481,93,268,8,360
174,92831,272,79,9,357
175,91128,81,267,8,358
176,90098,264,74,8,354
177,90461,96,265,8,360
178,94562,105,277,9,353
179,93857,275,82,9,359
180,94203,276,87,9,360
181,89758,263,75,8,353
182,90799,93,266,8,360
183,90121,264,97,8,359
184,91490,102,268,8,357
185,90460,95,265,8,360
186,92837,85,272,9,360
187,92491,271,80,9,358
188,92168,98,270,8,359
189,91822,93,269,8,360
190,93883,275,108,9,352
191,93181,88,273,9,360
192,88735,260,75,8,352
193,94220,104,276,9,355
194,90096,72,264,8,352
195,90459,265,94,8,360
196,92841,89,272,9,360
197,91148,267,101,8,357
198,94199,83,276,9,359
199,93540,274,106,9,354
200,91829,100,269,8,358
201,93182,273,89,9,360
202,93862,275,87,9,360
203,93522,274,88,9,360
204,95243,279,104,9,353
205,92495,84,271,9,360
206,90440,265,75,8,354
207,95585,105,280,9,352
208,91480,268,92,8,360
209,88736,76,260,8,353
210,94200,84,276,9,360
211,93860,275,85,9,360
212,90445,80,265,8,358
213,90806,266,100,8,358
214,91828,269,99,8,358
215,92507,271,96,9,360
216,92156,86,270,8,360
217,91832,103,269,8,356
218,91125,267,78,8,357
219,91481,268,93,8,360
220,92840,272,88,9,360
221,94224,276,108,9,352
222,90117,264,93,8,360
223,93880,275,105,9,354
224,90462,97,265,8,359
225,91139,267,92,8,360
226,93515,81,274,9,358
227,90464,99,265,8,358
228,92149,270,79,8,357
229,92509,271,98,9,359
230,94205,89,276,9,360
231,90121,97,264,8,359
232,92834,82,272,9,359
233,89759,76,263,8,354
234,93877,275,102,9,357
235,93183,90,273,9,361
236,93523,274,89,9,360
237,93514,80,274,9,358
238,90439,74,265,8,354
239,94905,107,278,9,352
240,90798,92,266,8,360
241,94203,87,276,9,360
242,90122,98,264,8,359
243,94540,277,83,9,358
244,89780,97,263,8,358
245,92499,88,271,9,360
246,94201,276,85,9,360
247,92849,272,97,9,359
248,94202,276,86,9,360
249,90458,93,265,8,360
250,90118,94,264,8,360
251,91480,92,268,8,360
252,93172,273,79,9,357
253,91148,101,267,8,357
254,93863,88,275,9,360
255,89415,262,73,8,352
256,95586,106,280,9,352
257,92841,272,89,9,360
258,88736,260,76,8,353
259,94200,276,84,9,360
260,90457,265,92,8,360
261,91822,269,93,8,360
262,91488,100,268,8,358
263,94541,84,277,9,359
264,91814,85,269,8,360
265,91138,267,91,8,360
266,93857,82,275,9,359
267,92167,270,97,8,359
268,93523,89,274,9,360
269,93856,275,81,9,358
270,95243,104,279,9,353
271,92830,78,272,9,357
272,93864,275,89,9,360
273,89775,92,263,8,359
274,90797,91,266,8,360
275,90120,264,96,8,360
276,90438,73,265,8,353
277,92174,104,270,8,355
278,91811,82,269,8,359
279,93541,274,107,9,353
280,94204,276,88,9,360
281,91472,268,84,8,360
282,90116,92,264,8,360
283,89777,263,94,8,359
284,93881,275,106,9,354
285,92855,103,272,9,356
286,93524,274,90,9,361
287,93191,273,98,9,359
288,90464,265,99,8,358
289,90779,266,73,8,353
290,88734,260,74,8,352
291,94201,85,276,9,360
292,90115,264,91,8,360
293,89780,263,97,8,358
294,91123,267,76,8,355
295,95245,106,279,9,352
296,94564,277,107,9,352
297,94540,83,277,9,358
298,93195,102,273,9,357
299,93865,275,90,9,361
300,90785,79,266,8,357
301,91479,91,268,8,360
302,93183,273,90,9,361
303,94541,277,84,9,359
304,92499,271,88,9,360
305,93514,274,80,9,358
306,94205,276,89,9,360
307,90456,91,265,8,360
308,92500,89,271,9,360
309,92146,270,76,8,355
310,90122,264,98,8,359
311,89075,261,74,8,352
312,90797,266,91,8,360
313,90123,264,99,8,358
314,90807,101,266,8,357
315,89775,263,92,8,359
316,94198,276,82,9,359
317,93859,275,84,9,360
318,90461,265,96,8,360
319,91821,269,92,8,360
320,92174,270,104,8,355
321,92492,271,81,9,358
322,90119,95,264,8,360
323,91137,267,90,8,361
324,89077,261,76,8,353
325,92830,272,78,9,357
326,89756,263,73,8,352
327,93525,91,274,9,360
328,94204,88,276,9,360
329,94545,88,277,9,359
330,90115,91,264,8,360
331,89776,263,93,8,359
332,93856,81,275,9,358
333,93184,91,273,9,360
334,92169,270,99,8,358
335,94206,90,276,9,361
336,92163,270,93,8,360
337,91121,74,267,8,354
338,92516,105,271,9,354
339,92853,272,101,9,357
340,93865,90,275,9,361
341,94544,87,277,9,359
342,90120,96,264,8,360
343,94542,85,277,9,359
344,92500,271,89,9,360
345,92488,77,271,9,356
346,56618,12,166,5,352
347,91490,268,102,8,357
348,93533,99,274,9,358
349,89779,263,96,8,359
350,90795,266,89,8,360
351,93526,274,92,9,360
352,90796,266,90,8,361
353,93867,275,92,9,360
354,89439,262,97,8,358
355,91815,86,269,8,360
356,94545,277,88,9,359
357,90114,264,90,8,361
358,90113,89,264,8,360
359,89777,94,263,8,359
360,94547,90,277,9,360
361,94198,82,276,9,359
362,92164,270,94,8,360
363,91467,268,79,8,357
364,92516,271,105,9,354
365,93196,103,273,9,356
366,92157,87,270,8,360
367,94543,86,277,9,359
368,92506,271,95,9,360
369,57643,169,14,5,352
370,94546,89,277,9,359
371,94882,84,278,9,359
372,93525,274,91,9,360
373,90123,99,264,8,358
