t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,91154,267,107,8,353
26,93512,274,78,9,357
27,93172,79,273,9,357
28,91837,108,269,8,352
29,94532,277,75,9,353
30,92150,270,80,8,358
31,94192,76,276,9,355
32,91470,82,268,8,359
33,92484,271,73,9,353
34,93852,275,77,9,356
35,90098,74,264,8,354
36,92838,86,272,9,360
37,93506,274,72,9,352
38,91128,81,267,8,358
39,91836,269,107,8,353
40,89758,75,263,8,353
41,93173,273,80,9,358
42,89418,76,262,8,354
43,95218,279,79,9,355
44,91461,268,73,8,353
45,92178,270,108,8,352
46,92493,271,82,9,359
47,90780,74,266,8,354
48,93847,275,72,9,352
49,92833,81,272,9,358
50,93511,274,77,9,356
51,89076,75,261,8,352
52,90813,107,266,8,353
53,93171,78,273,9,357
54,94537,277,80,9,357
55,91120,267,73,8,353
56,92154,270,84,8,360
57,91496,108,268,8,352
58,92494,271,83,9,359
59,95559,79,280,9,355
60,92839,87,272,9,360
61,93523,274,89,9,360
62,91801,269,72,8,352
63,89077,76,261,8,353
64,95216,279,77,9,354
65,94531,277,74,9,353
66,94878,80,278,9,357
67,94197,276,81,9,358
68,91495,268,107,8,353
69,91129,82,267,8,359
70,90103,79,264,8,357
71,93166,73,273,9,353
72,90440,75,265,8,354
73,92837,272,85,9,360
74,92142,270,72,8,352
75,89760,77,263,8,355
76,96585,82,283,9,355
77,91155,108,267,8,352
78,93856,81,275,9,358
79,94876,78,278,9,356
80,89416,74,262,8,353
81,91467,79,268,8,357
82,91802,269,73,8,353
83,95219,80,279,9,356
84,92840,88,272,9,360
85,92483,271,72,9,352
86,91494,106,268,8,354
87,88735,260,75,8,352
88,63431,5,186,6,360
89,93174,81,273,9,358
90,91153,106,267,8,354
91,94874,278,76,9,354
92,92155,85,270,8,360
93,121560,356,170,11,358
94,93857,82,275,9,359
95,94189,276,73,9,353
96,92824,72,272,9,352
97,93522,274,88,9,360
98,91462,268,74,8,354
99,93525,91,274,9,360
100,94538,277,81,9,357
101,89761,78,263,8,356
102,90471,265,106,8,354
103,90100,76,264,8,355
104,95900,281,79,9,354
105,92153,270,83,8,359
106,93848,275,73,9,353
107,92834,272,82,9,359
108,60357,0,177,5,361
109,91121,74,267,8,354
110,90812,266,106,8,354
111,89419,77,262,8,355
112,94879,81,278,9,357
113,93181,88,273,9,360
114,90099,75,264,8,354
115,92495,271,84,9,360
116,94188,276,72,9,352
117,90438,73,265,8,353
118,122593,359,183,11,360
119,93851,275,76,9,355
120,120535,353,165,11,353
121,93508,274,74,9,354
122,92177,270,107,8,353
123,91810,81,269,8,358
124,93527,93,274,9,360
125,92835,272,83,9,359
126,95560,80,280,9,356
127,120533,163,353,11,352
128,94198,82,276,9,359
129,88736,76,260,8,353
130,122253,183,358,11,360
131,91460,268,72,8,352
132,89415,73,262,8,352
133,90439,74,265,8,354
134,120534,164,353,11,353
135,92156,86,270,8,360
136,93168,273,75,9,354
137,90813,266,107,8,353
138,120877,354,167,11,356
139,121913,183,357,11,360
140,92831,272,79,9,357
141,121912,182,357,11,360
142,91494,268,106,8,354
143,94210,94,276,9,360
144,93849,74,275,9,354
145,91837,269,108,8,352
146,95901,281,80,9,355
147,93175,273,82,9,359
148,92157,87,270,8,360
149,90787,266,81,8,358
150,95217,78,279,9,355
151,89762,79,263,8,356
152,121914,357,184,11,360
153,121573,183,356,11,360
154,63431,186,5,6,360
155,94873,278,75,9,353
156,91835,269,106,8,354
157,120893,183,354,11,360
158,94209,93,276,9,360
159,93178,273,85,9,360
160,121575,185,356,11,360
161,95558,280,78,9,355
162,93526,92,274,9,360
163,94536,79,277,9,356
164,91496,268,108,8,352
165,90778,266,72,8,352
166,121902,172,357,11,359
167,93865,90,275,9,361
168,121574,184,356,11,360
169,120874,354,164,11,354
170,93176,273,83,9,359
171,92519,271,108,9,352
172,93528,94,274,9,360
173,94196,276,80,9,358
174,94530,277,73,9,352
175,94880,82,278,9,358
176,88734,74,260,8,352
177,95220,81,279,9,356
178,122594,184,359,11,360
179,92836,272,84,9,360
180,91153,267,106,8,354
181,120876,166,354,11,355
182,93866,275,91,9,360
183,94199,83,276,9,359
184,93165,72,273,9,352
185,90445,80,265,8,358
186,93516,82,274,9,359
187,91152,105,267,8,354
188,96243,282,81,9,355
189,92143,270,73,8,353
190,122252,358,182,11,360
191,90471,106,265,8,354
192,91147,267,100,8,358
193,89075,74,261,8,352
194,94534,277,77,9,355
195,120875,165,354,11,354
196,93177,273,84,9,360
197,89420,78,262,8,356
198,120536,166,353,11,354
199,121234,184,355,11,360
200,94188,72,276,9,352
201,122595,185,359,11,360
202,94211,95,276,9,360
203,91155,267,108,8,352
204,90097,73,264,8,353
205,63772,187,5,6,359
206,94539,82,277,9,358
207,94224,108,276,9,352
208,92158,88,270,8,360
209,120873,354,163,11,353
210,89078,77,261,8,354
211,121235,185,355,11,360
212,122585,359,175,11,360
213,93513,79,274,9,357
214,91493,268,105,8,354
215,89757,74,263,8,353
216,90437,72,265,8,352
217,95903,82,281,9,356
218,93872,97,275,9,359
219,122596,186,359,11,360
220,95215,279,76,9,353
221,120878,168,354,11,357
222,63085,0,185,6,361
223,92177,107,270,8,353
224,93182,273,89,9,360
225,93521,274,87,9,360
226,93883,108,275,9,352
227,122597,187,359,11,359
228,94875,278,77,9,355
229,90811,105,266,8,354
230,94194,276,78,9,357
231,91146,99,267,8,358
232,61040,1,179,5,360
233,120892,182,354,11,360
234,92499,88,271,9,360
235,93179,273,86,9,360
236,120193,163,352,11,352
237,93517,274,83,9,359
238,94556,99,277,9,357
239,90806,100,266,8,358
240,93183,90,273,9,361
241,95214,279,75,9,352
242,121218,355,168,11,357
243,92843,91,272,9,360
244,96244,82,282,9,356
245,121912,357,182,11,360
246,89756,73,263,8,352
247,122257,187,358,11,359
248,94223,276,107,9,353
249,93515,81,274,9,358
250,94871,73,278,9,352
251,122253,358,183,11,360
252,94533,76,277,9,354
253,90812,106,266,8,354
254,93855,275,80,9,358
255,90805,266,99,8,358
256,93873,98,275,9,359
257,91152,267,105,8,354
258,93180,273,87,9,360
259,94195,79,276,9,357
260,91130,83,267,8,359
261,62077,15,182,6,354
262,96240,282,78,9,354
263,93507,73,274,9,353
264,64803,13,190,6,354
265,120894,184,354,11,360
266,120533,353,163,11,352
267,121915,185,357,11,360
268,93538,104,274,9,355
269,93882,107,275,9,353
270,89788,105,263,8,353
271,120872,354,162,11,352
272,91474,268,86,8,360
273,62418,15,183,6,354
274,96242,282,80,9,355
275,91812,269,83,8,359
276,93189,96,273,9,360
277,94872,278,74,9,353
278,94535,78,277,9,356
279,92152,82,270,8,359
280,93518,274,84,9,360
281,92519,108,271,9,352
282,96241,282,79,9,354
283,89417,262,75,8,353
284,97606,286,80,9,352
285,121914,184,357,11,360
286,94199,276,83,9,359
287,92844,272,92,9,360
288,63440,186,14,6,355
289,60357,177,0,5,361
290,95221,82,279,9,357
291,122593,183,359,11,360
292,93184,273,91,9,360
293,92173,103,270,8,356
294,121232,182,355,11,360
295,91835,106,269,8,354
296,91119,267,72,8,352
297,95554,280,74,9,352
298,89079,78,261,8,355
299,89759,76,263,8,354
300,121216,355,166,11,355
301,94897,278,99,9,357
302,90779,73,266,8,353
303,121913,357,183,11,360
304,62759,15,184,6,354
305,121560,170,356,11,358
306,92178,108,270,8,352
307,90470,105,265,8,354
308,120873,163,354,11,353
309,94200,84,276,9,360
310,93520,274,86,9,360
311,93847,72,275,9,352
312,94540,83,277,9,358
313,121558,356,168,11,357
314,95902,81,281,9,355
315,120554,184,353,11,359
316,63768,1,187,6,359
317,92497,86,271,9,360
318,91488,268,100,8,358
319,90130,106,264,8,354
320,62420,17,183,6,353
321,92161,91,270,8,360
322,91490,102,268,8,357
323,90811,266,105,8,354
324,92825,272,73,9,353
325,90447,82,265,8,359
326,94552,95,277,9,359
327,93196,103,273,9,356
328,64114,6,188,6,359
329,96922,284,78,9,352
330,93863,275,88,9,360
331,121575,356,185,11,360
332,94214,98,276,9,359
333,94551,94,277,9,359
334,95899,281,78,9,354
335,122243,173,358,11,359
336,92162,92,270,8,360
337,63767,0,187,6,360
338,121917,357,187,11,359
339,65145,14,191,6,352
340,93883,275,108,9,352
341,95561,81,280,9,356
342,63781,14,187,6,354
343,92485,271,74,9,354
344,64125,17,188,6,352
345,88748,260,88,8,358
346,64804,14,190,6,353
347,93519,274,85,9,360
348,63444,18,186,6,352
349,95213,279,74,9,352
350,92145,270,75,8,354
351,93864,275,89,9,360
352,120543,353,173,11,358
353,94898,100,278,9,357
354,93881,106,275,9,354
355,121236,355,186,11,360
356,93530,96,274,9,360
357,94553,96,277,9,359
358,91489,268,101,8,357
359,121573,356,183,11,360
360,122252,182,358,11,360
361,93858,83,275,9,359
362,90129,264,105,8,354
363,91493,105,268,8,354
364,96584,283,81,9,354
365,63103,18,185,6,352
366,88737,77,260,8,354
367,94877,278,79,9,356
368,121572,182,356,11,360
369,120552,353,182,11,359
370,120194,164,352,11,353
371,91131,84,267,8,360
372,96238,282,76,9,352
373,96581,283,78,9,353
