t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,57980,10,170,5,356
26,93518,84,274,9,360
27,91803,74,269,8,354
28,60031,15,176,5,354
29,89759,76,263,8,354
30,90781,75,266,8,354
31,56953,6,167,5,356
32,92143,270,73,8,353
33,92494,83,271,9,359
34,92824,272,72,9,352
35,90444,79,265,8,357
36,94876,78,278,9,356
37,93514,274,80,9,358
38,91121,74,267,8,354
39,61055,179,16,5,354
40,89418,76,262,8,354
41,58320,171,9,5,356
42,91811,82,269,8,359
43,61398,18,180,6,352
44,58322,11,171,5,355
45,93848,275,73,9,353
46,94536,79,277,9,356
47,90096,72,264,8,352
48,92833,272,81,9,358
49,60712,178,14,5,355
50,57293,168,5,5,357
51,95217,279,78,9,355
52,93508,274,74,9,354
53,91463,75,268,8,354
54,91127,80,267,8,358
55,60372,177,15,5,354
56,94189,276,73,9,353
57,93854,275,79,9,357
58,90442,77,265,8,356
59,57637,169,8,5,356
60,92483,271,72,9,352
61,57292,168,4,5,357
62,61053,179,14,5,355
63,93177,84,273,9,360
64,88734,74,260,8,352
65,122232,358,162,11,352
66,93516,274,82,9,359
67,89756,73,263,8,352
68,91123,76,267,8,355
69,90102,78,264,8,357
70,59002,173,9,5,357
71,93847,275,72,9,352
72,92145,75,270,8,354
73,56610,4,166,5,355
74,58663,172,11,5,356
75,58316,171,5,5,358
76,92485,271,74,9,354
77,60710,178,12,5,357
78,95216,279,77,9,354
79,91461,268,73,8,353
80,89761,78,263,8,356
81,94877,79,278,9,356
82,91128,81,267,8,358
83,121893,163,357,11,353
84,94188,276,72,9,352
85,57633,169,4,5,357
86,93855,275,80,9,358
87,92836,84,272,9,360
88,93517,274,83,9,359
89,61396,180,16,6,354
90,89075,74,261,8,352
91,58661,172,9,5,357
92,58999,173,6,5,359
93,61056,17,179,5,353
94,93166,273,73,9,353
95,94195,79,276,9,357
96,122233,163,358,11,353
97,93857,275,82,9,359
98,91801,269,72,8,352
99,90445,80,265,8,358
100,55925,1,164,5,354
101,94531,277,74,9,353
102,59342,8,174,5,359
103,90782,76,266,8,355
104,58662,172,10,5,357
105,92495,84,271,9,360
106,59341,174,7,5,359
107,95559,79,280,9,355
108,93850,275,75,9,354
109,93506,274,72,9,352
110,89419,77,262,8,355
111,60373,16,177,5,354
112,93173,80,273,9,358
113,59001,173,8,5,358
114,92151,81,270,8,358
115,94874,278,76,9,354
116,94530,277,73,9,352
117,90784,78,266,8,357
118,57294,6,168,5,357
119,91122,75,267,8,354
120,93858,275,83,9,359
121,94193,77,276,9,356
122,61397,180,17,6,353
123,90103,79,264,8,357
124,61737,181,16,6,354
125,91462,74,268,8,354
126,56947,167,0,5,357
127,94537,80,277,9,357
128,122573,359,163,11,353
129,62080,182,18,6,352
130,92484,271,73,9,353
131,93176,273,83,9,359
132,93856,275,81,9,358
133,89076,75,261,8,352
134,59005,173,12,5,356
135,59006,13,173,5,355
136,58315,171,4,5,358
137,91470,82,268,8,359
138,89416,74,262,8,353
139,57976,6,170,5,358
140,95215,279,76,9,353
141,94196,80,276,9,358
142,89762,79,263,8,356
143,95558,280,78,9,355
144,90437,72,265,8,352
145,94871,73,278,9,352
146,61052,179,13,5,356
147,59346,174,12,5,357
148,93178,273,85,9,360
149,88735,75,260,8,352
150,90098,74,264,8,354
151,56948,167,1,5,356
152,94197,276,81,9,358
153,58321,171,10,5,356
154,94535,78,277,9,356
155,57977,7,170,5,357
156,93542,274,108,9,352
157,92142,270,72,8,352
158,92496,85,271,9,360
159,60370,177,13,5,356
160,94873,278,75,9,353
161,89415,262,73,8,352
162,121552,356,162,11,352
163,90787,81,266,8,358
164,93859,275,84,9,360
165,95214,279,75,9,352
166,57295,7,168,5,356
167,94533,277,76,9,354
168,59683,175,8,5,359
169,93519,85,274,9,360
170,90104,80,264,8,358
171,60715,17,178,5,353
172,94198,276,82,9,359
173,93201,273,108,9,352
174,59343,174,9,5,358
175,93179,273,86,9,360
176,94872,278,74,9,353
177,89420,262,78,8,356
178,91120,73,267,8,353
179,91805,76,269,8,355
180,90783,266,77,8,356
181,122572,162,359,11,352
182,60711,178,13,5,356
183,61739,18,181,6,352
184,94199,276,83,9,359
185,91460,268,72,8,352
186,57979,170,9,5,356
187,95213,74,279,9,352
188,95901,80,281,9,355
189,92860,108,272,9,352
190,93860,85,275,9,360
191,94538,277,81,9,357
192,94875,278,77,9,355
193,59345,11,174,5,357
194,60025,176,9,5,358
195,90100,76,264,8,355
196,93165,273,72,9,352
197,91466,268,78,8,357
198,90438,73,265,8,353
199,95219,80,279,9,356
200,122235,358,165,11,354
201,92493,82,271,9,359
202,122574,164,359,11,354
203,94879,81,278,9,357
204,89760,77,263,8,355
205,94200,276,84,9,360
206,93542,108,274,9,352
207,95900,281,79,9,354
208,93541,274,107,9,353
209,95554,74,280,9,352
210,122234,164,358,11,354
211,92837,85,272,9,360
212,89077,76,261,8,353
213,92154,84,270,8,360
214,57638,9,169,5,355
215,94878,80,278,9,357
216,61057,18,179,5,352
217,92838,86,272,9,360
218,59344,174,10,5,358
219,93168,273,75,9,354
220,95899,281,78,9,354
221,94539,277,82,9,358
222,58999,6,173,5,359
223,92519,271,108,9,352
224,95556,280,76,9,353
225,56268,165,3,5,354
226,89078,77,261,8,354
227,94201,85,276,9,360
228,93201,108,273,9,352
229,94871,278,73,9,352
230,89758,75,263,8,353
231,62079,182,17,6,353
232,92144,270,74,8,354
233,94541,277,84,9,359
234,93200,107,273,9,353
235,95560,80,280,9,356
236,92835,272,83,9,359
237,96241,282,79,9,354
238,59000,173,7,5,358
239,59347,13,174,5,356
240,95220,81,279,9,356
241,90097,73,264,8,353
242,61398,180,18,6,352
243,92178,108,270,8,352
244,93883,275,108,9,352
245,93175,273,82,9,359
246,96240,282,78,9,354
247,61738,181,17,6,353
248,94190,276,74,9,354
249,89417,75,262,8,353
250,92860,272,108,9,352
251,88736,76,260,8,353
252,95555,280,75,9,352
253,92155,85,270,8,360
254,59341,7,174,5,359
255,59006,173,13,5,355
256,93520,274,86,9,360
257,90778,72,266,8,352
258,58318,171,7,5,357
259,57980,170,10,5,356
260,94194,78,276,9,357
261,92825,272,73,9,353
262,91471,83,268,8,359
263,95561,81,280,9,356
264,58317,171,6,5,358
265,91126,79,267,8,357
266,94534,277,77,9,355
267,58319,8,171,5,357
268,91837,108,269,8,352
269,59684,9,175,5,358
270,94880,82,278,9,358
271,94188,72,276,9,352
272,89757,263,74,8,353
273,92153,83,270,8,359
274,93515,274,81,9,358
275,92487,271,76,9,355
276,92859,107,272,9,353
277,121892,357,162,11,352
278,92519,108,271,9,352
279,95557,280,77,9,354
280,93541,107,274,9,353
281,57637,8,169,5,356
282,121553,356,163,11,353
283,95221,82,279,9,357
284,89421,79,262,8,356
285,93861,275,86,9,360
286,94540,277,83,9,358
287,91802,269,73,8,353
288,60716,18,178,5,352
289,93180,87,273,9,360
290,93181,273,88,9,360
291,95554,280,74,9,352
292,92497,271,86,9,360
293,90099,264,75,8,354
294,122232,162,358,11,352
295,95897,281,76,9,352
296,93200,273,107,9,353
297,57978,170,8,5,357
298,92178,270,108,8,352
299,90446,81,265,8,358
300,93507,274,73,9,353
301,89420,78,262,8,356
302,91465,268,77,8,356
303,57974,170,4,5,358
304,94532,277,75,9,353
305,93199,273,106,9,354
306,95218,79,279,9,355
307,93540,274,106,9,354
308,60714,178,16,5,354
309,92518,107,271,9,353
310,96583,283,80,9,354
311,55583,0,163,5,354
312,96581,283,78,9,353
313,91812,83,269,8,359
314,61057,179,18,5,352
315,91472,84,268,8,360
316,92834,272,82,9,359
317,93169,273,76,9,355
318,89079,78,261,8,355
319,90439,74,265,8,354
320,57631,169,2,5,357
321,91837,269,108,8,352
322,60713,178,15,5,354
323,96238,76,282,9,352
324,95222,83,279,9,357
325,93521,274,87,9,360
326,92177,107,270,8,353
327,58322,171,11,5,355
328,93182,89,273,9,360
329,92829,272,77,9,356
330,93849,275,74,9,354
331,90786,80,266,8,358
332,92859,272,107,9,353
333,61394,180,14,6,355
334,94543,277,86,9,359
335,91804,269,75,8,354
336,93512,78,274,9,357
337,93882,275,107,9,353
338,92149,270,79,8,357
339,61054,179,15,5,354
340,93174,273,81,9,358
341,95213,279,74,9,352
342,58660,8,172,5,358
343,94192,276,76,9,355
344,91496,108,268,8,352
345,95898,77,281,9,353
346,60026,10,176,5,358
347,93509,274,75,9,354
348,92858,106,272,9,354
349,94883,278,85,9,359
350,93847,72,275,9,352
351,91130,83,267,8,359
352,59690,175,15,5,354
353,91813,84,269,8,360
354,92152,82,270,8,359
355,122575,165,359,11,354
356,89078,261,77,8,354
357,93172,79,273,9,357
358,58661,9,172,5,357
359,93510,76,274,9,355
360,58321,10,171,5,356
361,91836,269,107,8,353
362,93199,106,273,9,354
363,91131,84,267,8,360
364,95224,85,279,9,358
365,60025,9,176,5,358
366,91814,85,269,8,360
367,96239,282,77,9,353
368,93883,108,275,9,352
369,94202,276,86,9,360
370,59685,175,10,5,358
371,92492,271,81,9,358
372,94530,73,277,9,352
373,94881,278,83,9,358
