t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,92147,77,270,8,356
26,90437,72,265,8,352
27,93172,79,273,9,357
28,94196,80,276,9,358
29,92830,78,272,9,357
30,96926,284,82,9,354
31,95555,280,75,9,352
32,90779,73,266,8,353
33,95222,83,279,9,357
34,96238,282,76,9,352
35,94538,81,277,9,357
36,95898,281,77,9,353
37,97952,287,85,9,353
38,96587,84,283,9,356
39,97265,285,80,9,352
40,91121,74,267,8,354
41,96930,86,284,9,355
42,95562,82,280,9,357
43,93165,273,72,9,352
44,92489,78,271,9,357
45,91805,76,269,8,355
46,94189,276,73,9,353
47,97609,286,83,9,353
48,96247,85,282,9,357
49,96582,283,79,9,353
50,94534,277,77,9,355
51,97269,285,84,9,354
52,93508,274,74,9,354
53,93856,81,275,9,358
54,92142,270,72,8,352
55,93168,273,75,9,354
56,94874,278,76,9,354
57,91461,73,268,8,353
58,97608,286,82,9,353
59,96922,284,78,9,352
60,95906,85,281,9,357
61,96242,282,80,9,355
62,97271,285,86,9,354
63,95554,74,280,9,352
64,93513,79,274,9,357
65,93847,275,72,9,352
66,91122,267,75,8,354
67,92828,272,76,9,355
68,94871,278,73,9,352
69,94539,82,277,9,358
70,96931,87,284,9,355
71,98293,85,288,9,352
72,94194,78,276,9,357
73,97612,286,86,9,354
74,97950,287,83,9,352
75,91803,74,269,8,354
76,91460,268,72,8,352
77,96580,283,77,9,352
78,92831,79,272,9,357
79,94879,81,278,9,357
80,92484,73,271,9,353
81,97272,87,285,9,354
82,95215,279,76,9,353
83,95564,84,280,9,358
84,97611,85,286,9,354
85,96248,86,282,9,357
86,97949,82,287,9,352
87,91463,75,268,8,354
88,94188,276,72,9,352
89,93170,273,77,9,356
90,93849,275,74,9,354
91,91802,73,269,8,353
92,96923,284,79,9,352
93,96586,83,283,9,355
94,95223,84,279,9,358
95,97273,285,88,9,354
96,98294,86,288,9,352
97,95560,280,80,9,356
98,97607,286,81,9,352
99,94198,82,276,9,359
100,92483,271,72,9,352
101,91464,268,76,8,355
102,92144,74,270,8,354
103,94530,277,73,9,352
104,93509,75,274,9,354
105,96590,87,283,9,356
106,97951,287,84,9,353
107,96240,282,78,9,354
108,93173,80,273,9,358
109,96932,88,284,9,355
110,95900,281,79,9,354
111,92824,72,272,9,352
112,58997,4,173,5,359
113,90780,266,74,8,354
114,93848,73,275,9,353
115,95567,87,280,9,358
116,59681,6,175,5,360
117,97953,86,287,9,353
118,93857,82,275,9,359
119,98292,84,288,9,352
120,97606,286,80,9,352
121,92145,75,270,8,354
122,93506,274,72,9,352
123,122239,358,169,11,357
124,91462,74,268,8,354
125,93166,273,73,9,353
126,121899,169,357,11,357
127,95566,86,280,9,358
128,97276,285,91,9,354
129,97954,287,87,9,353
130,120195,352,165,11,353
131,59337,174,3,5,360
132,59338,4,174,5,360
133,97614,286,88,9,354
134,97277,92,285,9,354
135,97618,286,92,9,354
136,94541,84,277,9,359
137,91120,73,267,8,353
138,121900,170,357,11,358
139,121901,357,171,11,358
140,95213,279,74,9,352
141,97274,89,285,9,354
142,96249,87,282,9,357
143,94199,83,276,9,359
144,92832,80,272,9,358
145,90778,72,266,8,352
146,97955,287,88,9,353
147,94877,278,79,9,356
148,59339,5,174,5,360
149,60021,5,176,5,360
150,92143,270,73,8,353
151,95897,281,76,9,352
152,96252,90,282,9,358
153,60361,177,4,5,360
154,96250,282,88,9,357
155,97613,87,286,9,354
156,92488,77,271,9,356
157,96925,284,81,9,353
158,58654,2,172,5,359
159,60020,4,176,5,360
160,59677,175,2,5,360
161,94882,84,278,9,359
162,61390,10,180,6,358
163,60018,176,2,5,360
164,97275,285,90,9,355
165,91801,72,269,8,352
166,60359,177,2,5,360
167,97615,89,286,9,354
168,120876,354,166,11,355
169,59680,175,5,5,360
170,95226,87,279,9,358
171,95557,280,77,9,354
172,95904,83,281,9,356
173,60023,7,176,5,359
174,90438,265,73,8,353
175,96593,283,90,9,357
176,91804,75,269,8,354
177,60701,3,178,5,360
178,96251,89,282,9,357
179,98296,288,88,9,352
180,59679,175,4,5,360
181,94200,84,276,9,360
182,62757,13,184,6,356
183,95217,279,78,9,355
184,120536,166,353,11,354
185,58994,173,1,5,359
186,96585,283,82,9,355
187,92826,272,74,9,354
188,96592,283,89,9,356
189,92490,79,271,9,357
190,95910,281,89,9,357
191,98295,288,87,9,352
192,94188,72,276,9,352
193,60360,177,3,5,360
194,93507,274,73,9,353
195,59339,174,5,5,360
196,92148,270,78,8,357
197,96239,282,77,9,353
198,97266,285,81,9,352
199,97616,90,286,9,355
200,59678,175,3,5,360
201,95911,90,281,9,358
202,60017,176,1,5,360
203,60705,178,7,5,359
204,60019,176,3,5,360
205,98292,288,84,9,352
206,59681,175,6,5,360
207,93512,274,78,9,357
208,96591,88,283,9,356
209,93174,273,81,9,358
210,61045,179,6,5,360
211,93852,275,77,9,356
212,121219,169,355,11,357
213,91119,72,267,8,352
214,92486,271,75,9,354
215,97956,287,89,9,353
216,94531,74,277,9,353
217,64124,188,16,6,353
218,60701,178,3,5,360
219,97960,93,287,9,353
220,59680,5,175,5,360
221,96594,91,283,9,356
222,93514,80,274,9,358
223,98293,288,85,9,352
224,119854,164,351,11,352
225,93847,72,275,9,352
226,92825,272,73,9,353
227,94884,278,86,9,359
228,92146,76,270,8,355
229,95214,75,279,9,352
230,91806,269,77,8,356
231,96927,284,83,9,354
232,59679,4,175,5,360
233,62073,182,11,6,357
234,122583,173,359,11,359
235,97957,287,90,9,354
236,97276,91,285,9,354
237,120194,352,164,11,353
238,96581,283,78,9,353
239,94192,76,276,9,355
240,98297,288,89,9,352
241,90096,264,72,8,352
242,93516,82,274,9,359
243,94883,278,85,9,359
244,63439,186,13,6,356
245,61732,11,181,6,357
246,121898,168,357,11,357
247,95554,280,74,9,352
248,95219,80,279,9,356
249,63440,186,14,6,355
250,95908,87,281,9,357
251,94540,83,277,9,358
252,61728,181,7,6,359
253,121218,168,355,11,357
254,58997,173,4,5,359
255,61729,181,8,6,359
256,94875,278,77,9,355
257,97617,286,91,9,354
258,58653,1,172,5,359
259,96935,284,91,9,355
260,95224,85,279,9,358
261,95568,88,280,9,358
262,122582,172,359,11,359
263,97949,287,82,9,352
264,63441,15,186,6,354
265,58652,172,0,5,360
266,59675,175,0,5,361
267,92485,271,74,9,354
268,97606,80,286,9,352
269,96245,83,282,9,356
270,60023,176,7,5,359
271,96933,89,284,9,355
272,95227,88,279,9,358
273,90437,265,72,8,352
274,60021,176,5,5,360
275,94201,85,276,9,360
276,97267,285,82,9,353
277,60703,178,5,5,360
278,98298,288,90,9,353
279,93175,82,273,9,359
280,93510,76,274,9,355
281,94871,73,278,9,352
282,59335,174,1,5,360
283,95909,88,281,9,357
284,94532,277,75,9,353
285,97610,286,84,9,354
286,96929,284,85,9,355
287,62416,13,183,6,356
288,120537,353,167,11,355
289,61043,179,4,5,360
290,58312,1,171,5,358
291,93515,81,274,9,358
292,96934,90,284,9,356
293,60359,2,177,5,360
294,93855,80,275,9,358
295,64125,188,17,6,352
296,94872,278,74,9,353
297,94542,85,277,9,359
298,63781,187,14,6,354
299,58311,171,0,5,359
300,96936,92,284,9,355
301,97959,287,92,9,353
302,95570,90,280,9,359
303,97958,287,91,9,353
304,94195,276,79,9,357
305,63782,187,15,6,353
306,98639,90,289,9,352
307,92487,76,271,9,355
308,120535,353,165,11,353
309,61388,180,8,6,359
310,97270,85,285,9,354
311,95910,89,281,9,357
312,119854,351,164,11,352
313,59334,174,0,5,361
314,93858,83,275,9,359
315,122581,171,359,11,358
316,95228,89,279,9,358
317,96924,284,80,9,353
318,97960,287,93,9,353
319,94535,277,78,9,356
320,59675,0,175,5,361
321,97277,285,92,9,354
322,58654,172,2,5,359
323,93517,83,274,9,359
324,60706,8,178,5,359
325,95569,89,280,9,358
326,92148,78,270,8,357
327,120878,168,354,11,357
328,93850,275,75,9,354
329,63098,13,185,6,356
330,98300,288,92,9,352
331,90778,266,72,8,352
332,95902,281,81,9,355
333,94190,74,276,9,354
334,62074,182,12,6,357
335,60702,178,4,5,360
336,97268,285,83,9,353
337,95558,280,78,9,355
338,92833,81,272,9,358
339,96238,76,282,9,352
340,95225,86,279,9,358
341,62755,184,11,6,357
342,62412,183,9,6,358
343,98299,91,288,9,352
344,93165,72,273,9,352
345,63100,185,15,6,354
346,91121,267,74,8,354
347,96588,85,283,9,356
348,93859,275,84,9,360
349,92829,272,77,9,356
350,59678,3,175,5,360
351,97607,81,286,9,352
352,96253,91,282,9,357
353,119514,164,350,11,352
354,60022,6,176,5,360
355,61385,180,5,6,360
356,94543,86,277,9,359
357,98295,87,288,9,352
358,121217,355,167,11,356
359,92490,271,79,9,357
360,90779,266,73,8,353
361,92824,272,72,9,352
362,121216,166,355,11,355
363,60365,8,177,5,359
364,63783,16,187,6,353
365,96936,284,92,9,355
366,64123,188,15,6,353
367,98639,289,90,9,352
368,94880,82,278,9,358
369,60019,3,176,5,360
370,95228,279,89,9,358
371,95556,280,76,9,353
372,96594,283,91,9,356
373,91460,72,268,8,352
