t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,58659,7,172,5,358
26,89416,74,262,8,353
27,90778,72,266,8,352
28,92831,272,79,9,357
29,93171,273,78,9,357
30,91809,80,269,8,358
31,94191,276,75,9,354
32,57632,3,169,5,357
33,90097,73,264,8,353
34,60710,12,178,5,357
35,93852,77,275,9,356
36,92493,82,271,9,359
37,94531,277,74,9,353
38,90437,72,265,8,352
39,59342,174,8,5,359
40,93518,84,274,9,360
41,95217,78,279,9,355
42,89758,75,263,8,353
43,94197,276,81,9,358
44,92143,270,73,8,353
45,94877,79,278,9,356
46,93858,275,83,9,359
47,57289,1,168,5,357
48,58658,172,6,5,359
49,94537,80,277,9,357
50,60024,176,8,5,359
51,92483,271,72,9,352
52,90442,77,265,8,356
53,93519,274,85,9,360
54,121554,356,164,11,354
55,94198,276,82,9,359
56,62419,183,16,6,354
57,95558,280,78,9,355
58,89415,73,262,8,352
59,58656,172,4,5,359
60,91810,81,269,8,358
61,94878,278,80,9,357
62,92494,83,271,9,359
63,95215,279,76,9,353
64,93847,275,72,9,352
65,121555,165,356,11,354
66,93520,86,274,9,360
67,91122,75,267,8,354
68,90443,78,265,8,357
69,91461,73,268,8,353
70,59680,175,5,5,360
71,58655,172,3,5,359
72,59001,8,173,5,358
73,94538,81,277,9,357
74,95218,279,79,9,355
75,93859,84,275,9,360
76,91801,269,72,8,352
77,94199,276,83,9,359
78,60023,176,7,5,359
79,90783,77,266,8,356
80,89759,76,263,8,354
81,60367,177,10,5,358
82,93507,274,73,9,353
83,91462,74,268,8,354
84,58315,171,4,5,358
85,58654,2,172,5,359
86,91127,80,267,8,358
87,94188,276,72,9,352
88,93860,275,85,9,360
89,61734,181,13,6,356
90,94875,77,278,9,355
91,92834,82,272,9,359
92,120873,163,354,11,353
93,60368,11,177,5,357
94,93169,273,76,9,355
95,59339,174,5,5,360
96,94530,277,73,9,352
97,90781,75,266,8,354
98,92142,270,72,8,352
99,91121,74,267,8,354
100,91469,81,268,8,358
101,95557,280,77,9,354
102,92832,272,80,9,358
103,60708,178,10,5,358
104,93521,87,274,9,360
105,57972,170,2,5,358
106,90100,76,264,8,355
107,94539,277,82,9,358
108,57290,2,168,5,357
109,94224,276,108,9,352
110,93165,72,273,9,352
111,59343,9,174,5,358
112,94879,278,81,9,357
113,95219,80,279,9,356
114,59683,8,175,5,359
115,91802,73,269,8,353
116,57971,170,1,5,358
117,90785,79,266,8,357
118,93508,274,74,9,354
119,93857,275,82,9,359
120,94200,276,84,9,360
121,93178,85,273,9,360
122,63103,185,18,6,352
123,94873,278,75,9,353
124,92824,272,72,9,352
125,58316,171,5,5,358
126,89756,73,263,8,352
127,89417,75,262,8,353
128,95559,79,280,9,355
129,60365,177,8,5,359
130,59684,175,9,5,358
131,92495,84,271,9,360
132,95901,80,281,9,355
133,58312,171,1,5,358
134,94872,278,74,9,353
135,91811,82,269,8,359
136,90096,72,264,8,352
137,93861,275,86,9,360
138,94535,78,277,9,356
139,90444,79,265,8,357
140,92829,272,77,9,356
141,94192,76,276,9,355
142,58317,6,171,5,358
143,57288,168,0,5,358
144,94871,278,73,9,352
145,92150,80,270,8,358
146,93168,273,75,9,354
147,89757,74,263,8,353
148,94223,276,107,9,353
149,95899,281,78,9,354
150,94224,108,276,9,352
151,93506,274,72,9,352
152,62077,15,182,6,354
153,94540,277,83,9,358
154,59338,174,4,5,360
155,93883,108,275,9,352
156,94880,82,278,9,358
157,92490,79,271,9,357
158,95220,81,279,9,356
159,122237,167,358,11,356
160,89075,261,74,8,352
161,96241,282,79,9,354
162,92836,84,272,9,360
163,95556,280,76,9,353
164,61736,15,181,6,354
165,57974,170,4,5,358
166,93176,83,273,9,359
167,90438,73,265,8,353
168,58999,173,6,5,359
169,90101,77,264,8,356
170,92152,82,270,8,359
171,94532,277,75,9,353
172,94195,276,79,9,357
173,56947,0,167,5,357
174,93856,275,81,9,358
175,95213,279,74,9,352
176,91123,76,267,8,355
177,59340,174,6,5,360
178,92484,271,73,9,353
179,90102,78,264,8,357
180,91460,268,72,8,352
181,93516,274,82,9,359
182,95560,80,280,9,356
183,62076,182,14,6,355
184,94543,86,277,9,359
185,121213,355,163,11,353
186,94223,107,276,9,353
187,95900,79,281,9,354
188,95214,279,75,9,352
189,93542,108,274,9,352
190,93179,86,273,9,360
191,121897,357,167,11,356
192,93882,275,107,9,353
193,89760,77,263,8,355
194,94881,83,278,9,358
195,93883,275,108,9,352
196,91120,73,267,8,353
197,90782,76,266,8,355
198,95554,280,74,9,352
199,59681,175,6,5,360
200,92145,75,270,8,354
201,91128,81,267,8,358
202,93521,274,87,9,360
203,96240,282,78,9,354
204,59341,174,7,5,359
205,95555,280,75,9,352
206,95903,281,82,9,356
207,59000,173,7,5,358
208,94541,277,84,9,359
209,94201,85,276,9,360
210,93201,273,108,9,352
211,92153,83,270,8,359
212,59680,5,175,5,360
213,93862,275,87,9,360
214,91805,76,269,8,355
215,89075,74,261,8,352
216,59343,174,9,5,358
217,95221,82,279,9,357
218,92825,272,73,9,353
219,94882,278,84,9,359
220,94196,80,276,9,358
221,62762,184,18,6,352
222,94203,276,87,9,360
223,93180,273,87,9,360
224,121214,164,355,11,354
225,96241,79,282,9,354
226,90098,264,74,8,354
227,95561,280,81,9,356
228,95222,83,279,9,357
229,93848,275,73,9,353
230,92860,272,108,9,352
231,94874,278,76,9,354
232,59339,5,174,5,360
233,62760,184,16,6,354
234,93542,274,108,9,352
235,96239,77,282,9,353
236,93882,107,275,9,353
237,90786,80,266,8,358
238,121895,357,165,11,354
239,93863,88,275,9,360
240,95554,74,280,9,352
241,92838,86,272,9,360
242,94188,72,276,9,352
243,94536,277,79,9,356
244,91466,78,268,8,357
245,95902,81,281,9,355
246,93517,274,83,9,359
247,62761,184,17,6,353
248,96242,80,282,9,355
249,93541,107,274,9,353
250,58317,171,6,5,358
251,92485,271,74,9,354
252,94204,276,88,9,360
253,90099,75,264,8,354
254,94542,277,85,9,359
255,57973,170,3,5,358
256,95898,281,77,9,353
257,93201,108,273,9,352
258,92835,83,272,9,359
259,96243,282,81,9,355
260,92519,108,271,9,352
261,61049,179,10,5,358
262,91470,82,268,8,359
263,94202,276,86,9,360
264,94564,277,107,9,352
265,95897,281,76,9,352
266,60368,177,11,5,357
267,120874,354,164,11,354
268,96238,76,282,9,352
269,92837,272,85,9,360
270,95216,279,77,9,354
271,122235,358,165,11,354
272,92496,85,271,9,360
273,91463,75,268,8,354
274,94876,78,278,9,356
275,91126,79,267,8,357
276,62420,17,183,6,353
277,92860,108,272,9,352
278,90445,80,265,8,358
279,91803,74,269,8,354
280,57970,170,0,5,359
281,94189,276,73,9,353
282,89760,263,77,8,355
283,89418,76,262,8,354
284,95562,82,280,9,357
285,94883,278,85,9,359
286,93200,107,273,9,353
287,92148,78,270,8,357
288,58314,171,3,5,358
289,59338,4,174,5,360
290,93541,274,107,9,353
291,92154,84,270,8,360
292,93850,275,75,9,354
293,59001,173,8,5,358
294,96581,283,78,9,353
295,95563,83,280,9,357
296,58657,172,5,5,359
297,94884,278,86,9,359
298,96583,283,80,9,354
299,93166,273,73,9,353
300,90439,74,265,8,354
301,93881,275,106,9,354
302,95223,84,279,9,358
303,63102,185,17,6,353
304,61737,181,16,6,354
305,92519,271,108,9,352
306,93512,78,274,9,357
307,91119,72,267,8,352
308,94545,277,88,9,359
309,59340,6,174,5,360
310,92859,272,107,9,353
311,93865,90,275,9,361
312,94564,107,277,9,352
313,58316,5,171,5,358
314,96239,282,77,9,353
315,121556,166,356,11,355
316,96580,77,283,9,352
317,94871,73,278,9,352
318,93174,273,81,9,358
319,90784,78,266,8,357
320,96582,283,79,9,353
321,93540,274,106,9,354
322,120872,354,162,11,352
323,93880,105,275,9,354
324,93863,275,88,9,360
325,57975,5,170,5,358
326,92144,270,74,8,354
327,58997,173,4,5,359
328,94534,77,277,9,355
329,92839,87,272,9,360
330,59681,6,175,5,360
331,92518,271,107,9,353
332,95564,280,84,9,358
333,90787,81,266,8,358
334,93200,273,107,9,353
335,93847,72,275,9,352
336,90103,79,264,8,357
337,94204,88,276,9,360
338,95224,85,279,9,358
339,91465,268,77,8,356
340,93199,273,106,9,354
341,95904,83,281,9,356
342,93864,89,275,9,360
343,96585,82,283,9,355
344,92178,108,270,8,352
345,96584,283,81,9,354
346,92177,107,270,8,353
347,94222,276,106,9,354
348,92840,88,272,9,360
349,93181,273,88,9,360
350,94885,278,87,9,359
351,96581,78,283,9,353
352,120873,354,163,11,353
353,62078,16,182,6,354
354,94886,88,278,9,359
355,90779,73,266,8,353
356,89076,75,261,8,352
357,93881,106,275,9,354
358,96238,282,76,9,352
359,94544,277,87,9,359
360,92498,87,271,9,360
361,57632,169,3,5,357
362,93172,273,79,9,357
363,95213,74,279,9,352
364,62077,182,15,6,354
365,94884,86,278,9,359
366,91471,83,268,8,359
367,92859,107,272,9,353
368,62421,18,183,6,352
369,93510,274,76,9,355
370,89417,262,75,8,353
371,92858,106,272,9,354
372,92492,81,271,9,358
373,93180,87,273,9,360
