t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,60706,8,178,5,359
26,58996,3,173,5,359
27,89416,74,262,8,353
28,90437,72,265,8,352
29,122580,359,170,11,358
30,90100,76,264,8,355
31,93854,79,275,9,357
32,94535,78,277,9,356
33,92151,270,81,8,358
34,61730,181,9,6,358
35,92491,271,80,9,358
36,91811,82,269,8,359
37,58993,173,0,5,360
38,62757,13,184,6,356
39,89756,73,263,8,352
40,92824,272,72,9,352
41,93167,273,74,9,354
42,91122,75,267,8,354
43,90785,79,266,8,357
44,58653,1,172,5,359
45,60361,177,4,5,360
46,92488,77,271,9,356
47,92153,83,270,8,359
48,94876,278,78,9,356
49,121899,169,357,11,357
50,93514,274,80,9,358
51,91802,269,73,8,353
52,91462,268,74,8,354
53,60021,176,5,5,360
54,93165,273,72,9,352
55,94195,276,79,9,357
56,59677,175,2,5,360
57,92496,85,271,9,360
58,60364,7,177,5,359
59,91128,81,267,8,358
60,92827,272,75,9,354
61,62073,11,182,6,357
62,89415,73,262,8,352
63,93517,274,83,9,359
64,94533,277,76,9,354
65,93177,84,273,9,360
66,60704,178,6,5,360
67,95218,79,279,9,355
68,91801,269,72,8,352
69,93855,275,80,9,358
70,90101,77,264,8,356
71,92837,272,85,9,360
72,90781,75,266,8,354
73,92484,271,73,9,353
74,61389,9,180,6,358
75,91470,82,268,8,359
76,60703,178,5,5,360
77,93174,81,273,9,358
78,58995,173,2,5,359
79,92142,270,72,8,352
80,93849,275,74,9,354
81,91812,83,269,8,359
82,121558,356,168,11,357
83,94537,80,277,9,357
84,90097,73,264,8,353
85,89758,75,263,8,353
86,122581,171,359,11,358
87,92493,271,82,9,359
88,95217,279,78,9,355
89,61732,11,181,6,357
90,93506,274,72,9,352
91,91837,108,269,8,352
92,92833,272,81,9,358
93,59680,175,5,5,360
94,92497,86,271,9,360
95,94878,80,278,9,357
96,91496,108,268,8,352
97,91120,73,267,8,353
98,93857,82,275,9,359
99,89759,76,263,8,354
100,61047,179,8,5,359
101,122582,172,359,11,359
102,93519,85,274,9,360
103,94193,276,77,9,356
104,59336,2,174,5,360
105,92838,272,86,9,360
106,90098,74,264,8,354
107,91460,268,72,8,352
108,95219,80,279,9,356
109,58311,0,171,5,359
110,91813,84,269,8,360
111,93848,275,73,9,353
112,60019,176,3,5,360
113,91129,82,267,8,359
114,94875,278,77,9,355
115,94197,276,81,9,358
116,93521,274,87,9,360
117,94532,75,277,9,353
118,94224,108,276,9,352
119,61388,180,8,6,359
120,59679,175,4,5,360
121,93179,273,86,9,360
122,93860,85,275,9,360
123,60705,178,7,5,359
124,92498,87,271,9,360
125,91837,269,108,8,352
126,92148,270,78,8,357
127,95559,280,79,9,355
128,93515,274,81,9,358
129,89417,75,262,8,353
130,90096,72,264,8,352
131,94190,276,74,9,354
132,93175,273,82,9,359
133,93858,275,83,9,359
134,93883,108,275,9,352
135,63099,185,14,6,355
136,91496,268,108,8,352
137,59338,4,174,5,360
138,94536,277,79,9,356
139,95216,279,77,9,354
140,58652,172,0,5,360
141,92483,271,72,9,352
142,94196,276,80,9,358
143,93180,273,87,9,360
144,91155,267,108,8,352
145,93861,275,86,9,360
146,91810,81,269,8,358
147,95901,80,281,9,355
148,93847,72,275,9,352
149,90443,78,265,8,357
150,92145,270,75,8,354
151,94224,276,108,9,352
152,60020,176,4,5,360
153,91154,267,107,8,353
154,93201,108,273,9,352
155,92835,83,272,9,359
156,93542,108,274,9,352
157,90782,76,266,8,355
158,95560,80,280,9,356
159,94223,276,107,9,353
160,93856,81,275,9,358
161,90102,78,264,8,357
162,61048,9,179,5,358
163,94189,276,73,9,353
164,91121,267,74,8,354
165,92154,84,270,8,360
166,91471,83,268,8,359
167,59335,174,1,5,360
168,93516,274,82,9,359
169,94874,278,76,9,354
170,90442,77,265,8,356
171,95220,81,279,9,356
172,93853,275,78,9,357
173,90813,107,266,8,353
174,93166,273,73,9,353
175,91472,84,268,8,360
176,92485,271,74,9,354
177,60022,176,6,5,360
178,92155,85,270,8,360
179,59337,174,3,5,360
180,92860,108,272,9,352
181,94564,277,107,9,352
182,94198,276,82,9,359
183,91805,76,269,8,355
184,93520,86,274,9,360
185,95561,280,81,9,356
186,93859,275,84,9,360
187,91461,268,73,8,353
188,121217,355,167,11,356
189,92178,108,270,8,352
190,93182,273,89,9,360
191,95900,281,79,9,354
192,60363,6,177,5,360
193,94531,277,74,9,353
194,90814,108,266,8,352
195,91154,107,267,8,353
196,94201,85,276,9,360
197,94222,276,106,9,354
198,94188,276,72,9,352
199,93201,273,108,9,352
200,94879,278,81,9,357
201,92156,86,270,8,360
202,95558,78,280,9,355
203,60362,5,177,5,360
204,91155,108,267,8,352
205,94223,107,276,9,353
206,90444,79,265,8,357
207,93882,107,275,9,353
208,92494,271,83,9,359
209,93542,274,108,9,352
210,92825,272,73,9,353
211,94538,81,277,9,357
212,92152,270,82,8,359
213,63441,186,15,6,354
214,93541,107,274,9,353
215,60703,5,178,5,360
216,92840,88,272,9,360
217,94877,79,278,9,356
218,94530,277,73,9,352
219,94199,276,83,9,359
220,93883,275,108,9,352
221,89757,74,263,8,353
222,90445,80,265,8,358
223,92860,272,108,9,352
224,93181,273,88,9,360
225,94873,278,75,9,353
226,58996,173,3,5,359
227,94539,82,277,9,358
228,93863,88,275,9,360
229,92143,270,73,8,353
230,90813,266,107,8,353
231,94203,276,87,9,360
232,91123,76,267,8,355
233,60361,4,177,5,360
234,89760,77,263,8,355
235,90439,74,265,8,354
236,95902,81,281,9,355
237,90472,107,265,8,353
238,92178,270,108,8,352
239,94564,107,277,9,352
240,58993,0,173,5,360
241,94880,82,278,9,358
242,92839,272,87,9,360
243,94200,276,84,9,360
244,90473,108,265,8,352
245,93865,90,275,9,361
246,95215,279,76,9,353
247,93507,274,73,9,353
248,93176,83,273,9,359
249,60706,178,8,5,359
250,90814,266,108,8,352
251,61731,10,181,6,358
252,94543,277,86,9,359
253,92499,88,271,9,360
254,94188,72,276,9,352
255,93882,275,107,9,353
256,91803,74,269,8,354
257,91815,269,86,8,360
258,94222,106,276,9,354
259,95221,82,279,9,357
260,94540,277,83,9,358
261,96241,282,79,9,354
262,58995,2,173,5,359
263,92519,271,108,9,352
264,90783,77,266,8,356
265,90471,106,265,8,354
266,93200,273,107,9,353
267,89075,261,74,8,352
268,94872,74,278,9,353
269,93881,275,106,9,354
270,96243,81,282,9,355
271,92157,87,270,8,360
272,96584,81,283,9,354
273,94204,276,88,9,360
274,63440,186,14,6,355
275,94534,277,77,9,355
276,92495,271,84,9,360
277,90778,266,72,8,352
278,120877,167,354,11,356
279,93510,274,76,9,355
280,93850,275,75,9,354
281,93183,90,273,9,361
282,90438,73,265,8,353
283,90131,107,264,8,353
284,92859,272,107,9,353
285,94541,277,84,9,359
286,94202,86,276,9,360
287,95214,279,75,9,352
288,95557,280,77,9,354
289,62758,14,184,6,355
290,90103,79,264,8,357
291,93541,274,107,9,353
292,90473,265,108,8,352
293,93847,275,72,9,352
294,92487,271,76,9,355
295,90472,265,107,8,353
296,91495,107,268,8,353
297,93178,273,85,9,360
298,58654,2,172,5,359
299,93880,105,275,9,354
300,90784,78,266,8,357
301,60019,3,176,5,360
302,93522,274,88,9,360
303,96583,283,80,9,354
304,94881,83,278,9,358
305,90132,108,264,8,352
306,91816,269,87,8,360
307,94871,278,73,9,352
308,92518,271,107,9,353
309,92841,89,272,9,360
310,93540,106,274,9,354
311,93171,78,273,9,357
312,94221,276,105,9,354
313,96242,282,80,9,355
314,92519,108,271,9,352
315,91463,268,75,8,354
316,93200,107,273,9,353
317,90471,265,106,8,354
318,93852,77,275,9,356
319,95556,280,76,9,353
320,91814,85,269,8,360
321,62414,183,11,6,357
322,120876,354,166,11,355
323,93523,274,89,9,360
324,93881,106,275,9,354
325,94544,87,277,9,359
326,92831,79,272,9,357
327,90130,106,264,8,354
328,94191,276,75,9,354
329,92150,80,270,8,358
330,95903,82,281,9,356
331,95215,76,279,9,353
332,91815,86,269,8,360
333,94871,73,278,9,352
334,63784,17,187,6,352
335,121559,169,356,11,357
336,93524,90,274,9,361
337,92859,107,272,9,353
338,93862,275,87,9,360
339,89417,262,75,8,353
340,93199,106,273,9,354
341,95222,83,279,9,357
342,94563,106,277,9,353
343,95900,79,281,9,354
344,95899,281,78,9,354
345,94205,276,89,9,360
346,94872,278,74,9,353
347,92499,271,88,9,360
348,90131,264,107,8,353
349,94882,278,84,9,359
350,92500,89,271,9,360
351,90132,264,108,8,352
352,91127,80,267,8,358
353,89788,105,263,8,353
354,92518,107,271,9,353
355,93512,274,78,9,357
356,94542,277,85,9,359
357,92159,89,270,8,360
358,95213,74,279,9,352
359,96241,79,282,9,354
360,94192,276,76,9,355
361,93540,274,106,9,354
362,91495,268,107,8,353
363,60020,4,176,5,360
364,92836,272,84,9,360
365,61390,10,180,6,358
366,93183,273,90,9,361
367,94545,88,277,9,359
368,89789,106,263,8,353
369,95562,82,280,9,357
370,95898,77,281,9,353
371,89790,107,263,8,352
372,89418,76,262,8,354
373,93880,275,105,9,354
