t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,92517,106,271,9,354
26,92518,107,271,9,353
27,92516,105,271,9,354
28,89084,261,83,8,357
29,92859,272,107,9,353
30,93200,273,107,9,353
31,93541,274,107,9,353
32,88399,259,80,8,355
33,87376,256,80,8,353
34,87717,257,80,8,354
35,88058,258,80,8,355
36,88057,79,258,8,354
37,87715,78,257,8,353
38,87716,79,257,8,353
39,87714,77,257,8,352
40,87718,81,257,8,354
41,87717,80,257,8,354
42,92175,105,270,8,354
43,92176,106,270,8,354
44,92177,107,270,8,353
45,94224,108,276,9,352
46,88400,259,81,8,355
47,93883,275,108,9,352
48,88059,258,81,8,355
49,93201,273,108,9,352
50,87377,256,81,8,353
51,92860,272,108,9,352
52,93542,274,108,9,352
53,88741,260,81,8,356
54,87718,257,81,8,354
55,88056,258,78,8,354
56,87715,257,78,8,353
57,87374,256,78,8,352
58,88060,258,82,8,356
59,88401,259,82,8,356
60,87035,255,80,8,352
61,88742,260,82,8,357
62,88740,260,80,8,356
63,93882,275,107,9,353
64,89083,261,82,8,357
65,86694,254,80,8,352
66,92518,271,107,9,353
67,87375,256,79,8,352
68,88398,259,79,8,354
69,94223,276,107,9,353
70,88057,258,79,8,354
71,56272,165,7,5,353
72,58667,172,15,5,353
73,55929,164,5,5,354
74,56270,165,5,5,354
75,93199,106,273,9,354
76,93200,107,273,9,353
77,93198,105,273,9,354
78,93201,108,273,9,352
79,59351,174,17,5,353
80,59008,173,15,5,353
81,59349,174,15,5,354
82,92519,108,271,9,352
83,59008,15,173,5,353
84,92519,271,108,9,352
85,94224,276,108,9,352
86,87714,257,77,8,352
87,88055,258,77,8,353
88,92858,272,106,9,354
89,92517,271,106,9,354
90,92859,107,272,9,353
91,92857,105,272,9,354
92,92860,108,272,9,352
93,55926,164,2,5,354
94,87378,256,82,8,354
95,87719,257,82,8,355
96,87375,79,256,8,352
97,87376,80,256,8,353
98,87377,81,256,8,353
99,91835,106,269,8,354
100,91836,107,269,8,353
101,89425,262,83,8,358
102,93881,275,106,9,354
103,93882,107,275,9,353
104,93883,108,275,9,352
105,55586,163,3,5,353
106,55245,162,3,5,352
107,122572,359,162,11,352
108,122573,163,359,11,353
109,55585,2,163,5,353
110,55244,2,162,5,352
111,88397,78,259,8,354
112,55587,4,163,5,353
113,88397,259,78,8,354
114,55584,1,163,5,353
115,88060,82,258,8,356
116,88056,78,258,8,354
117,88059,81,258,8,355
118,88061,83,258,8,356
119,60033,17,176,5,353
120,87716,257,79,8,353
121,87720,257,83,8,355
122,59692,175,17,5,353
123,60374,177,17,5,353
124,59693,18,175,5,352
125,88401,82,259,8,356
126,60715,178,17,5,353
127,61398,180,18,6,352
128,60716,178,18,5,352
129,88743,260,83,8,357
130,89082,261,81,8,356
131,92175,270,105,8,354
132,92178,270,108,8,352
133,88402,259,83,8,356
134,92178,108,270,8,352
135,92174,104,270,8,355
136,57641,12,169,5,354
137,57641,169,12,5,354
138,92174,270,104,8,355
139,89081,261,80,8,356
140,91834,269,105,8,354
141,91833,104,269,8,355
142,91493,105,268,8,354
143,91492,104,268,8,355
144,91492,268,104,8,355
145,88742,82,260,8,357
146,91494,106,268,8,354
147,92856,104,272,9,355
148,93539,105,274,9,354
149,93542,108,274,9,352
150,92857,272,105,9,354
151,89424,262,82,8,358
152,88062,258,84,8,357
153,88745,260,85,8,358
154,89087,261,86,8,358
155,92172,270,102,8,357
156,89767,263,84,8,359
157,91489,268,101,8,357
158,60030,14,176,5,355
159,59348,14,174,5,355
160,59689,14,175,5,355
161,88398,79,259,8,354
162,59691,16,175,5,354
163,60714,16,178,5,354
164,60032,16,176,5,354
165,93541,107,274,9,353
166,91152,105,267,8,354
167,93539,274,105,9,354
168,55588,5,163,5,353
169,88738,78,260,8,355
170,56266,1,165,5,354
171,56270,5,165,5,354
172,56266,165,1,5,354
173,55583,163,0,5,354
174,55584,163,1,5,353
175,59687,12,175,5,357
176,87374,78,256,8,352
177,91151,104,267,8,355
178,91151,267,104,8,355
179,89770,263,87,8,359
180,90453,265,88,8,360
181,88404,259,85,8,357
182,90107,264,83,8,359
183,89085,261,84,8,358
184,89084,83,261,8,357
185,92855,103,272,9,356
186,91495,107,268,8,353
187,91837,108,269,8,352
188,91836,269,107,8,353
189,89771,263,88,8,359
190,88403,259,84,8,357
191,88739,260,79,8,355
192,88396,259,77,8,353
193,89766,263,83,8,358
194,90109,264,85,8,360
195,88744,260,84,8,358
196,92177,270,107,8,353
197,90110,264,86,8,360
198,94564,277,107,9,352
199,59010,17,173,5,352
200,58319,8,171,5,357
201,56950,3,167,5,356
202,89080,79,261,8,355
203,90809,103,266,8,356
204,87037,82,255,8,353
205,87035,80,255,8,352
206,91831,102,269,8,357
207,56609,166,3,5,355
208,57298,168,10,5,355
209,56953,167,6,5,356
210,94222,106,276,9,354
211,92172,102,270,8,357
212,90810,104,266,8,355
213,86695,81,254,8,352
214,91153,106,267,8,354
215,86694,80,254,8,352
216,94223,107,276,9,353
217,55587,163,4,5,353
218,57634,169,5,5,357
219,55588,163,5,5,353
220,55927,164,3,5,354
221,55586,3,163,5,353
222,92516,271,105,9,354
223,93540,274,106,9,354
224,89769,263,86,8,359
225,90448,265,83,8,359
226,90791,266,85,8,360
227,90454,265,89,8,360
228,91835,269,106,8,354
229,92515,271,104,9,355
230,60029,176,13,5,356
231,59003,173,10,5,357
232,58666,172,14,5,354
233,59007,14,173,5,354
234,87036,255,81,8,352
235,92176,270,106,8,354
236,91495,268,107,8,353
237,91832,269,103,8,356
238,91494,268,106,8,354
239,92855,272,103,9,356
240,92858,106,272,9,354
241,88054,76,258,8,352
242,88746,86,260,8,358
243,88055,77,258,8,353
244,122233,163,358,11,353
245,90121,97,264,8,359
246,89771,88,263,8,359
247,91147,100,267,8,358
248,90807,101,266,8,357
249,59352,174,18,5,352
250,60373,177,16,5,354
251,60375,18,177,5,352
252,90809,266,103,8,356
253,89423,262,81,8,357
254,89086,261,85,8,358
255,89426,262,84,8,359
256,91154,107,267,8,353
257,91488,100,268,8,358
258,89096,95,261,8,358
259,90468,103,265,8,356
260,90808,102,266,8,357
261,87720,83,257,8,355
262,88396,77,259,8,353
263,89425,83,262,8,358
264,94564,107,277,9,352
265,55930,164,6,5,354
266,56268,165,3,5,354
267,59690,175,15,5,354
268,89422,262,80,8,357
269,90793,266,87,8,360
270,91136,267,89,8,360
271,91480,268,92,8,360
272,89427,262,85,8,359
273,90111,264,87,8,360
274,91133,267,86,8,360
275,87037,255,82,8,353
276,88738,260,78,8,355
277,91487,268,99,8,358
278,90812,266,106,8,354
279,90469,265,104,8,355
280,91134,267,87,8,360
281,59345,174,11,5,357
282,56267,165,2,5,354
283,91496,108,268,8,352
284,90467,102,265,8,357
285,88403,84,259,8,357
286,91149,102,267,8,357
287,88399,80,259,8,355
288,88745,85,260,8,358
289,91490,102,268,8,357
290,56265,165,0,5,355
291,55928,164,4,5,354
292,86695,254,81,8,352
293,88054,258,76,8,352
294,91837,269,108,8,352
295,93198,273,105,9,354
296,90455,265,90,8,361
297,92514,271,103,9,356
298,91153,267,106,8,354
299,90451,265,86,8,360
300,90106,264,82,8,359
301,93880,275,105,9,354
302,91831,269,102,8,357
303,91150,267,103,8,356
304,55246,4,162,5,352
305,59351,17,174,5,353
306,59352,18,174,5,352
307,55242,0,162,5,353
308,92173,270,103,8,356
309,90114,264,90,8,361
310,93197,273,104,9,355
311,91152,267,105,8,354
312,93188,273,95,9,360
313,89765,263,82,8,358
314,89428,262,86,8,359
315,90112,264,88,8,360
316,61056,179,17,5,353
317,59350,174,16,5,354
318,56614,166,8,5,354
319,55924,164,0,5,355
320,56269,165,4,5,354
321,57297,168,9,5,355
322,57640,169,11,5,354
323,57983,170,13,5,354
324,58319,171,8,5,357
325,91496,268,108,8,352
326,92847,272,95,9,360
327,90127,264,103,8,356
328,90790,266,84,8,360
329,91476,268,88,8,360
330,92506,271,95,9,360
331,92171,270,101,8,357
332,88746,260,86,8,358
333,91817,269,88,8,360
334,91479,268,91,8,360
335,89096,261,95,8,358
336,90452,265,87,8,360
337,89764,263,81,8,357
338,91488,268,100,8,358
339,88405,259,86,8,357
340,88400,81,259,8,355
341,89780,97,263,8,358
342,90812,106,266,8,354
343,57294,168,6,5,357
344,56610,166,4,5,355
345,92512,271,101,9,357
346,90467,265,102,8,357
347,91493,268,105,8,354
348,89080,261,79,8,355
349,59346,174,12,5,357
350,57295,168,7,5,356
351,58320,171,9,5,356
352,88752,260,92,8,358
353,91154,267,107,8,353
354,92504,271,93,9,360
355,92165,270,95,8,360
356,90811,266,105,8,354
357,91135,267,88,8,360
358,91491,268,103,8,356
359,93190,273,97,9,359
360,90810,266,104,8,355
361,92500,271,89,9,360
362,60372,177,15,5,354
363,59693,175,18,5,352
364,58665,172,13,5,355
365,87379,83,256,8,354
366,89087,86,261,8,358
367,93881,106,275,9,354
368,88743,83,260,8,357
369,88413,94,259,8,357
370,89421,79,262,8,356
371,89766,83,263,8,358
372,88739,79,260,8,355
373,89430,88,262,8,359
