t,index,i,j,sector,length
1,49786,0,146,4,331
2,55954,30,164,5,330
3,85993,61,252,8,330
4,80566,90,236,7,331
5,86734,120,254,8,330
6,51150,150,0,5,337
7,61380,180,0,6,361
8,71610,210,0,7,337
9,82253,241,72,8,330
10,92467,271,56,9,330
11,102717,301,76,10,330
12,113033,331,162,11,330
13,50127,0,147,4,332
14,56295,30,165,5,330
15,86334,61,253,8,331
16,80907,90,237,7,332
17,87075,120,255,8,330
18,51151,150,1,5,336
19,61381,180,1,6,360
20,71611,210,1,7,336
21,82254,241,73,8,331
22,92468,271,57,9,331
23,102718,301,77,10,331
24,113034,331,163,11,331
25,57641,12,169,5,354
26,88056,258,78,8,354
27,87377,81,256,8,353
28,90451,86,265,8,360
29,87035,80,255,8,352
30,88398,259,79,8,354
31,90808,266,102,8,357
32,87714,257,77,8,352
33,56272,7,165,5,353
34,93541,274,107,9,353
35,88060,82,258,8,356
36,92860,108,272,9,352
37,90452,265,87,8,360
38,93199,273,106,9,354
39,90109,85,264,8,360
40,91150,267,103,8,356
41,88740,260,80,8,356
42,89085,84,261,8,358
43,92177,107,270,8,353
44,91833,269,104,8,355
45,87378,82,256,8,354
46,90792,86,266,8,360
47,92519,108,271,9,352
48,89425,262,83,8,358
49,59351,17,174,5,353
50,90450,265,85,8,360
51,88741,260,81,8,356
52,94223,276,107,9,353
53,92174,270,104,8,355
54,88399,259,80,8,355
55,90110,86,264,8,360
56,92516,271,105,9,354
57,89426,84,262,8,359
58,89084,83,261,8,357
59,90809,103,266,8,356
60,55587,4,163,5,353
61,94224,276,108,9,352
62,92176,106,270,8,354
63,87036,81,255,8,352
64,86694,80,254,8,352
65,92518,107,271,9,353
66,58667,15,172,5,353
67,89424,262,82,8,358
68,88743,83,260,8,357
69,92856,272,104,9,355
70,89767,263,84,8,359
71,91835,106,269,8,354
72,89082,261,81,8,356
73,88055,258,77,8,353
74,93882,275,107,9,353
75,59691,175,16,5,354
76,90454,89,265,8,360
77,91150,103,267,8,356
78,92175,105,270,8,354
79,57296,168,8,5,356
80,56956,9,167,5,354
81,90122,264,98,8,359
82,87718,81,257,8,354
83,89083,261,82,8,357
84,88397,259,78,8,354
85,59350,174,16,5,354
86,91137,267,90,8,361
87,91493,105,268,8,354
88,92858,272,106,9,354
89,57979,170,9,5,356
90,89768,85,263,8,359
91,91836,107,269,8,353
92,90111,87,264,8,360
93,88403,84,259,8,357
94,90809,266,103,8,356
95,60032,176,16,5,354
96,91489,268,101,8,357
97,55928,164,4,5,354
98,91149,267,102,8,357
99,57294,168,6,5,357
100,91834,105,269,8,354
101,89081,261,80,8,356
102,90108,264,84,8,360
103,93881,275,106,9,354
104,57982,170,12,5,355
105,90451,265,86,8,360
106,55929,5,164,5,354
107,91148,101,267,8,357
108,57635,169,6,5,357
109,91479,91,268,8,360
110,92175,270,105,8,354
111,56269,165,4,5,354
112,60030,176,14,5,355
113,88401,82,259,8,356
114,59693,18,175,5,352
115,90109,264,85,8,360
116,91832,269,103,8,356
117,58663,11,172,5,356
118,89770,87,263,8,359
119,91494,106,268,8,354
120,56270,5,165,5,354
121,92172,270,102,8,357
122,89423,262,81,8,357
123,55926,164,2,5,354
124,90110,264,86,8,360
125,55245,3,162,5,352
126,90791,266,85,8,360
127,89771,88,263,8,359
128,122573,163,359,11,353
129,91491,268,103,8,356
130,92178,108,270,8,352
131,88061,83,258,8,356
132,91831,269,102,8,357
133,59692,175,17,5,353
134,57634,169,5,5,357
135,89427,85,262,8,359
136,58325,14,171,5,353
137,88739,260,79,8,355
138,91152,105,267,8,354
139,90463,265,98,8,359
140,89766,263,83,8,358
141,91492,104,268,8,355
142,55925,164,1,5,354
143,60033,176,17,5,353
144,86695,81,254,8,352
145,58320,171,9,5,356
146,89428,86,262,8,359
147,93198,273,105,9,354
148,90450,85,265,8,360
149,90107,264,83,8,359
150,89767,84,263,8,359
151,91151,104,267,8,355
152,55927,3,164,5,354
153,59003,173,10,5,357
154,90806,100,266,8,358
155,56614,8,166,5,354
156,93539,274,105,9,354
157,89087,86,261,8,358
158,90468,103,265,8,356
159,90111,264,87,8,360
160,60373,16,177,5,354
161,91149,102,267,8,357
162,87720,83,257,8,355
163,89768,263,85,8,359
164,57639,169,10,5,355
165,61398,180,18,6,352
166,58665,13,172,5,355
167,90449,265,84,8,360
168,91491,103,268,8,356
169,60374,177,17,5,353
170,91147,267,100,8,358
171,59009,16,173,5,353
172,90810,104,266,8,355
173,57634,5,169,5,357
174,89769,86,263,8,359
175,57298,168,10,5,355
176,90454,265,89,8,360
177,55926,2,164,5,354
178,58319,171,8,5,357
179,91153,106,267,8,354
180,59691,16,175,5,354
181,90793,87,266,8,360
182,91488,268,100,8,358
183,89765,263,82,8,358
184,55242,162,0,5,353
185,90467,265,102,8,357
186,92857,272,105,9,354
187,91837,108,269,8,352
188,94564,277,107,9,352
189,58660,172,8,5,358
190,88738,260,78,8,355
191,91133,267,86,8,360
192,92163,93,270,8,360
193,55586,163,3,5,353
194,90455,90,265,8,361
195,89780,263,97,8,358
196,90126,102,264,8,357
197,90795,89,266,8,360
198,57295,7,168,5,356
199,88057,258,79,8,354
200,58322,171,11,5,355
201,91492,268,104,8,355
202,55588,5,163,5,353
203,90465,100,265,8,358
204,88402,83,259,8,356
205,88745,85,260,8,358
206,90792,266,86,8,360
207,89422,262,80,8,357
208,58661,9,172,5,357
209,59352,18,174,5,352
210,91833,104,269,8,355
211,90122,98,264,8,359
212,88062,84,258,8,357
213,91495,107,268,8,353
214,90452,87,265,8,360
215,92855,272,103,9,356
216,88396,259,77,8,353
217,90808,102,266,8,357
218,55929,164,5,5,354
219,58320,9,171,5,356
220,90121,264,97,8,359
221,60034,176,18,5,352
222,55586,3,163,5,353
223,91822,93,269,8,360
224,92514,271,103,9,356
225,90469,104,265,8,355
226,90793,266,87,8,360
227,89785,102,263,8,356
228,58319,8,171,5,357
229,122232,162,358,11,352
230,57297,168,9,5,355
231,91479,268,91,8,360
232,90108,84,264,8,360
233,88746,86,260,8,358
234,89080,261,79,8,355
235,90448,265,83,8,359
236,90811,105,266,8,354
237,54901,161,0,5,352
238,58660,8,172,5,358
239,60375,177,18,5,352
240,59351,174,17,5,353
241,91820,269,91,8,360
242,90126,264,102,8,357
243,89096,261,95,8,358
244,90464,265,99,8,358
245,90807,101,266,8,357
246,93197,273,104,9,355
247,55930,6,164,5,354
248,60714,178,16,5,354
249,59690,15,175,5,354
250,91132,267,85,8,360
251,91475,268,87,8,360
252,90112,88,264,8,360
253,90467,102,265,8,357
254,89437,262,95,8,359
255,61057,179,18,5,352
256,92517,106,271,9,354
257,88744,84,260,8,358
258,59008,173,15,5,353
259,91133,86,267,8,360
260,87037,82,255,8,353
261,90794,266,88,8,360
262,90107,83,264,8,359
263,89427,262,85,8,359
264,57641,169,12,5,354
265,92171,270,101,8,357
266,93540,274,106,9,354
267,92506,95,271,9,360
268,91134,87,267,8,360
269,58663,172,11,5,356
270,90449,84,265,8,360
271,90106,264,82,8,359
272,91831,102,269,8,357
273,59687,175,12,5,357
274,89428,262,86,8,359
275,94222,276,106,9,354
276,88054,258,76,8,352
277,59010,17,173,5,352
278,88404,85,259,8,357
279,90453,265,88,8,360
280,121892,162,357,11,352
281,90127,103,264,8,356
282,55585,163,2,5,353
283,89429,87,262,8,359
284,90812,106,266,8,354
285,89781,98,263,8,358
286,91146,267,99,8,358
287,60716,18,178,5,352
288,90466,265,101,8,357
289,59692,17,175,5,353
290,92172,102,270,8,357
291,55244,2,162,5,352
292,89426,262,84,8,359
293,90791,85,266,8,360
294,89772,89,263,8,359
295,91135,88,267,8,360
296,90123,99,264,8,358
297,90455,265,90,8,361
298,55584,1,163,5,353
299,59693,175,18,5,352
300,56608,166,2,5,355
301,55245,162,3,5,352
302,90790,266,84,8,360
303,89786,103,263,8,355
304,91134,267,87,8,360
305,91821,92,269,8,360
306,90125,264,101,8,357
307,55583,163,0,5,354
308,92517,271,106,9,354
309,90448,83,265,8,359
310,91478,268,90,8,361
311,93200,273,107,9,353
312,89764,263,81,8,357
313,92855,103,272,9,356
314,89086,85,261,8,358
315,90128,104,264,8,355
316,88752,260,92,8,358
317,89424,82,262,8,358
318,55246,4,162,5,352
319,91496,108,268,8,352
320,91154,107,267,8,353
321,89769,263,86,8,359
322,90464,99,265,8,358
323,58661,172,9,5,357
324,92173,270,103,8,356
325,59005,12,173,5,356
326,89443,101,262,8,356
327,91823,94,269,8,360
328,93880,275,105,9,354
329,90797,91,266,8,360
330,91135,267,88,8,360
331,90106,82,264,8,359
332,88745,260,85,8,358
333,89096,95,261,8,358
334,92173,103,270,8,356
335,91487,268,99,8,358
336,89784,101,263,8,356
337,90470,105,265,8,354
338,56955,8,167,5,355
339,59007,173,14,5,354
340,89430,88,262,8,359
341,88744,260,84,8,358
342,90124,264,100,8,358
343,55243,162,1,5,352
344,91474,268,86,8,360
345,60372,177,15,5,354
346,91830,269,101,8,357
347,57635,6,169,5,357
348,89766,83,263,8,358
349,91137,90,267,8,361
350,89085,261,84,8,358
351,92515,271,104,9,355
352,59352,174,18,5,352
353,91475,87,268,8,360
354,88746,260,86,8,358
355,122232,358,162,11,352
356,91832,103,269,8,356
357,87379,83,256,8,354
358,89444,102,262,8,356
359,89784,263,101,8,356
360,93190,97,273,9,359
361,92859,107,272,9,353
362,91478,90,268,8,361
363,89087,261,86,8,358
364,122233,163,358,11,353
365,122572,359,162,11,352
366,88742,82,260,8,357
367,89421,262,79,8,356
368,89779,263,96,8,359
369,90789,266,83,8,359
370,90112,264,88,8,360
371,92514,103,271,9,356
372,60375,18,177,5,352
373,54901,0,161,5,352
